```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿朝＿夕 (pinyin: yī, freq: 2, HSK:1, struct:none)
2. 拉＿语 (pinyin: dīng, freq: 1168, HSK:+, struct:⿱)
3. 乱＿八糟 (pinyin: qī, freq: 530, HSK:1, struct:⿻)
4. 千军＿马 (pinyin: wàn, freq: 322, HSK:2, struct:⿱)
5. 一落千＿ (pinyin: zhàng, freq: 1242, HSK:4, struct:⿻)
6. ＿思而行 (pinyin: sān, freq: 125, HSK:1, struct:⿱)
7. 不相＿下 (pinyin: shàng, freq: 16, HSK:1, struct:⿱)
8. 等一＿ (pinyin: xià, freq: 42, HSK:1, struct:⿱)
9. ＿由自主 (pinyin: bù, freq: 4, HSK:1, struct:⿱)
10. ＿众不同 (pinyin: yǔ, freq: 108, HSK:4, struct:⿹)
11. 乞＿要钱 (pinyin: gài, freq: 2606, HSK:+, struct:⿱)
12. ＿闻曝光 (pinyin: chǒu, freq: 1901, HSK:5, struct:⿻)
13. 咨询＿家 (pinyin: zhuān, freq: 485, HSK:3, struct:⿻)
14. 暂＿不论 (pinyin: qiě, freq: 296, HSK:2, struct:⿱)
15. 曹操曹＿ (pinyin: Pī, freq: 3748, HSK:n, struct:⿱)
16. 一生一＿ (pinyin: shì, freq: 181, HSK:3, struct:⿻)
17. ＿陵地带 (pinyin: qiū, freq: 1929, HSK:+, struct:⿱)
18. 甲乙＿丁 (pinyin: bǐng, freq: 2645, HSK:+, struct:⿱)
19. 毕＿论文 (pinyin: yè, freq: 130, HSK:2, struct:⿱)
20. 灌木＿ (pinyin: cóng, freq: 1678, HSK:+, struct:⿱)
21. ＿山再起 (pinyin: dōng, freq: 194, HSK:1, struct:⿻)
22. ＿绸之路 (pinyin: sī, freq: 1026, HSK:+, struct:⿱)
23. 东吴＿相 (pinyin: chéng, freq: 3340, HSK:n, struct:⿱)
24. ＿三落四 (pinyin: diū, freq: 1639, HSK:5, struct:⿱)
25. 一举＿得 (pinyin: liǎng, freq: 133, HSK:1, struct:⿱)
26. ＿重后果 (pinyin: yán, freq: 545, HSK:4, struct:⿳)
27. ＿失理智 (pinyin: sàng, freq: 1404, HSK:6, struct:⿱)
28. 一＿人 (pinyin: gè, freq: 12, HSK:1, struct:⿱)
29. 脚＿子 (pinyin: yā, freq: 2682, HSK:+, struct:⿱)
30. ＿国制造 (pinyin: Zhōng, freq: 14, HSK:1, struct:⿻)
31. ＿富多彩 (pinyin: fēng, freq: 1189, HSK:3, struct:⿻)
32. 一＿葡萄 (pinyin: chuàn, freq: 1832, HSK:6, struct:⿻)
33. 欢迎光＿ (pinyin: lín, freq: 839, HSK:4, struct:⿰)
34. 一颗药＿ (pinyin: wán, freq: 2462, HSK:+, struct:⿻)
35. 欧洲＿麦 (pinyin: Dān, freq: 1280, HSK:+, struct:⿻)
