```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 不＿＿是 (pinyin: jǐn, freq: 494, HSK:4, struct:⿰)
2. ＿人端茶 (pinyin: pú, freq: 1812, HSK:+, struct:⿰)
3. 满腔＿恨 (pinyin: chóu, freq: 1536, HSK:+, struct:⿰)
4. 迄＿为止 (pinyin: jīn, freq: 336, HSK:1, struct:⿱)
5. 自我＿绍 (pinyin: jiè, freq: 831, HSK:2, struct:⿱)
6. ＿然存在 (pinyin: réng, freq: 601, HSK:4, struct:⿰)
7. ＿头到尾 (pinyin: cóng, freq: 98, HSK:2, struct:⿰)
8. 昆＿山脉 (pinyin: lún, freq: 2139, HSK:n, struct:⿱)
9. 货物＿库 (pinyin: cāng, freq: 1882, HSK:6, struct:⿱)
10. ＿细检查 (pinyin: zǐ, freq: 1572, HSK:4, struct:⿰)
11. ＿女画 (pinyin: shì, freq: 3042, HSK:n, struct:⿰)
12. ＿是马云 (pinyin: tā, freq: 10, HSK:1, struct:⿰)
13. 带兵打＿ (pinyin: zhàng, freq: 1712, HSK:6, struct:⿰)
14. 支＿成功 (pinyin: fù, freq: 820, HSK:4, struct:⿰)
15. 神＿故事 (pinyin: xiān, freq: 1255, HSK:+, struct:⿰)
16. 现＿汉语 (pinyin: dài, freq: 174, HSK:5, struct:⿰)
17. ＿人吃惊 (pinyin: lìng, freq: 378, HSK:5, struct:⿱)
18. 可不可＿ (pinyin: yǐ, freq: 23, HSK:1, struct:⿰)
19. ＿瓜俩枣 (pinyin: sā, freq: 4685, HSK:n, struct:⿰)
20. 毕业＿式 (pinyin: yí, freq: 1283, HSK:6, struct:⿰)
21. 我＿走吧 (pinyin: men, freq: 13, HSK:1, struct:⿰)
22. 宗教信＿ (pinyin: yǎng, freq: 1368, HSK:6, struct:⿰)
23. 法院＿裁 (pinyin: zhòng, freq: 1706, HSK:+, struct:⿰)
24. 一＿衣服 (pinyin: jiàn, freq: 250, HSK:1, struct:⿰)
25. ＿格上涨 (pinyin: jià, freq: 409, HSK:4, struct:⿰)
26. ＿重道远 (pinyin: rèn, freq: 186, HSK:4, struct:⿰)
27. 哪个省＿ (pinyin: fèn, freq: 784, HSK:4, struct:⿰)
28. ＿佛梦中 (pinyin: fǎng, freq: 1259, HSK:5, struct:⿰)
29. 国有＿业 (pinyin: qǐ, freq: 450, HSK:5, struct:⿱)
30. ＿拉克 (pinyin: Yī, freq: 761, HSK:n, struct:⿰)
31. 一支队＿ (pinyin: wǔ, freq: 1472, HSK:5, struct:⿰)
32. 狡猾＿俩 (pinyin: jì, freq: 3332, HSK:n, struct:⿰)
33. 起＿不定 (pinyin: fú, freq: 1389, HSK:+, struct:⿰)
34. 发展步＿ (pinyin: fá, freq: 1810, HSK:+, struct:⿰)
35. ＿息一下 (pinyin: xiū, freq: 1082, HSK:1, struct:⿰)
36. 唤起群＿ (pinyin: zhòng, freq: 510, HSK:4, struct:⿱)
37. 女士＿先 (pinyin: yōu, freq: 774, HSK:4, struct:⿰)
38. 忠诚＿伴 (pinyin: huǒ, freq: 1047, HSK:4, struct:⿰)
39. 我＿骑马 (pinyin: huì, freq: 29, HSK:1, struct:⿱)
40. 没带雨＿ (pinyin: sǎn, freq: 2202, HSK:3, struct:⿱)
41. ＿大胜利 (pinyin: wěi, freq: 1107, HSK:5, struct:⿰)
42. ＿统观点 (pinyin: chuán, freq: 332, HSK:5, struct:⿰)
43. ＿害别人 (pinyin: shāng, freq: 660, HSK:4, struct:⿰)
44. ＿理问题 (pinyin: lún, freq: 970, HSK:+, struct:⿰)
45. ＿造数据 (pinyin: wěi, freq: 1556, HSK:+, struct:⿰)
46. ＿立凝望 (pinyin: zhù, freq: 4074, HSK:n, struct:⿰)
47. 阿拉＿语 (pinyin: bó, freq: 821, HSK:+, struct:⿰)
48. 准确＿计 (pinyin: gū, freq: 1326, HSK:4, struct:⿰)
49. 陪＿着我 (pinyin: bàn, freq: 1298, HSK:5, struct:⿰)
50. 聪明＿俐 (pinyin: líng, freq: 2906, HSK:n, struct:⿰)
51. ＿出手 (pinyin: shēn, freq: 1161, HSK:5, struct:⿰)
52. ＿候病人 (pinyin: cì, freq: 2782, HSK:+, struct:⿰)
53. 彼此相＿ (pinyin: sì, freq: 431, HSK:5, struct:⿰)
54. 练瑜＿ (pinyin: jiā, freq: 2532, HSK:n, struct:⿰)
55. ＿户农民 (pinyin: diàn, freq: 3245, HSK:n, struct:⿰)
