```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 走下山＿ (pinyin: gāng, freq: 2047, HSK:n, struct:⿵)
2. ＿＿升起 (pinyin: rǎn, freq: 3070, HSK:n, struct:⿻)
3. 一本手＿ (pinyin: cè, freq: 1525, HSK:5, struct:⿻)
4. 下次＿见 (pinyin: zài, freq: 242, HSK:1, struct:⿱)
5. 我感＿了 (pinyin: mào, freq: 1222, HSK:3, struct:⿱)
6. 卫＿冠军 (pinyin: miǎn, freq: 3456, HSK:n, struct:⿱)
7. ＿长乏味 (pinyin: rǒng, freq: 3642, HSK:+, struct:⿱)
8. 一篇＿作 (pinyin: xiě, freq: 448, HSK:1, struct:⿱)
9. 加入＿队 (pinyin: jūn, freq: 102, HSK:5, struct:⿱)
10. ＿作物 (pinyin: nóng, freq: 465, HSK:4, struct:⿻)
11. 世界＿军 (pinyin: guàn, freq: 1713, HSK:5, struct:⿱)
12. 古＿遗址 (pinyin: zhǒng, freq: 2840, HSK:n, struct:⿱)
13. ＿枉我了 (pinyin: yuān, freq: 2396, HSK:+, struct:⿱)
14. 深度＿想 (pinyin: míng, freq: 2739, HSK:n, struct:⿳)
15. ＿去春来 (pinyin: dōng, freq: 1384, HSK:3, struct:⿱)
16. ＿小刚 (pinyin: Féng, freq: 1719, HSK:n, struct:⿰)
17. ＿山一角 (pinyin: bīng, freq: 1070, HSK:3, struct:⿰)
18. 发生＿突 (pinyin: chōng, freq: 702, HSK:5, struct:⿰)
19. 解＿问题 (pinyin: jué, freq: 273, HSK:3, struct:⿰)
20. 情＿不变 (pinyin: kuàng, freq: 419, HSK:4, struct:⿰)
21. ＿炼金属 (pinyin: yě, freq: 2792, HSK:+, struct:⿰)
22. 保持＿静 (pinyin: lěng, freq: 700, HSK:1, struct:⿰)
23. ＿结账户 (pinyin: dòng, freq: 2127, HSK:5, struct:⿰)
24. 凛＿寒风 (pinyin: liè, freq: 4356, HSK:n, struct:⿰)
25. 洗得干＿ (pinyin: jìng, freq: 1377, HSK:3, struct:⿰)
26. ＿凉无助 (pinyin: qī, freq: 2352, HSK:+, struct:⿰)
27. ＿备好了 (pinyin: zhǔn, freq: 379, HSK:2, struct:⿰)
28. 小心着＿ (pinyin: liáng, freq: 1581, HSK:3, struct:⿰)
29. 花朵＿谢 (pinyin: diāo, freq: 3675, HSK:+, struct:⿰)
30. ＿晨两点 (pinyin: líng, freq: 1731, HSK:3, struct:⿰)
31. ＿少速度 (pinyin: jiǎn, freq: 857, HSK:4, struct:⿰)
32. ＿合着用 (pinyin: còu, freq: 2193, HSK:+, struct:⿰)
33. 寒风＿冽 (pinyin: lǐn, freq: 3014, HSK:n, struct:⿰)
34. ＿视远方 (pinyin: níng, freq: 1631, HSK:+, struct:⿰)
35. 现在＿点 (pinyin: jǐ, freq: 211, HSK:1, struct:none)
36. 非＿卓越 (pinyin: fán, freq: 1013, HSK:6, struct:⿵)
37. ＿凰神兽 (pinyin: fèng, freq: 1504, HSK:+, struct:⿵)
38. 大学文＿ (pinyin: píng, freq: 1410, HSK:5, struct:⿱)
39. ＿旋门 (pinyin: kǎi, freq: 1447, HSK:+, struct:⿰)
40. 火凤＿ (pinyin: huáng, freq: 2453, HSK:+, struct:⿵)
41. 四脚＿子 (pinyin: dèng, freq: 2680, HSK:+, struct:⿱)
42. 杀人＿手 (pinyin: xiōng, freq: 1378, HSK:+, struct:⿶)
43. 肚子＿出 (pinyin: tū, freq: 2857, HSK:+, struct:none)
44. 地面＿陷 (pinyin: āo, freq: 2862, HSK:+, struct:none)
45. ＿去玩 (pinyin: chū, freq: 28, HSK:1, struct:⿱)
46. 攻＿敌人 (pinyin: jī, freq: 395, HSK:6, struct:⿱)
47. 数学＿数 (pinyin: hán, freq: 1950, HSK:+, struct:⿶)
48. 开＿运河 (pinyin: záo, freq: 2696, HSK:+, struct:⿶)
49. 一把剪＿ (pinyin: dāo, freq: 1067, HSK:4, struct:⿹)
50. 故意＿难 (pinyin: diāo, freq: 3635, HSK:+, struct:⿹)
51. 锋利刀＿ (pinyin: rèn, freq: 2700, HSK:n, struct:⿹)
52. 第一部＿ (pinyin: fēn, freq: 79, HSK:1, struct:⿱)
53. 一＿代价 (pinyin: qiè, freq: 337, HSK:4, struct:⿰)
54. 学术期＿ (pinyin: kān, freq: 1241, HSK:6, struct:⿰)
55. ＿颈之交 (pinyin: wěn, freq: 5110, HSK:n, struct:⿰)
56. 废除死＿ (pinyin: xíng, freq: 1087, HSK:+, struct:⿰)
57. 改革计＿ (pinyin: huà, freq: 522, HSK:4, struct:⿰)
58. 一系＿ (pinyin: liè, freq: 500, HSK:4, struct:⿰)
59. ＿德华 (pinyin: Liú, freq: 751, HSK:n, struct:⿰)
60. 科学原＿ (pinyin: zé, freq: 284, HSK:4, struct:⿰)
61. 你＿才说 (pinyin: gāng, freq: 621, HSK:3, struct:⿰)
62. ＿始人 (pinyin: chuàng, freq: 635, HSK:5, struct:⿰)
63. ＿步结果 (pinyin: chū, freq: 667, HSK:3, struct:⿰)
64. ＿除文件 (pinyin: shān, freq: 2780, HSK:5, struct:⿰)
65. ＿断能力 (pinyin: pàn, freq: 719, HSK:4, struct:⿰)
66. 用＿刀＿ (pinyin: bào, freq: 3623, HSK:+, struct:⿰)
67. 有＿有弊 (pinyin: lì, freq: 155, HSK:4, struct:⿰)
68. 你＿怪我 (pinyin: bié, freq: 222, HSK:2, struct:⿰)
69. ＿风下雨 (pinyin: guā, freq: 2350, HSK:3, struct:⿰)
70. 没看＿他 (pinyin: dào, freq: 22, HSK:1, struct:⿰)
71. ＿造电脑 (pinyin: zhì, freq: 163, HSK:5, struct:⿰)
72. ＿牙洗脸 (pinyin: shuā, freq: 1824, HSK:3, struct:⿰)
73. 政府债＿ (pinyin: quàn, freq: 1481, HSK:6, struct:⿱)
74. 猛然＿车 (pinyin: shā, freq: 2249, HSK:6, struct:⿰)
