```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 服＿周到 (pinyin: wù, freq: 245, HSK:3, struct:⿱)
2. 优胜＿汰 (pinyin: liè, freq: 1902, HSK:6, struct:⿱)
3. ＿物园 (pinyin: dòng, freq: 73, HSK:2, struct:⿰)
4. 请求帮＿ (pinyin: zhù, freq: 607, HSK:3, struct:⿰)
5. ＿力工作 (pinyin: nǔ, freq: 1081, HSK:3, struct:⿱)
6. 趁火打＿ (pinyin: jié, freq: 1825, HSK:+, struct:⿰)
7. 鼓＿学生 (pinyin: lì, freq: 1468, HSK:4, struct:⿰)
8. 使＿敲门 (pinyin: jìn, freq: 1358, HSK:6, struct:⿰)
9. 吃苦耐＿ (pinyin: láo, freq: 679, HSK:5, struct:⿱)
10. 弹＿总统 (pinyin: hé, freq: 3597, HSK:n, struct:⿰)
11. 占有优＿ (pinyin: shì, freq: 506, HSK:5, struct:⿱)
12. 生机＿＿ (pinyin: bó, freq: 1533, HSK:+, struct:⿰)
13. 鼓起＿气 (pinyin: yǒng, freq: 1206, HSK:4, struct:⿱)
14. ＿强接受 (pinyin: miǎn, freq: 2078, HSK:6, struct:⿺)
15. 荣誉＿章 (pinyin: xūn, freq: 2349, HSK:+, struct:⿰)
16. 巴＿斯坦 (pinyin: lè, freq: 966, HSK:+, struct:⿰)
17. 石油＿探 (pinyin: kān, freq: 2585, HSK:+, struct:⿰)
18. ＿集资金 (pinyin: mù, freq: 2657, HSK:+, struct:⿱)
19. ＿奋好学 (pinyin: qín, freq: 1565, HSK:5, struct:⿰)
20. 用＿子吃 (pinyin: sháo, freq: 3275, HSK:3, struct:⿹)
21. 暗中＿结 (pinyin: gōu, freq: 2034, HSK:+, struct:⿹)
22. 请＿吸烟 (pinyin: wù, freq: 2563, HSK:+, struct:⿹)
23. 均＿分布 (pinyin: yún, freq: 2692, HSK:6, struct:⿹)
24. ＿括在内 (pinyin: bāo, freq: 454, HSK:1, struct:⿹)
25. 不必＿忙 (pinyin: cōng, freq: 1622, HSK:6, struct:⿻)
26. ＿牙利 (pinyin: Xiōng, freq: 2503, HSK:n, struct:⿹)
27. ＿匐前进 (pinyin: pú, freq: 4202, HSK:n, struct:⿹)
28. 匍＿前进 (pinyin: fú, freq: 4278, HSK:n, struct:⿹)
29. 拔出＿首 (pinyin: bǐ, freq: 3252, HSK:n, struct:⿺)
30. 文＿差异 (pinyin: huà, freq: 178, HSK:3, struct:⿰)
31. ＿京故宫 (pinyin: Běi, freq: 315, HSK:3, struct:⿰)
32. 一串钥＿ (pinyin: shi, freq: 2476, HSK:4, struct:⿺)
33. 绕树三＿ (pinyin: zā, freq: 4170, HSK:n, struct:⿷)
34. 一位工＿ (pinyin: jiàng, freq: 2110, HSK:+, struct:⿷)
35. 赵＿胤 (pinyin: Kuāng, freq: 3260, HSK:n, struct:⿷)
