```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 力所能＿ (pinyin: jí, freq: 198, HSK:4, struct:⿻)
2. 忠实朋＿ (pinyin: yǒu, freq: 594, HSK:1, struct:⿸)
3. 一＿鞋子 (pinyin: shuāng, freq: 581, HSK:3, struct:⿰)
4. 化学＿应 (pinyin: fǎn, freq: 237, HSK:4, struct:⿸)
5. ＿生事故 (pinyin: fā, freq: 47, HSK:3, struct:⿸)
6. ＿＿阿姨 (pinyin: shū, freq: 1422, HSK:3, struct:⿰)
7. ＿快递 (pinyin: qǔ, freq: 323, HSK:4, struct:⿰)
8. 享＿生活 (pinyin: shòu, freq: 238, HSK:3, struct:⿳)
9. ＿为现实 (pinyin: biàn, freq: 225, HSK:3, struct:⿱)
10. ＿述故事 (pinyin: xù, freq: 1607, HSK:6, struct:⿰)
11. 背＿祖国 (pinyin: pàn, freq: 1779, HSK:+, struct:⿰)
12. 童＿无欺 (pinyin: sǒu, freq: 3804, HSK:n, struct:⿱)
13. 折＿椅 (pinyin: dié, freq: 2271, HSK:+, struct:⿱)
14. 出＿成章 (pinyin: kǒu, freq: 212, HSK:1, struct:none)
15. ＿老文明 (pinyin: gǔ, freq: 509, HSK:5, struct:⿱)
16. 一＿话 (pinyin: jù, freq: 707, HSK:3, struct:⿹)
17. ＿外一个 (pinyin: lìng, freq: 489, HSK:4, struct:⿱)
18. 不断唠＿ (pinyin: dāo, freq: 2844, HSK:+, struct:⿰)
19. ＿头谢罪 (pinyin: kòu, freq: 2898, HSK:n, struct:⿰)
