```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿＿逼人 (pinyin: duō, freq: 3325, HSK:n, struct:⿰)
2. 海浪＿哮 (pinyin: páo, freq: 3369, HSK:n, struct:⿰)
3. ＿办呢？ (pinyin: zǎ, freq: 2830, HSK:n, struct:⿰)
4. 世界＿平 (pinyin: hé, freq: 19, HSK:1, struct:⿰)
5. 归＿于 (pinyin: jiù, freq: 3225, HSK:n, struct:⿱)
6. 歌＿比赛 (pinyin: yǒng, freq: 3469, HSK:n, struct:⿰)
7. 吩＿仆人 (pinyin: fù, freq: 2093, HSK:+, struct:⿰)
8. 被诅＿了 (pinyin: zhòu, freq: 2286, HSK:n, struct:⿱)
9. ＿嚓一声 (pinyin: kā, freq: 3754, HSK:n, struct:⿰)
10. ＿噜＿噜 (pinyin: gū, freq: 2418, HSK:+, struct:⿰)
11. 一杯＿啡 (pinyin: kā, freq: 2379, HSK:2, struct:⿰)
12. 喉＿发炎 (pinyin: lóng, freq: 3027, HSK:+, struct:⿰)
13. 叮叮＿＿ (pinyin: dōng, freq: 2950, HSK:n, struct:⿰)
14. 叮＿嘱咐 (pinyin: níng, freq: 4256, HSK:n, struct:⿰)
15. ＿＿作响 (pinyin: sī, freq: 4367, HSK:n, struct:⿰)
16. ＿当一声 (pinyin: guāng, freq: 4546, HSK:n, struct:⿰)
17. “＿！” (pinyin: yí, freq: 3080, HSK:n, struct:⿰)
18. 大大＿＿ (pinyin: liē, freq: 2741, HSK:+, struct:⿰)
19. 心理＿询 (pinyin: zī, freq: 2408, HSK:5, struct:⿱)
20. 可爱猫＿ (pinyin: mī, freq: 3313, HSK:n, struct:⿰)
21. ＿尺天涯 (pinyin: zhǐ, freq: 4196, HSK:n, struct:⿺)
22. 虫子叮＿ (pinyin: yǎo, freq: 1658, HSK:5, struct:⿰)
23. ＿吱一声 (pinyin: gē, freq: 2744, HSK:n, struct:⿰)
24. ＿们走吧 (pinyin: zán, freq: 1265, HSK:3, struct:⿰)
25. ＿嗽药 (pinyin: ké, freq: 2373, HSK:4, struct:⿰)
26. 海水很＿ (pinyin: xián, freq: 2525, HSK:4, struct:⿵)
27. ＿＿地叫 (pinyin: xiū, freq: 4347, HSK:n, struct:⿰)
28. 狼吞虎＿ (pinyin: yàn, freq: 2031, HSK:+, struct:⿰)
29. 喜怒＿乐 (pinyin: āi, freq: 1751, HSK:+, struct:⿳)
30. 国际＿牌 (pinyin: pǐn, freq: 308, HSK:4, struct:⿱)
31. ＿堂大笑 (pinyin: hǒng, freq: 2513, HSK:+, struct:⿰)
32. 直打＿嗦 (pinyin: duō, freq: 3231, HSK:+, struct:⿰)
