```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿＿不休 (pinyin: dié, freq: 3633, HSK:n, struct:⿰)
2. ＿哑无声 (pinyin: yīn, freq: 4868, HSK:n, struct:⿰)
3. ＿，这样 (pinyin: ō, freq: 2860, HSK:n, struct:⿰)
4. 患有哮＿ (pinyin: chuǎn, freq: 1977, HSK:+, struct:⿰)
5. 用＿啄木 (pinyin: huì, freq: 3990, HSK:n, struct:⿰)
6. 我＿欢你 (pinyin: xǐ, freq: 668, HSK:1, struct:⿱)
7. ＿一杯酒 (pinyin: hē, freq: 983, HSK:1, struct:⿰)
8. ＿然长叹 (pinyin: kuì, freq: 4423, HSK:n, struct:⿰)
9. 大声＿闹 (pinyin: xuān, freq: 2778, HSK:+, struct:⿰)
10. 咖＿牛肉 (pinyin: lí, freq: 5879, HSK:n, struct:⿰)
11. 叽叽＿＿ (pinyin: zhā, freq: 3311, HSK:n, struct:⿰)
12. 猫＿＿叫 (pinyin: miāo, freq: 4550, HSK:n, struct:⿰)
13. ＿水池 (pinyin: pēn, freq: 1729, HSK:6, struct:⿰)
14. 不言而＿ (pinyin: yù, freq: 2273, HSK:5, struct:⿰)
15. 小＿啰 (pinyin: lóu, freq: 3220, HSK:n, struct:⿰)
16. 狗＿到了 (pinyin: xiù, freq: 2703, HSK:+, struct:⿰)
17. 和她唠＿ (pinyin: kē, freq: 4594, HSK:n, struct:⿰)
18. 嘀＿着水 (pinyin: dā, freq: 3497, HSK:n, struct:⿰)
19. ＿子沙哑 (pinyin: sǎng, freq: 2496, HSK:6, struct:⿰)
20. 半＿半喜 (pinyin: chēn, freq: 3546, HSK:n, struct:⿰)
21. ＿＿掠过 (pinyin: sōu, freq: 3751, HSK:n, struct:⿰)
22. ＿好吸烟 (pinyin: shì, freq: 2988, HSK:+, struct:⿰)
23. 吃完打＿ (pinyin: gé, freq: 4610, HSK:n, struct:⿰)
24. ＿叹命运 (pinyin: jiē, freq: 3875, HSK:n, struct:⿰)
