```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 垃＿桶 (pinyin: jī, freq: 2634, HSK:4, struct:⿰)
2. 古城遗＿ (pinyin: zhǐ, freq: 1848, HSK:4, struct:⿰)
3. 阪：＿ (pinyin: bǎn, freq: 4000, HSK:n, struct:⿰)
4. 人口平＿ (pinyin: jūn, freq: 903, HSK:5, struct:⿰)
5. 一座磨＿ (pinyin: fáng, freq: 2542, HSK:+, struct:⿰)
6. 房屋＿塌 (pinyin: tān, freq: 3515, HSK:n, struct:⿰)
7. 山路＿坷 (pinyin: kǎn, freq: 2446, HSK:+, struct:⿰)
8. 破＿环境 (pinyin: huài, freq: 832, HSK:2, struct:⿰)
9. ＿下休息 (pinyin: zuò, freq: 611, HSK:1, struct:⿻)
10. 挖一个＿ (pinyin: kēng, freq: 2242, HSK:+, struct:⿰)
11. 一＿钱 (pinyin: kuài, freq: 793, HSK:1, struct:⿰)
12. ＿持下去 (pinyin: jiān, freq: 748, HSK:3, struct:⿱)
13. 网络论＿ (pinyin: tán, freq: 1806, HSK:6, struct:⿰)
14. 修建堤＿ (pinyin: bà, freq: 2786, HSK:+, struct:⿰)
15. 好莱＿ (pinyin: wù, freq: 3157, HSK:n, struct:⿰)
16. 自掘＿墓 (pinyin: fén, freq: 2370, HSK:+, struct:⿰)
17. 摇摇欲＿ (pinyin: zhuì, freq: 2279, HSK:+, struct:⿱)
18. 在山＿上 (pinyin: pō, freq: 1550, HSK:6, struct:⿰)
19. 扭转乾＿ (pinyin: kūn, freq: 2910, HSK:n, struct:⿰)
20. 地势平＿ (pinyin: tǎn, freq: 1017, HSK:+, struct:⿰)
21. 面条＿了 (pinyin: tuó, freq: 5617, HSK:n, struct:⿰)
22. 草＿割草 (pinyin: píng, freq: 2716, HSK:+, struct:⿰)
23. 毛＿房 (pinyin: pī, freq: 3788, HSK:n, struct:⿰)
24. 山＿低谷 (pinyin: ào, freq: 4450, HSK:n, struct:⿰)
25. 坎＿不平 (pinyin: kě, freq: 3872, HSK:+, struct:⿰)
26. ＿直线 (pinyin: chuí, freq: 1592, HSK:6, struct:⿻)
27. ＿圾分类 (pinyin: lā, freq: 2628, HSK:4, struct:⿰)
28. ＿断市场 (pinyin: lǒng, freq: 2336, HSK:+, struct:⿱)
29. 小＿车 (pinyin: xíng, freq: 556, HSK:5, struct:⿱)
