```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 从＿开始 (pinyin: tóu, freq: 147, HSK:2, struct:⿻)
2. 夏威＿ (pinyin: yí, freq: 2337, HSK:+, struct:⿻)
3. 过于＿张 (pinyin: kuā, freq: 1955, HSK:6, struct:⿱)
4. 小心＿手 (pinyin: jiā, freq: 1758, HSK:6, struct:⿻)
5. 争＿冠军 (pinyin: duó, freq: 1199, HSK:6, struct:⿱)
6. ＿＿一息 (pinyin: yǎn, freq: 3462, HSK:n, struct:⿱)
7. 我很＿怪 (pinyin: qí, freq: 563, HSK:3, struct:⿱)
8. 无可＿何 (pinyin: nài, freq: 1624, HSK:5, struct:⿱)
9. 无私＿献 (pinyin: fèng, freq: 1382, HSK:6, struct:⿱)
10. 兴＿不已 (pinyin: fèn, freq: 1268, HSK:4, struct:⿱)
11. ＿屯市 (pinyin: Kuí, freq: 2608, HSK:n, struct:⿱)
12. 演＿乐器 (pinyin: zòu, freq: 1543, HSK:6, struct:⿱)
13. 配合默＿ (pinyin: qì, freq: 1819, HSK:+, struct:⿱)
14. 骏马＿驰 (pinyin: bēn, freq: 1285, HSK:6, struct:⿱)
15. 陈＿迅 (pinyin: Yì, freq: 3026, HSK:n, struct:⿱)
16. 你过＿了 (pinyin: jiǎng, freq: 1233, HSK:4, struct:⿱)
17. 配＿设施 (pinyin: tào, freq: 1091, HSK:4, struct:⿱)
18. 玄＿西行 (pinyin: Zàng, freq: 4545, HSK:n, struct:⿱)
19. 遭到＿落 (pinyin: xī, freq: 3395, HSK:+, struct:⿱)
20. ＿定基础 (pinyin: diàn, freq: 2656, HSK:+, struct:⿱)
21. ＿侈品 (pinyin: shē, freq: 2708, HSK:+, struct:⿱)
22. ＿运会 (pinyin: Ào, freq: 972, HSK:+, struct:⿱)
23. 男＿老少 (pinyin: nǚ, freq: 224, HSK:1, struct:none)
24. 解放＿隶 (pinyin: nú, freq: 1402, HSK:+, struct:⿰)
25. 牛＿咖啡 (pinyin: nǎi, freq: 1278, HSK:1, struct:⿰)
26. 强＿罪 (pinyin: jiān, freq: 1992, HSK:+, struct:⿰)
27. ＿是女人 (pinyin: tā, freq: 91, HSK:1, struct:⿰)
28. ＿久不见 (pinyin: hǎo, freq: 82, HSK:1, struct:⿰)
29. 尽管＿此 (pinyin: rú, freq: 67, HSK:3, struct:⿰)
30. 杨贵＿ (pinyin: fēi, freq: 2574, HSK:n, struct:⿰)
31. 痴心＿想 (pinyin: wàng, freq: 2097, HSK:+, struct:⿱)
32. 化＿品 (pinyin: zhuāng, freq: 2639, HSK:6, struct:⿰)
33. 家庭主＿ (pinyin: fù, freq: 932, HSK:5, struct:⿰)
34. 爸爸＿＿ (pinyin: mā, freq: 750, HSK:1, struct:⿰)
35. ＿娠期间 (pinyin: rèn, freq: 3523, HSK:n, struct:⿰)
36. ＿丽如花 (pinyin: yán, freq: 4708, HSK:n, struct:⿰)
37. 嫉＿之心 (pinyin: dù, freq: 2598, HSK:+, struct:⿰)
38. 街头＿女 (pinyin: jì, freq: 2777, HSK:n, struct:⿰)
39. 口袋＿怪 (pinyin: yāo, freq: 1869, HSK:+, struct:⿰)
40. 莫名其＿ (pinyin: miào, freq: 1250, HSK:6, struct:⿰)
41. 性感＿儿 (pinyin: niū, freq: 3200, HSK:n, struct:⿰)
42. 愿意＿协 (pinyin: tuǒ, freq: 1840, HSK:+, struct:⿱)
43. ＿碍调查 (pinyin: fáng, freq: 1873, HSK:6, struct:⿰)
44. ＿媚动人 (pinyin: wǔ, freq: 4073, HSK:n, struct:⿰)
45. 她叫安＿ (pinyin: nī, freq: 2124, HSK:n, struct:⿰)
46. 妖媚＿己 (pinyin: Dá, freq: 4830, HSK:n, struct:⿰)
47. 姐姐＿＿ (pinyin: mèi, freq: 1185, HSK:1, struct:⿰)
48. 娶她为＿ (pinyin: qī, freq: 1076, HSK:2, struct:⿱)
49. 三妻四＿ (pinyin: qiè, freq: 3242, HSK:n, struct:⿱)
50. 雇佣保＿ (pinyin: mǔ, freq: 1061, HSK:+, struct:⿰)
51. 同胞＿妹 (pinyin: zǐ, freq: 2236, HSK:n, struct:⿰)
52. 现在开＿ (pinyin: shǐ, freq: 381, HSK:2, struct:⿰)
53. 兄弟＿妹 (pinyin: jiě, freq: 830, HSK:1, struct:⿰)
54. 灰＿娘 (pinyin: gū, freq: 994, HSK:4, struct:⿰)
55. 老百＿ (pinyin: xìng, freq: 1149, HSK:2, struct:⿰)
56. ＿员会 (pinyin: wěi, freq: 457, HSK:6, struct:⿱)
57. ＿＿来迟 (pinyin: shān, freq: 3883, HSK:n, struct:⿰)
58. ＿明打球 (pinyin: Yáo, freq: 2308, HSK:n, struct:⿰)
59. 用＿调味 (pinyin: jiāng, freq: 2394, HSK:+, struct:⿱)
60. 拜访＿爷 (pinyin: lǎo, freq: 2874, HSK:5, struct:⿰)
61. 叔叔阿＿ (pinyin: yí, freq: 2287, HSK:3, struct:⿰)
62. 霸王别＿ (pinyin: jī, freq: 2683, HSK:n, struct:⿰)
63. ＿紫嫣红 (pinyin: chà, freq: 5276, HSK:n, struct:⿰)
64. 婚＿仪式 (pinyin: yīn, freq: 2007, HSK:6, struct:⿰)
65. 摆个＿势 (pinyin: zī, freq: 1899, HSK:5, struct:⿱)
66. 权＿机构 (pinyin: wēi, freq: 622, HSK:5, struct:⿻)
67. 玩具＿＿ (pinyin: wá, freq: 1833, HSK:6, struct:⿰)
68. 他出＿子 (pinyin: lóu, freq: 4052, HSK:n, struct:⿱)
69. 朱莉＿ (pinyin: yà, freq: 2877, HSK:n, struct:⿰)
70. 妖＿妩媚 (pinyin: ráo, freq: 5584, HSK:n, struct:⿰)
71. ＿嫩皮肤 (pinyin: jiāo, freq: 2158, HSK:+, struct:⿰)
72. 婆＿起舞 (pinyin: suō, freq: 4335, HSK:n, struct:⿱)
73. ＿＿动听 (pinyin: wěi, freq: 3999, HSK:n, struct:⿰)
74. 小姑＿们 (pinyin: niáng, freq: 881, HSK:4, struct:⿰)
75. 李＿获胜 (pinyin: Nà, freq: 1584, HSK:n, struct:⿰)
76. 字迹＿秀 (pinyin: juān, freq: 2564, HSK:n, struct:⿰)
77. 妊＿期间 (pinyin: shēn, freq: 3590, HSK:n, struct:⿰)
78. 嫦＿奔月 (pinyin: é, freq: 2784, HSK:n, struct:⿰)
79. 分＿疼痛 (pinyin: miǎn, freq: 4144, HSK:n, struct:⿰)
80. ＿乐活动 (pinyin: yú, freq: 2493, HSK:5, struct:⿰)
81. 女＿补天 (pinyin: wā, freq: 4241, HSK:n, struct:⿰)
82. ＿熟技巧 (pinyin: xián, freq: 3209, HSK:n, struct:⿰)
83. ＿女为妻 (pinyin: qǔ, freq: 2494, HSK:6, struct:⿱)
84. 卖淫嫖＿ (pinyin: chāng, freq: 3578, HSK:n, struct:⿰)
85. ＿娜多姿 (pinyin: ē, freq: 4585, HSK:n, struct:⿰)
86. 老公老＿ (pinyin: pó, freq: 1347, HSK:5, struct:⿱)
87. 委＿地说 (pinyin: wǎn, freq: 2798, HSK:+, struct:⿰)
88. ＿子养的 (pinyin: biǎo, freq: 4237, HSK:n, struct:⿰)
89. 我结＿了 (pinyin: hūn, freq: 942, HSK:3, struct:⿰)
90. ＿女侍候 (pinyin: bì, freq: 3082, HSK:n, struct:⿰)
91. 贪＿之心 (pinyin: lán, freq: 3112, HSK:+, struct:⿱)
92. 哺乳＿儿 (pinyin: yīng, freq: 2115, HSK:6, struct:⿱)
93. 叔叔＿＿ (pinyin: shěn, freq: 2971, HSK:n, struct:⿰)
94. 她是朱＿ (pinyin: Tíng, freq: 3653, HSK:n, struct:⿰)
95. 女儿女＿ (pinyin: xù, freq: 3115, HSK:+, struct:⿰)
96. 社交＿体 (pinyin: méi, freq: 1506, HSK:5, struct:⿰)
97. 妩＿动人 (pinyin: mèi, freq: 2291, HSK:+, struct:⿰)
98. 名＿淑女 (pinyin: yuàn, freq: 4078, HSK:n, struct:⿰)
99. 相＿美 (pinyin: pì, freq: 3911, HSK:+, struct:⿰)
100. 贤惠＿妇 (pinyin: xí, freq: 2393, HSK:6, struct:⿰)
