```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 她＿给他 (pinyin: jià, freq: 2063, HSK:6, struct:⿰)
2. 哥哥＿子 (pinyin: sǎo, freq: 2142, HSK:+, struct:⿰)
3. ＿妒姐姐 (pinyin: jí, freq: 2690, HSK:+, struct:⿰)
4. ＿疑人 (pinyin: xián, freq: 1826, HSK:6, struct:⿰)
5. 卖淫＿娼 (pinyin: piáo, freq: 3463, HSK:n, struct:⿰)
6. ＿系子孙 (pinyin: dí, freq: 3746, HSK:n, struct:⿰)
7. ＿然一笑 (pinyin: yān, freq: 3520, HSK:n, struct:⿰)
8. ＿娥玉兔 (pinyin: Cháng, freq: 3166, HSK:n, struct:⿰)
9. 黎巴＿ (pinyin: nèn, freq: 2500, HSK:+, struct:⿰)
10. 小孩＿戏 (pinyin: xī, freq: 3375, HSK:+, struct:⿰)
11. 继承遗＿ (pinyin: shuāng, freq: 4368, HSK:n, struct:⿰)
12. 生个孩＿ (pinyin: zi, freq: 37, HSK:1, struct:⿻)
13. ＿然一身 (pinyin: jié, freq: 4691, HSK:n, struct:none)
14. ＿子曰： (pinyin: kǒng, freq: 1289, HSK:+, struct:⿰)
15. 我怀＿了 (pinyin: yùn, freq: 2094, HSK:6, struct:⿱)
16. 我的名＿ (pinyin: zì, freq: 393, HSK:1, struct:⿱)
17. 鬼不＿在 (pinyin: cún, freq: 384, HSK:4, struct:⿸)
18. ＿子＿女 (pinyin: sūn, freq: 995, HSK:4, struct:⿰)
19. 深＿众望 (pinyin: fú, freq: 3473, HSK:n, struct:⿱)
20. ＿然牛肉 (pinyin: zī, freq: 3150, HSK:n, struct:⿰)
21. ＿顺父母 (pinyin: xiào, freq: 2116, HSK:+, struct:⿸)
22. ＿子思想 (pinyin: Mèng, freq: 1575, HSK:n, struct:⿱)
23. 真菌＿子 (pinyin: bāo, freq: 4216, HSK:n, struct:⿰)
24. 四＿如春 (pinyin: jì, freq: 1279, HSK:3, struct:⿱)
25. ＿独感 (pinyin: gū, freq: 1334, HSK:6, struct:⿰)
26. 好好＿习 (pinyin: xué, freq: 66, HSK:1, struct:⿱)
27. ＿子玩耍 (pinyin: hái, freq: 533, HSK:1, struct:⿰)
28. ＿生弟弟 (pinyin: luán, freq: 4292, HSK:+, struct:⿱)
29. ＿能无过 (pinyin: shú, freq: 3568, HSK:n, struct:⿰)
30. ＿弱无能 (pinyin: chán, freq: 4985, HSK:n, struct:⿸)
31. ＿出小鸡 (pinyin: fū, freq: 3256, HSK:+, struct:⿰)
32. ＿子可教 (pinyin: rú, freq: 4084, HSK:n, struct:⿰)
33. 洗除罪＿ (pinyin: niè, freq: 2942, HSK:n, struct:⿱)
34. 安＿平静 (pinyin: níng, freq: 1019, HSK:+, struct:⿱)
35. ＿是狗 (pinyin: tā, freq: 107, HSK:1, struct:⿱)
36. 住＿小区 (pinyin: zhái, freq: 1858, HSK:6, struct:⿱)
37. 无限＿宙 (pinyin: yǔ, freq: 1156, HSK:+, struct:⿱)
38. 保＿秘密 (pinyin: shǒu, freq: 796, HSK:5, struct:⿱)
39. ＿居乐业 (pinyin: ān, freq: 232, HSK:3, struct:⿱)
40. ＿徽宗 (pinyin: Sòng, freq: 990, HSK:n, struct:⿱)
41. ＿成任务 (pinyin: wán, freq: 301, HSK:2, struct:⿱)
42. ＿观经济 (pinyin: hóng, freq: 1798, HSK:6, struct:⿱)
43. 跌＿起伏 (pinyin: dàng, freq: 4231, HSK:n, struct:⿱)
44. ＿教信仰 (pinyin: zōng, freq: 727, HSK:+, struct:⿱)
45. 政府＿员 (pinyin: guān, freq: 432, HSK:6, struct:⿱)
46. 探索宇＿ (pinyin: zhòu, freq: 1421, HSK:+, struct:⿱)
47. 固＿位置 (pinyin: dìng, freq: 77, HSK:3, struct:⿱)
48. ＿如梦境 (pinyin: wǎn, freq: 2528, HSK:n, struct:⿱)
