```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 一层灰＿ (pinyin: chén, freq: 1718, HSK:6, struct:⿱)
2. ＿未公布 (pinyin: shàng, freq: 878, HSK:6, struct:⿵)
3. ＿试一下 (pinyin: cháng, freq: 1621, HSK:3, struct:⿱)
4. ＿其是 (pinyin: yóu, freq: 1099, HSK:4, struct:⿺)
5. ＿天舜日 (pinyin: Yáo, freq: 3264, HSK:n, struct:⿱)
6. 令人尴＿ (pinyin: gà, freq: 2729, HSK:6, struct:⿺)
7. 那＿是说 (pinyin: jiù, freq: 27, HSK:2, struct:⿰)
8. ＿尬不已 (pinyin: gān, freq: 2726, HSK:6, struct:⿺)
9. ＿体解剖 (pinyin: shī, freq: 1517, HSK:+, struct:none)
10. ＿明善 (pinyin: Yǐn, freq: 2885, HSK:n, struct:⿻)
11. 身体＿寸 (pinyin: chǐ, freq: 1474, HSK:5, struct:⿸)
12. ＿泊尔 (pinyin: Ní, freq: 654, HSK:n, struct:⿸)
13. ＿管如此 (pinyin: jǐn, freq: 488, HSK:4, struct:⿵)
14. ＿巴摇动 (pinyin: wěi, freq: 1282, HSK:5, struct:⿸)
15. 糖＿病 (pinyin: niào, freq: 1877, HSK:+, struct:⿸)
16. ＿部信息 (pinyin: jú, freq: 483, HSK:5, struct:⿵)
17. 擦擦＿股 (pinyin: pì, freq: 2295, HSK:+, struct:⿸)
18. 一＿油漆 (pinyin: céng, freq: 699, HSK:3, struct:⿸)
19. 城里＿民 (pinyin: jū, freq: 678, HSK:3, struct:⿸)
20. 不＿不挠 (pinyin: qū, freq: 1684, HSK:6, struct:⿸)
21. 在抽＿里 (pinyin: tì, freq: 3127, HSK:+, struct:⿸)
22. 本＿会议 (pinyin: jiè, freq: 1522, HSK:5, struct:⿸)
23. ＿顶漏水 (pinyin: wū, freq: 863, HSK:3, struct:⿸)
24. 拉＿撒尿 (pinyin: shǐ, freq: 3336, HSK:+, struct:⿸)
25. 手机＿幕 (pinyin: píng, freq: 1891, HSK:5, struct:⿸)
26. 不＿一顾 (pinyin: xiè, freq: 2516, HSK:+, struct:⿸)
27. 艺术＿览 (pinyin: zhǎn, freq: 275, HSK:3, struct:⿸)
28. 金＿制品 (pinyin: shǔ, freq: 610, HSK:5, struct:⿸)
29. ＿杀平民 (pinyin: tú, freq: 2171, HSK:+, struct:⿸)
30. ＿次失败 (pinyin: lǚ, freq: 2450, HSK:+, struct:⿸)
31. ＿行诺言 (pinyin: lǚ, freq: 1802, HSK:6, struct:⿸)
32. 三里＿ (pinyin: tún, freq: 2864, HSK:n, struct:⿻)
33. 爬过泰＿ (pinyin: shān, freq: 259, HSK:3, struct:⿶)
34. ＿立不倒 (pinyin: yì, freq: 3851, HSK:+, struct:⿰)
35. 海上岛＿ (pinyin: yǔ, freq: 2636, HSK:+, struct:⿰)
36. 你几＿了 (pinyin: suì, freq: 772, HSK:1, struct:⿱)
37. ＿有此理 (pinyin: qǐ, freq: 1726, HSK:+, struct:⿱)
38. ＿＿可危 (pinyin: jí, freq: 4205, HSK:n, struct:⿱)
39. ＿参诗风 (pinyin: Cén, freq: 3466, HSK:n, struct:⿱)
40. 到＿路口 (pinyin: chà, freq: 3134, HSK:+, struct:⿱)
41. 崎＿地形 (pinyin: qū, freq: 4065, HSK:+, struct:⿰)
42. 工作＿位 (pinyin: gǎng, freq: 1795, HSK:6, struct:⿱)
43. 山＿缭绕 (pinyin: lán, freq: 2663, HSK:n, struct:⿱)
44. 青＿啤酒 (pinyin: dǎo, freq: 798, HSK:6, struct:⿹)
45. ＿石标本 (pinyin: yán, freq: 1423, HSK:+, struct:⿱)
46. 山＿地区 (pinyin: lǐng, freq: 2214, HSK:+, struct:⿰)
47. 泰山：＿ (pinyin: Dài, freq: 4088, HSK:n, struct:⿱)
48. ＿父＿母 (pinyin: yuè, freq: 1844, HSK:+, struct:⿱)
49. ＿江河谷 (pinyin: Mín, freq: 4693, HSK:n, struct:⿰)
50. 河的两＿ (pinyin: àn, freq: 971, HSK:6, struct:⿱)
51. 瘦骨嶙＿ (pinyin: xún, freq: 4478, HSK:n, struct:⿰)
52. 两军对＿ (pinyin: zhì, freq: 3046, HSK:+, struct:⿰)
53. 大＿谷 (pinyin: xiá, freq: 1727, HSK:+, struct:⿰)
54. 山＿起伏 (pinyin: luán, freq: 3789, HSK:n, struct:⿱)
55. 巍＿悬崖 (pinyin: é, freq: 3063, HSK:n, struct:⿰)
56. 陡＿山崖 (pinyin: qiào, freq: 2990, HSK:+, struct:⿰)
57. 高＿时期 (pinyin: fēng, freq: 1473, HSK:6, struct:⿰)
58. 严＿考验 (pinyin: jùn, freq: 2506, HSK:+, struct:⿰)
59. ＿拜偶像 (pinyin: chóng, freq: 1482, HSK:6, struct:⿱)
60. ＿岖不平 (pinyin: qí, freq: 2751, HSK:+, struct:⿰)
61. ＿永元 (pinyin: Cuī, freq: 2552, HSK:n, struct:⿱)
62. 攀登悬＿ (pinyin: yá, freq: 2247, HSK:+, struct:⿱)
63. 重新＿起 (pinyin: jué, freq: 3068, HSK:+, struct:⿰)
64. 精神＿溃 (pinyin: bēng, freq: 2178, HSK:+, struct:⿱)
65. ＿新的车 (pinyin: zhǎn, freq: 3035, HSK:6, struct:⿱)
66. 母猪下＿ (pinyin: zǎi, freq: 3712, HSK:n, struct:⿱)
67. 峨＿山 (pinyin: méi, freq: 3796, HSK:n, struct:⿰)
68. 镶＿工艺 (pinyin: qiàn, freq: 2831, HSK:+, struct:⿱)
69. 中岳＿山 (pinyin: Sōng, freq: 3401, HSK:n, struct:⿱)
70. ＿峋突兀 (pinyin: lín, freq: 4467, HSK:n, struct:⿰)
71. 事业＿峰 (pinyin: diān, freq: 3775, HSK:+, struct:⿱)
72. ＿峨壮丽 (pinyin: wēi, freq: 3201, HSK:n, struct:⿱)
73. ＿流不息 (pinyin: chuān, freq: 1109, HSK:+, struct:⿲)
74. 广＿市 (pinyin: zhōu, freq: 721, HSK:6, struct:⿻)
75. 四周＿逻 (pinyin: xún, freq: 1544, HSK:+, struct:⿺)
76. 北京鸟＿ (pinyin: cháo, freq: 2298, HSK:+, struct:⿱)
77. 隧道＿程 (pinyin: gōng, freq: 118, HSK:1, struct:⿱)
78. 一千＿右 (pinyin: zuǒ, freq: 782, HSK:2, struct:⿸)
79. ＿克力 (pinyin: qiǎo, freq: 1219, HSK:4, struct:⿰)
80. ＿无霸 (pinyin: jù, freq: 913, HSK:5, struct:⿷)
81. ＿固知识 (pinyin: gǒng, freq: 2384, HSK:6, struct:⿰)
82. 女＿诅咒 (pinyin: wū, freq: 2189, HSK:n, struct:⿻)
83. ＿不多 (pinyin: chà, freq: 732, HSK:3, struct:⿸)
84. 我自＿做 (pinyin: jǐ, freq: 162, HSK:2, struct:⿱)
85. ＿经完成 (pinyin: yǐ, freq: 117, HSK:2, struct:none)
86. 辰＿午未 (pinyin: sì, freq: 3381, HSK:n, struct:⿻)
87. ＿基斯坦 (pinyin: Bā, freq: 546, HSK:4, struct:⿻)
88. 大街小＿ (pinyin: xiàng, freq: 2399, HSK:+, struct:⿱)
89. 织条围＿ (pinyin: jīn, freq: 2281, HSK:4, struct:⿻)
90. 人民＿ (pinyin: bì, freq: 1188, HSK:5, struct:⿱)
91. 经济＿场 (pinyin: shì, freq: 254, HSK:1, struct:⿱)
92. ＿满星星 (pinyin: bù, freq: 380, HSK:5, struct:⿸)
93. ＿哥美女 (pinyin: shuài, freq: 1888, HSK:4, struct:⿰)
94. 一＿风顺 (pinyin: fān, freq: 2459, HSK:6, struct:⿰)
95. ＿范大学 (pinyin: shī, freq: 333, HSK:1, struct:⿰)
96. 失去＿望 (pinyin: xī, freq: 508, HSK:2, struct:⿱)
97. 搭起＿篷 (pinyin: zhàng, freq: 1603, HSK:+, struct:⿰)
98. 掏出手＿ (pinyin: pà, freq: 1519, HSK:+, struct:⿰)
99. 网上发＿ (pinyin: tiě, freq: 2892, HSK:+, struct:⿰)
100. 拉上窗＿ (pinyin: lián, freq: 2458, HSK:+, struct:⿱)
