```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 一把扫＿ (pinyin: zhou, freq: 3630, HSK:+, struct:⿳)
2. 简＿书法 (pinyin: bó, freq: 3682, HSK:n, struct:⿱)
3. 升起旗＿ (pinyin: zhì, freq: 2813, HSK:+, struct:⿰)
4. 宋朝皇＿ (pinyin: dì, freq: 612, HSK:6, struct:⿱)
5. 没＿手机 (pinyin: dài, freq: 342, HSK:3, struct:⿳)
6. 书籍装＿ (pinyin: zhēn, freq: 3563, HSK:n, struct:⿰)
7. 会议主＿ (pinyin: xí, freq: 894, HSK:5, struct:⿸)
8. ＿助别人 (pinyin: bāng, freq: 769, HSK:2, struct:⿱)
9. 落下＿幕 (pinyin: wéi, freq: 3448, HSK:+, struct:⿰)
10. 习以为＿ (pinyin: cháng, freq: 187, HSK:1, struct:⿱)
11. 一顶＿子 (pinyin: mào, freq: 1750, HSK:4, struct:⿰)
12. 三次＿ (pinyin: mì, freq: 5384, HSK:n, struct:⿱)
13. 运筹帷＿ (pinyin: wò, freq: 4823, HSK:+, struct:⿰)
14. 大＿度 (pinyin: fú, freq: 1444, HSK:4, struct:⿰)
15. 打着＿子 (pinyin: huǎng, freq: 3243, HSK:n, struct:⿰)
16. 地＿岩石 (pinyin: màn, freq: 3538, HSK:n, struct:⿰)
17. 中文字＿ (pinyin: mù, freq: 1315, HSK:5, struct:⿱)
18. 旗＿招展 (pinyin: fān, freq: 3437, HSK:n, struct:⿰)
19. 一＿高楼 (pinyin: zhuàng, freq: 2566, HSK:+, struct:⿰)
