```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 这场战＿ (pinyin: yì, freq: 1245, HSK:+, struct:⿰)
2. ＿底打扫 (pinyin: chè, freq: 1240, HSK:5, struct:⿰)
3. ＿此拥抱 (pinyin: bǐ, freq: 1256, HSK:5, struct:⿰)
4. ＿前走 (pinyin: wǎng, freq: 369, HSK:2, struct:⿰)
5. 个人特＿ (pinyin: zhēng, freq: 739, HSK:5, struct:⿰)
6. 唯一途＿ (pinyin: jìng, freq: 1307, HSK:6, struct:⿰)
7. 公平对＿ (pinyin: dài, freq: 673, HSK:4, struct:⿰)
8. ＿私舞弊 (pinyin: xùn, freq: 4085, HSK:n, struct:⿰)
9. 她＿瘦 (pinyin: hěn, freq: 138, HSK:1, struct:⿰)
10. 漫步徜＿ (pinyin: yáng, freq: 5495, HSK:n, struct:⿰)
11. 上下徘＿ (pinyin: huái, freq: 3003, HSK:+, struct:⿰)
12. 法＿法规 (pinyin: lǜ, freq: 526, HSK:4, struct:⿰)
13. ＿州市 (pinyin: Xú, freq: 1313, HSK:+, struct:⿰)
14. 歹＿开枪 (pinyin: tú, freq: 1060, HSK:6, struct:⿰)
15. 我觉＿累 (pinyin: dé, freq: 39, HSK:1, struct:⿰)
16. ＿徊不前 (pinyin: pái, freq: 3084, HSK:+, struct:⿰)
17. 向南迁＿ (pinyin: xǐ, freq: 3411, HSK:+, struct:⿰)
18. ＿徉街道 (pinyin: cháng, freq: 5620, HSK:n, struct:⿰)
19. 防＿能力 (pinyin: yù, freq: 1381, HSK:+, struct:⿰)
20. 《徬＿》 (pinyin: huáng, freq: 4133, HSK:n, struct:⿰)
21. ＿序渐进 (pinyin: xún, freq: 1744, HSK:6, struct:⿰)
22. ＿软公司 (pinyin: wēi, freq: 653, HSK:4, struct:⿲)
23. ＿国汉堡 (pinyin: Dé, freq: 256, HSK:6, struct:⿰)
24. 安＿省 (pinyin: huī, freq: 2277, HSK:+, struct:⿲)
25. 小＿点儿 (pinyin: xīn, freq: 90, HSK:3, struct:none)
26. ＿须买票 (pinyin: bì, freq: 248, HSK:3, struct:⿻)
27. 记＿力 (pinyin: yì, freq: 1333, HSK:4, struct:⿰)
28. 禁＿话题 (pinyin: jì, freq: 1922, HSK:+, struct:⿱)
29. ＿不住 (pinyin: rěn, freq: 1127, HSK:5, struct:⿱)
30. ＿悔罪行 (pinyin: chàn, freq: 3177, HSK:n, struct:⿰)
31. ＿忑不安 (pinyin: tǎn, freq: 4164, HSK:n, struct:⿱)
32. 忐＿不安 (pinyin: tè, freq: 4165, HSK:n, struct:⿱)
33. ＿修斯 (pinyin: tè, freq: 3144, HSK:n, struct:⿹)
34. 他思＿着 (pinyin: cǔn, freq: 3000, HSK:n, struct:⿰)
35. 雷锋同＿ (pinyin: zhì, freq: 542, HSK:4, struct:⿱)
36. ＿记密码 (pinyin: wàng, freq: 1056, HSK:2, struct:⿱)
37. 手＿脚乱 (pinyin: máng, freq: 827, HSK:1, struct:⿰)
38. ＿诚伙伴 (pinyin: zhōng, freq: 1322, HSK:+, struct:⿱)
39. 忧心＿＿ (pinyin: chōng, freq: 3326, HSK:n, struct:⿰)
40. ＿逆不孝 (pinyin: wǔ, freq: 5039, HSK:n, struct:⿰)
