```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 祖父＿论 (pinyin: bèi, freq: 3148, HSK:n, struct:⿰)
2. 毛骨＿然 (pinyin: sǒng, freq: 3552, HSK:n, struct:⿰)
3. 恍然大＿ (pinyin: wù, freq: 1668, HSK:+, struct:⿰)
4. 历史＿久 (pinyin: yōu, freq: 2055, HSK:5, struct:⿱)
5. ＿有疾病 (pinyin: huàn, freq: 1249, HSK:6, struct:⿱)
6. 身心愉＿ (pinyin: yuè, freq: 1995, HSK:+, struct:⿰)
7. 请＿用餐 (pinyin: nín, freq: 726, HSK:1, struct:⿱)
8. ＿崖峭壁 (pinyin: xuán, freq: 1879, HSK:+, struct:⿱)
9. 怜＿穷人 (pinyin: mǐn, freq: 2968, HSK:n, struct:⿰)
10. 感到＿哀 (pinyin: bēi, freq: 1166, HSK:6, struct:⿱)
11. 憔＿病态 (pinyin: cuì, freq: 3474, HSK:+, struct:⿰)
12. 心脏＿动 (pinyin: jì, freq: 3561, HSK:n, struct:⿰)
13. ＿＿而去 (pinyin: xìng, freq: 3677, HSK:n, struct:⿰)
14. 哀＿亡者 (pinyin: dào, freq: 2963, HSK:+, struct:⿰)
15. 实际＿况 (pinyin: qíng, freq: 120, HSK:2, struct:⿰)
16. 心绪＿怅 (pinyin: chóu, freq: 4079, HSK:n, struct:⿰)
17. 大吃一＿ (pinyin: jīng, freq: 659, HSK:4, struct:⿰)
18. 感到＿惜 (pinyin: wǎn, freq: 3592, HSK:+, struct:⿰)
19. 抵制诱＿ (pinyin: huò, freq: 1600, HSK:6, struct:⿱)
20. 保持警＿ (pinyin: tì, freq: 2742, HSK:+, struct:⿰)
21. 走出迷＿ (pinyin: wǎng, freq: 3425, HSK:n, struct:⿰)
22. 精神恍＿ (pinyin: hū, freq: 3293, HSK:n, struct:⿰)
23. 可＿的是 (pinyin: xī, freq: 1512, HSK:4, struct:⿰)
24. 唯：＿ (pinyin: wéi, freq: 1856, HSK:n, struct:⿰)
25. 优＿价格 (pinyin: huì, freq: 1524, HSK:5, struct:⿱)
26. ＿记孩子 (pinyin: diàn, freq: 3752, HSK:+, struct:⿰)
27. 一阵恐＿ (pinyin: jù, freq: 1616, HSK:6, struct:⿰)
28. 悲＿生活 (pinyin: cǎn, freq: 1530, HSK:+, struct:⿰)
29. 受到＿罚 (pinyin: chéng, freq: 1821, HSK:6, struct:⿱)
30. 疲＿不堪 (pinyin: bèi, freq: 3007, HSK:+, struct:⿱)
31. ＿意的事 (pinyin: qiè, freq: 3976, HSK:+, struct:⿰)
32. 我很＿愧 (pinyin: cán, freq: 2943, HSK:+, struct:⿰)
33. 肆无忌＿ (pinyin: dàn, freq: 3601, HSK:+, struct:⿰)
34. 坏习＿ (pinyin: guàn, freq: 1226, HSK:3, struct:⿰)
35. 懒＿的人 (pinyin: duò, freq: 3310, HSK:+, struct:⿰)
36. 思＿家 (pinyin: xiǎng, freq: 99, HSK:1, struct:⿱)
37. ＿＿不安 (pinyin: zhuì, freq: 3725, HSK:n, struct:⿰)
38. ＿恐不安 (pinyin: huáng, freq: 2320, HSK:n, struct:⿰)
39. ＿人喜爱 (pinyin: rě, freq: 2272, HSK:+, struct:⿱)
40. ＿＿相惜 (pinyin: xīng, freq: 3357, HSK:n, struct:⿰)
41. ＿眉苦脸 (pinyin: chóu, freq: 2113, HSK:6, struct:⿱)
42. 治＿疾病 (pinyin: yù, freq: 1301, HSK:+, struct:⿱)
43. 路途＿快 (pinyin: yú, freq: 1982, HSK:4, struct:⿰)
44. 刚＿自用 (pinyin: bì, freq: 4663, HSK:n, struct:⿰)
45. 称心如＿ (pinyin: yì, freq: 104, HSK:2, struct:⿱)
46. 为之＿然 (pinyin: è, freq: 2766, HSK:n, struct:⿰)
47. ＿公移山 (pinyin: yú, freq: 1895, HSK:+, struct:⿱)
48. 表达＿情 (pinyin: gǎn, freq: 243, HSK:3, struct:⿱)
49. 面带＿怒 (pinyin: yùn, freq: 4535, HSK:n, struct:⿰)
50. ＿了一下 (pinyin: lèng, freq: 2263, HSK:+, struct:⿰)
51. 控制＿怒 (pinyin: fèn, freq: 1508, HSK:6, struct:⿰)
52. 当之无＿ (pinyin: kuì, freq: 2275, HSK:+, struct:⿰)
53. 浪漫情＿ (pinyin: sù, freq: 3569, HSK:n, struct:⿰)
54. ＿意帮忙 (pinyin: yuàn, freq: 598, HSK:3, struct:⿸)
55. ＿善机构 (pinyin: cí, freq: 1487, HSK:+, struct:⿱)
56. ＿忙赶到 (pinyin: huāng, freq: 1650, HSK:+, struct:⿰)
57. 谨＿小心 (pinyin: shèn, freq: 1765, HSK:5, struct:⿰)
58. 震＿住了 (pinyin: shè, freq: 2970, HSK:+, struct:⿰)
59. 我羡＿你 (pinyin: mù, freq: 1990, HSK:4, struct:⿱)
60. ＿＿来 (pinyin: màn, freq: 822, HSK:2, struct:⿰)
61. 专家智＿ (pinyin: huì, freq: 1505, HSK:5, struct:⿱)
62. 感＿万分 (pinyin: kǎi, freq: 2208, HSK:+, struct:⿰)
63. 他安＿我 (pinyin: wèi, freq: 1632, HSK:5, struct:⿱)
64. ＿懒舒适 (pinyin: yōng, freq: 4772, HSK:n, struct:⿰)
65. ＿慨大方 (pinyin: kāng, freq: 2935, HSK:+, struct:⿰)
66. ＿在心里 (pinyin: biē, freq: 3141, HSK:+, struct:⿱)
67. ＿恨谣言 (pinyin: zēng, freq: 2617, HSK:n, struct:⿰)
68. 苍白＿悴 (pinyin: qiáo, freq: 3508, HSK:+, struct:⿰)
69. ＿憬未来 (pinyin: chōng, freq: 3626, HSK:+, struct:⿰)
70. ＿厚老实 (pinyin: hān, freq: 3722, HSK:+, struct:⿱)
71. 休＿片刻 (pinyin: qì, freq: 4397, HSK:n, struct:⿱)
72. 憧＿未来 (pinyin: jǐng, freq: 3693, HSK:+, struct:⿰)
73. 我很遗＿ (pinyin: hàn, freq: 2269, HSK:5, struct:⿰)
74. 他不＿事 (pinyin: dǒng, freq: 1211, HSK:2, struct:⿰)
75. 无＿可击 (pinyin: xiè, freq: 2689, HSK:+, struct:⿰)
76. 令人＿恼 (pinyin: ào, freq: 3212, HSK:n, struct:⿰)
77. 三趾树＿ (pinyin: lǎn, freq: 2230, HSK:4, struct:⿰)
78. ＿弱无能 (pinyin: nuò, freq: 3174, HSK:n, struct:⿰)
79. ＿懂无知 (pinyin: měng, freq: 3823, HSK:n, struct:⿰)
80. 司马＿ (pinyin: yì, freq: 2932, HSK:n, struct:⿰)
81. ＿壁沙漠 (pinyin: Gē, freq: 1695, HSK:+, struct:none)
82. ＿己庚辛 (pinyin: wù, freq: 3689, HSK:n, struct:none)
83. 申酉＿亥 (pinyin: xū, freq: 3921, HSK:n, struct:⿵)
84. ＿边守防 (pinyin: shù, freq: 3767, HSK:n, struct:⿵)
85. 全身＿装 (pinyin: róng, freq: 3205, HSK:n, struct:⿹)
86. 玩游＿ (pinyin: xì, freq: 1033, HSK:3, struct:⿰)
87. ＿千上万 (pinyin: chéng, freq: 59, HSK:3, struct:⿵)
88. 自＿介绍 (pinyin: wǒ, freq: 9, HSK:1, struct:⿰)
89. 钻石＿指 (pinyin: jiè, freq: 1566, HSK:6, struct:⿹)
90. ＿大＿小 (pinyin: huò, freq: 160, HSK:3, struct:⿹)
91. 世界大＿ (pinyin: zhàn, freq: 145, HSK:5, struct:⿰)
92. 亲＿朋友 (pinyin: qī, freq: 2316, HSK:4, struct:⿵)
93. ＿然而止 (pinyin: jiá, freq: 4503, HSK:n, struct:⿳)
94. 一队＿兵 (pinyin: jǐ, freq: 3726, HSK:n, struct:⿰)
95. ＿止日期 (pinyin: jié, freq: 1552, HSK:6, struct:⿹)
96. ＿力同心 (pinyin: lù, freq: 3318, HSK:n, struct:⿰)
97. ＿了肋骨 (pinyin: chuō, freq: 2944, HSK:+, struct:⿰)
98. ＿帽子 (pinyin: dài, freq: 1228, HSK:4, struct:⿹)
99. 挨家挨＿ (pinyin: hù, freq: 801, HSK:4, struct:⿱)
100. 性格乖＿ (pinyin: lì, freq: 4232, HSK:n, struct:⿸)
