```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿屋建筑 (pinyin: fáng, freq: 512, HSK:1, struct:⿸)
2. 不知＿措 (pinyin: suǒ, freq: 54, HSK:2, struct:⿰)
3. 打＿你！ (pinyin: biǎn, freq: 1737, HSK:+, struct:⿸)
4. 旋转电＿ (pinyin: shàn, freq: 1993, HSK:5, struct:⿸)
5. 飞扬跋＿ (pinyin: hù, freq: 3917, HSK:n, struct:⿸)
6. 敞开心＿ (pinyin: fēi, freq: 4034, HSK:n, struct:⿸)
7. ＿机号码 (pinyin: shǒu, freq: 143, HSK:1, struct:none)
8. 大＿小用 (pinyin: cái, freq: 235, HSK:3, struct:⿻)
9. 拼命挣＿ (pinyin: zhá, freq: 1411, HSK:6, struct:⿰)
10. ＿灭大火 (pinyin: pū, freq: 1509, HSK:6, struct:⿰)
11. ＿手偷窃 (pinyin: pá, freq: 3121, HSK:+, struct:⿰)
12. ＿开电脑 (pinyin: dǎ, freq: 223, HSK:1, struct:⿰)
13. ＿掉垃圾 (pinyin: rēng, freq: 1905, HSK:4, struct:⿰)
14. ＿运行李 (pinyin: tuō, freq: 799, HSK:6, struct:⿰)
15. 手提肩＿ (pinyin: káng, freq: 2989, HSK:+, struct:⿰)
16. 打折＿ (pinyin: kòu, freq: 1625, HSK:5, struct:⿰)
17. ＿行法律 (pinyin: zhí, freq: 763, HSK:5, struct:⿰)
18. ＿大范围 (pinyin: kuò, freq: 1051, HSK:5, struct:⿰)
19. ＿心自问 (pinyin: mén, freq: 4416, HSK:n, struct:⿰)
20. 打＿房间 (pinyin: sǎo, freq: 1435, HSK:3, struct:⿰)
21. ＿起灰尘 (pinyin: yáng, freq: 1084, HSK:4, struct:⿰)
22. ＿转局面 (pinyin: niǔ, freq: 1805, HSK:6, struct:⿰)
23. ＿演角色 (pinyin: bàn, freq: 1974, HSK:5, struct:⿰)
24. 牵＿进来 (pinyin: chě, freq: 2084, HSK:+, struct:⿰)
25. 打＿你了 (pinyin: rǎo, freq: 1483, HSK:4, struct:⿰)
26. 一把＿手 (pinyin: bān, freq: 3169, HSK:+, struct:⿰)
27. 自动＿梯 (pinyin: fú, freq: 1612, HSK:5, struct:⿰)
28. 挨＿评 (pinyin: pī, freq: 569, HSK:4, struct:⿰)
29. ＿杀经济 (pinyin: è, freq: 2931, HSK:n, struct:⿰)
30. 寻＿宝藏 (pinyin: zhǎo, freq: 466, HSK:1, struct:⿰)
31. ＿担得起 (pinyin: chéng, freq: 639, HSK:5, struct:⿻)
32. 高＿术 (pinyin: jì, freq: 422, HSK:4, struct:⿰)
33. 指控＿袭 (pinyin: chāo, freq: 2213, HSK:6, struct:⿰)
34. 作出＿择 (pinyin: jué, freq: 3575, HSK:+, struct:⿰)
35. ＿握机会 (pinyin: bǎ, freq: 110, HSK:3, struct:⿰)
36. ＿制疼痛 (pinyin: yì, freq: 1748, HSK:6, struct:⿰)
37. 各＿己见 (pinyin: shū, freq: 3071, HSK:+, struct:⿰)
38. ＿住小偷 (pinyin: zhuā, freq: 992, HSK:5, struct:⿰)
39. ＿票给谁 (pinyin: tóu, freq: 516, HSK:5, struct:⿰)
40. 浑身颤＿ (pinyin: dǒu, freq: 1757, HSK:+, struct:⿰)
41. 抵＿霸道 (pinyin: kàng, freq: 766, HSK:6, struct:⿰)
42. ＿断骨头 (pinyin: zhé, freq: 1131, HSK:4, struct:⿰)
43. ＿摸着她 (pinyin: fǔ, freq: 1720, HSK:+, struct:⿰)
44. ＿弃宠物 (pinyin: pāo, freq: 1692, HSK:6, struct:⿰)
45. ＿鼻子 (pinyin: kōu, freq: 4103, HSK:+, struct:⿰)
46. ＿着拳头 (pinyin: lūn, freq: 3869, HSK:+, struct:⿰)
47. ＿救病人 (pinyin: qiǎng, freq: 1412, HSK:5, struct:⿰)
48. 医生＿士 (pinyin: hù, freq: 529, HSK:3, struct:⿰)
49. 新闻＿道 (pinyin: bào, freq: 234, HSK:3, struct:⿰)
50. 猛烈＿击 (pinyin: pēng, freq: 3397, HSK:+, struct:⿰)
