```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿上灯笼 (pinyin: guà, freq: 1232, HSK:4, struct:⿰)
2. ＿出问题 (pinyin: zhǐ, freq: 261, HSK:4, struct:⿰)
3. ＿了＿钮 (pinyin: àn, freq: 573, HSK:4, struct:⿰)
4. ＿着篮子 (pinyin: kuà, freq: 4005, HSK:+, struct:⿰)
5. 百里＿一 (pinyin: tiāo, freq: 1309, HSK:5, struct:⿰)
6. ＿个坑 (pinyin: wā, freq: 1860, HSK:6, struct:⿰)
7. 真＿的爱 (pinyin: zhì, freq: 3012, HSK:+, struct:⿱)
8. 肌肉痉＿ (pinyin: luán, freq: 3350, HSK:n, struct:⿱)
9. 去过老＿ (pinyin: wō, freq: 3710, HSK:n, struct:⿰)
10. 鞭＿船员 (pinyin: tà, freq: 4510, HSK:n, struct:⿰)
11. ＿持人质 (pinyin: xié, freq: 2816, HSK:+, struct:⿰)
12. 阻＿司法 (pinyin: náo, freq: 2794, HSK:+, struct:⿰)
13. 遮＿视线 (pinyin: dǎng, freq: 1933, HSK:5, struct:⿰)
14. 工作＿钱 (pinyin: zhèng, freq: 1875, HSK:5, struct:⿰)
15. 人们拥＿ (pinyin: jǐ, freq: 1661, HSK:5, struct:⿰)
16. 发＿潜力 (pinyin: huī, freq: 742, HSK:5, struct:⿰)
17. ＿一顿打 (pinyin: ái, freq: 2012, HSK:+, struct:⿰)
18. ＿＿椅子 (pinyin: nuó, freq: 2204, HSK:+, struct:⿰)
19. ＿折感 (pinyin: cuò, freq: 2426, HSK:6, struct:⿰)
20. ＿兴经济 (pinyin: zhèn, freq: 1140, HSK:+, struct:⿰)
21. 鼻子＿直 (pinyin: tǐng, freq: 1467, HSK:3, struct:⿰)
22. ＿救孩子 (pinyin: wǎn, freq: 2222, HSK:+, struct:⿰)
23. ＿住耳朵 (pinyin: wǔ, freq: 3092, HSK:+, struct:⿰)
24. ＿了一刀 (pinyin: tǒng, freq: 3361, HSK:+, struct:⿰)
25. ＿绑起来 (pinyin: kǔn, freq: 2640, HSK:+, struct:⿰)
26. 捕＿猎物 (pinyin: zhuō, freq: 1822, HSK:6, struct:⿰)
27. ＿着胡子 (pinyin: lǚ, freq: 4049, HSK:n, struct:⿰)
