```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿配恰当 (pinyin: dā, freq: 1842, HSK:6, struct:⿰)
2. 便于＿带 (pinyin: xié, freq: 1964, HSK:6, struct:⿰)
3. ＿胭脂 (pinyin: chá, freq: 4565, HSK:n, struct:⿰)
4. ＿电铃 (pinyin: èn, freq: 4705, HSK:n, struct:⿰)
5. ＿影师 (pinyin: shè, freq: 1403, HSK:4, struct:⿰)
6. ＿脱困境 (pinyin: bǎi, freq: 1158, HSK:6, struct:⿰)
7. ＿头否定 (pinyin: yáo, freq: 940, HSK:5, struct:⿰)
8. 路边＿ (pinyin: tān, freq: 2154, HSK:+, struct:⿰)
9. ＿弃杂念 (pinyin: bìng, freq: 3791, HSK:n, struct:⿰)
10. ＿倒在地 (pinyin: shuāi, freq: 2270, HSK:5, struct:⿰)
11. 采＿花朵 (pinyin: zhāi, freq: 2026, HSK:5, struct:⿰)
12. 堆成一＿ (pinyin: luò, freq: 4299, HSK:n, struct:⿰)
13. 彻底＿毁 (pinyin: cuī, freq: 2166, HSK:+, struct:⿰)
14. ＿托车 (pinyin: mó, freq: 1162, HSK:6, struct:⿸)
15. 盲人＿象 (pinyin: mō, freq: 1367, HSK:5, struct:⿰)
16. 临＿作品 (pinyin: mó, freq: 3008, HSK:n, struct:⿱)
17. ＿倒敌人 (pinyin: liào, freq: 3807, HSK:n, struct:⿰)
18. ＿起嘴唇 (pinyin: juē, freq: 4115, HSK:n, struct:⿰)
19. ＿了＿嘴 (pinyin: piě, freq: 2882, HSK:+, struct:⿰)
20. 支＿屋顶 (pinyin: chēng, freq: 2183, HSK:6, struct:⿰)
21. 你＿谎！ (pinyin: sā, freq: 1445, HSK:6, struct:⿰)
22. 手＿猪肉 (pinyin: sī, freq: 2334, HSK:+, struct:⿰)
23. 汽车碰＿ (pinyin: zhuàng, freq: 1540, HSK:5, struct:⿰)
24. ＿销申请 (pinyin: chè, freq: 1270, HSK:6, struct:⿲)
25. ＿裙子 (pinyin: liāo, freq: 3514, HSK:n, struct:⿰)
26. 把锁＿开 (pinyin: qiào, freq: 3613, HSK:+, struct:⿰)
27. ＿放音乐 (pinyin: bō, freq: 1275, HSK:4, struct:⿰)
28. 一小＿人 (pinyin: cuō, freq: 3485, HSK:n, struct:⿰)
29. ＿写论文 (pinyin: zhuàn, freq: 2300, HSK:+, struct:⿰)
30. 把我＿走 (pinyin: niǎn, freq: 3793, HSK:+, struct:⿰)
31. ＿起袖子 (pinyin: lū, freq: 3937, HSK:n, struct:⿰)
32. 震＿世界 (pinyin: hàn, freq: 2987, HSK:+, struct:⿰)
33. ＿面杖 (pinyin: gǎn, freq: 5469, HSK:n, struct:⿲)
34. 自吹自＿ (pinyin: léi, freq: 3685, HSK:n, struct:⿰)
35. ＿长数学 (pinyin: shàn, freq: 2377, HSK:5, struct:⿰)
36. ＿作系统 (pinyin: cāo, freq: 1173, HSK:4, struct:⿰)
37. 搜索引＿ (pinyin: qíng, freq: 3052, HSK:+, struct:⿱)
38. ＿获罪犯 (pinyin: qín, freq: 2850, HSK:n, struct:⿰)
39. 精神抖＿ (pinyin: sǒu, freq: 3870, HSK:n, struct:⿰)
40. ＿发难数 (pinyin: zhuó, freq: 4477, HSK:n, struct:⿰)
41. ＿鼻涕 (pinyin: xǐng, freq: 5361, HSK:n, struct:⿰)
42. ＿肩而过 (pinyin: cā, freq: 1761, HSK:4, struct:⿰)
43. 禁止＿爬 (pinyin: pān, freq: 2439, HSK:+, struct:⿱)
44. ＿钱退休 (pinyin: zǎn, freq: 3548, HSK:+, struct:⿰)
45. 熙熙＿＿ (pinyin: rǎng, freq: 3404, HSK:+, struct:⿰)
46. ＿拳头 (pinyin: zuàn, freq: 3827, HSK:n, struct:⿰)
47. ＿取权力 (pinyin: jué, freq: 3692, HSK:n, struct:⿰)
48. 一＿队伍 (pinyin: zhī, freq: 437, HSK:4, struct:⿱)
49. ＿受贿赂 (pinyin: shōu, freq: 351, HSK:3, struct:⿰)
50. 生死＿关 (pinyin: yōu, freq: 3416, HSK:n, struct:⿲)
51. 难以＿变 (pinyin: gǎi, freq: 350, HSK:4, struct:⿰)
52. ＿击敌人 (pinyin: gōng, freq: 588, HSK:6, struct:⿰)
53. 从不＿弃 (pinyin: fàng, freq: 291, HSK:3, struct:⿰)
54. ＿府部门 (pinyin: zhèng, freq: 150, HSK:5, struct:⿰)
55. 讲＿事 (pinyin: gù, freq: 572, HSK:3, struct:⿰)
56. 合同无＿ (pinyin: xiào, freq: 551, HSK:4, struct:⿰)
57. ＿人入侵 (pinyin: dí, freq: 523, HSK:5, struct:⿰)
58. ＿感话题 (pinyin: mǐn, freq: 1436, HSK:5, struct:⿰)
59. ＿他的命 (pinyin: jiù, freq: 872, HSK:5, struct:⿰)
60. 皇家＿令 (pinyin: chì, freq: 3435, HSK:n, struct:⿰)
61. ＿德萨 (pinyin: Áo, freq: 3573, HSK:n, struct:⿰)
62. 大学＿授 (pinyin: jiào, freq: 191, HSK:2, struct:⿰)
63. 安静内＿ (pinyin: liǎn, freq: 2925, HSK:+, struct:⿰)
64. 民生凋＿ (pinyin: bì, freq: 3259, HSK:n, struct:⿰)
65. ＿开的门 (pinyin: chǎng, freq: 2592, HSK:+, struct:⿰)
66. 我不＿当 (pinyin: gǎn, freq: 795, HSK:4, struct:⿰)
67. ＿＿步 (pinyin: sàn, freq: 866, HSK:4, struct:⿰)
68. 英国伦＿ (pinyin: dūn, freq: 1722, HSK:+, struct:⿰)
69. 尊＿长辈 (pinyin: jìng, freq: 1209, HSK:5, struct:⿰)
70. 大多＿人 (pinyin: shù, freq: 231, HSK:3, struct:⿰)
71. 砰砰＿门 (pinyin: qiāo, freq: 1732, HSK:4, struct:⿰)
72. 调＿价格 (pinyin: zhěng, freq: 416, HSK:4, struct:⿱)
73. ＿衍了事 (pinyin: fū, freq: 2788, HSK:+, struct:⿰)
74. 学习中＿ (pinyin: wén, freq: 148, HSK:1, struct:⿱)
75. ＿月禁食 (pinyin: zhāi, freq: 2404, HSK:n, struct:⿱)
76. 彬：＿ (pinyin: bīn, freq: 2442, HSK:n, struct:⿰)
77. 成就＿然 (pinyin: fěi, freq: 2972, HSK:n, struct:⿱)
78. 黑白＿马 (pinyin: bān, freq: 2053, HSK:+, struct:⿲)
79. 五色斑＿ (pinyin: lán, freq: 3994, HSK:n, struct:⿰)
80. ＿争到底 (pinyin: dòu, freq: 580, HSK:5, struct:⿻)
81. 意＿之中 (pinyin: liào, freq: 557, HSK:3, struct:⿰)
82. 向左倾＿ (pinyin: xié, freq: 1786, HSK:5, struct:⿰)
83. 仔细＿酌 (pinyin: zhēn, freq: 3167, HSK:+, struct:⿰)
84. 从中＿旋 (pinyin: wò, freq: 4117, HSK:n, struct:⿰)
85. 半＿八两 (pinyin: jīn, freq: 1866, HSK:3, struct:⿸)
86. 排＿在外 (pinyin: chì, freq: 1857, HSK:+, struct:⿸)
87. 用＿头砍 (pinyin: fǔ, freq: 2771, HSK:+, struct:⿱)
88. ＿钉截铁 (pinyin: zhǎn, freq: 2463, HSK:+, struct:⿰)
89. ＿＿续续 (pinyin: duàn, freq: 434, HSK:4, struct:⿰)
90. 俄罗＿ (pinyin: sī, freq: 168, HSK:n, struct:⿰)
91. ＿鲜水果 (pinyin: xīn, freq: 161, HSK:1, struct:⿰)
92. 另一＿面 (pinyin: fāng, freq: 60, HSK:3, struct:⿱)
93. 实＿计划 (pinyin: shī, freq: 553, HSK:5, struct:⿰)
94. 在我＿边 (pinyin: páng, freq: 981, HSK:2, struct:⿱)
95. ＿行社 (pinyin: lǚ, freq: 950, HSK:2, struct:⿰)
96. ＿转木马 (pinyin: xuán, freq: 1383, HSK:6, struct:⿰)
97. ＿旗招展 (pinyin: jīng, freq: 4214, HSK:n, struct:⿰)
98. 少数民＿ (pinyin: zú, freq: 549, HSK:4, struct:⿰)
99. 红＿飘扬 (pinyin: qí, freq: 1407, HSK:6, struct:⿰)
100. ＿论如何 (pinyin: wú, freq: 105, HSK:4, struct:⿱)
