```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 一如＿往 (pinyin: jì, freq: 724, HSK:4, struct:⿰)
2. ＿新月异 (pinyin: rì, freq: 101, HSK:1, struct:⿴)
3. 元＿快乐 (pinyin: dàn, freq: 1300, HSK:5, struct:⿱)
4. 依＿不变 (pinyin: jiù, freq: 915, HSK:3, struct:⿰)
5. 公司宗＿ (pinyin: zhǐ, freq: 1685, HSK:+, struct:⿱)
6. 趁＿动手 (pinyin: zǎo, freq: 462, HSK:1, struct:⿱)
7. 三月中＿ (pinyin: xún, freq: 2332, HSK:6, struct:⿹)
8. ＿日东升 (pinyin: xù, freq: 2846, HSK:+, struct:⿺)
9. 干＿沙地 (pinyin: hàn, freq: 2523, HSK:6, struct:⿱)
10. 没有＿间 (pinyin: shí, freq: 25, HSK:1, struct:⿰)
11. ＿课逃学 (pinyin: kuàng, freq: 2735, HSK:+, struct:⿰)
12. 精力＿盛 (pinyin: wàng, freq: 2198, HSK:+, struct:⿰)
13. 价格＿贵 (pinyin: áng, freq: 1952, HSK:6, struct:⿱)
14. ＿虫种类 (pinyin: kūn, freq: 1759, HSK:5, struct:⿱)
15. 升：＿ (pinyin: shēng, freq: n, HSK:n, struct:⿱)
16. 棋手常＿ (pinyin: Hào, freq: 3956, HSK:n, struct:⿱)
17. 繁荣＿盛 (pinyin: chāng, freq: 1606, HSK:+, struct:⿱)
18. 光＿未来 (pinyin: míng, freq: 121, HSK:1, struct:⿰)
19. ＿迷状态 (pinyin: hūn, freq: 1561, HSK:+, struct:⿱)
20. 好不容＿ (pinyin: yì, freq: 461, HSK:3, struct:⿱)
21. ＿日时光 (pinyin: xī, freq: 2388, HSK:+, struct:⿱)
22. ＿花一现 (pinyin: tán, freq: 4272, HSK:n, struct:⿱)
23. ＿球大战 (pinyin: xīng, freq: 537, HSK:1, struct:⿱)
24. 电影上＿ (pinyin: yìng, freq: 1316, HSK:5, struct:⿰)
25. 冬去＿来 (pinyin: chūn, freq: 921, HSK:3, struct:⿱)
26. 关系暧＿ (pinyin: mèi, freq: 2376, HSK:+, struct:⿰)
27. ＿天晚上 (pinyin: zuó, freq: 1475, HSK:1, struct:⿰)
28. ＿＿在目 (pinyin: zhāo, freq: 2190, HSK:n, struct:⿰)
29. 我＿老师 (pinyin: shì, freq: 3, HSK:1, struct:⿱)
30. 起个＿称 (pinyin: nì, freq: 4089, HSK:n, struct:⿰)
31. 不分＿夜 (pinyin: zhòu, freq: 2651, HSK:+, struct:⿵)
32. ＿而易见 (pinyin: xiǎn, freq: 469, HSK:5, struct:⿱)
33. 桌子摇＿ (pinyin: huàng, freq: 1796, HSK:+, struct:⿱)
34. ＿升机会 (pinyin: jìn, freq: 1645, HSK:+, struct:⿱)
35. 想了半＿ (pinyin: shǎng, freq: 2822, HSK:n, struct:⿰)
36. 天清日＿ (pinyin: yàn, freq: 3811, HSK:n, struct:⿱)
37. ＿太阳 (pinyin: shài, freq: 2630, HSK:5, struct:⿰)
38. 家喻户＿ (pinyin: xiǎo, freq: 1357, HSK:+, struct:⿰)
39. 头＿目眩 (pinyin: yūn, freq: 2215, HSK:6, struct:⿱)
40. 辉：＿ (pinyin: huī, freq: 3489, HSK:n, struct:⿰)
41. 住了一＿ (pinyin: wǎn, freq: 641, HSK:1, struct:⿰)
42. 举行会＿ (pinyin: wù, freq: 2719, HSK:+, struct:⿰)
43. 我真＿气 (pinyin: huì, freq: 3075, HSK:n, struct:⿰)
44. 凌＿两点 (pinyin: chén, freq: 1388, HSK:4, struct:⿱)
45. ＿通话 (pinyin: pǔ, freq: 630, HSK:4, struct:⿱)
46. 背＿音乐 (pinyin: jǐng, freq: 814, HSK:4, struct:⿱)
47. 清＿可见 (pinyin: xī, freq: 2220, HSK:6, struct:⿰)
48. 天气＿朗 (pinyin: qíng, freq: 1968, HSK:2, struct:⿰)
49. 糖会结＿ (pinyin: jīng, freq: 1725, HSK:+, struct:⿱)
50. 人工＿能 (pinyin: zhì, freq: 885, HSK:5, struct:⿱)
51. ＿干衣服 (pinyin: liàng, freq: 3909, HSK:6, struct:⿰)
52. ＿时封闭 (pinyin: zàn, freq: 1325, HSK:4, struct:⿱)
53. 寒＿几句 (pinyin: xuān, freq: 3886, HSK:+, struct:⿰)
54. 闲＿时间 (pinyin: xiá, freq: 2761, HSK:n, struct:⿰)
55. 我中＿了 (pinyin: shǔ, freq: 2743, HSK:4, struct:⿱)
56. 温＿阳光 (pinyin: nuǎn, freq: 1745, HSK:4, struct:⿰)
57. 黑＿之中 (pinyin: àn, freq: 829, HSK:5, struct:⿰)
58. ＿昧关系 (pinyin: ài, freq: 3802, HSK:+, struct:⿰)
59. 自古＿今 (pinyin: jì, freq: 3572, HSK:+, struct:⿱)
60. ＿光之城 (pinyin: mù, freq: 2768, HSK:+, struct:⿱)
61. ＿力行为 (pinyin: bào, freq: 1028, HSK:5, struct:⿱)
62. 黎明＿光 (pinyin: shǔ, freq: 3385, HSK:+, struct:⿰)
63. 耀：＿ (pinyin: yào, freq: 4180, HSK:n, struct:⿰)
64. ＿光时间 (pinyin: bào, freq: 3431, HSK:+, struct:⿰)
65. 晨＿之光 (pinyin: xī, freq: 3744, HSK:n, struct:⿰)
66. 子＿： (pinyin: yuē, freq: 1656, HSK:+, struct:⿴)
67. 爱情歌＿ (pinyin: qǔ, freq: 1066, HSK:5, struct:⿻)
68. 轻轻摇＿ (pinyin: yè, freq: 3364, HSK:n, struct:⿻)
69. 自力＿生 (pinyin: gēng, freq: 221, HSK:3, struct:⿱)
70. 魏王＿操 (pinyin: Cáo, freq: 1570, HSK:n, struct:⿱)
71. 泰国＿谷 (pinyin: Màn, freq: 1224, HSK:n, struct:⿳)
72. ＿经认为 (pinyin: céng, freq: 463, HSK:5, struct:⿳)
73. 代＿老师 (pinyin: tì, freq: 1079, HSK:5, struct:⿱)
74. ＿佳时期 (pinyin: zuì, freq: 139, HSK:2, struct:⿱)
75. 三＿五号 (pinyin: yuè, freq: 169, HSK:1, struct:⿵)
76. ＿没＿人 (pinyin: yǒu, freq: 8, HSK:1, struct:⿸)
77. 好＿友 (pinyin: péng, freq: 882, HSK:1, struct:⿰)
78. ＿务员 (pinyin: fú, freq: 365, HSK:1, struct:⿰)
79. 正月＿日 (pinyin: shuò, freq: 3111, HSK:n, struct:⿰)
