```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 剪枝打＿ (pinyin: chā, freq: 4529, HSK:n, struct:⿰)
2. 洛＿矶 (pinyin: shān, freq: 2718, HSK:n, struct:⿰)
3. 行＿箱 (pinyin: lǐ, freq: 472, HSK:3, struct:⿱)
4. ＿子酱 (pinyin: xìng, freq: 2790, HSK:n, struct:⿱)
5. 学习＿料 (pinyin: cái, freq: 952, HSK:4, struct:⿰)
6. 农＿生活 (pinyin: cūn, freq: 712, HSK:4, struct:⿰)
7. 拄着拐＿ (pinyin: zhàng, freq: 2435, HSK:+, struct:⿰)
8. ＿绝浪费 (pinyin: dù, freq: 1277, HSK:+, struct:⿰)
9. 枸＿浆果 (pinyin: qǐ, freq: 3833, HSK:n, struct:⿰)
10. 到此结＿ (pinyin: shù, freq: 998, HSK:3, struct:⿻)
11. 用＿杆抬 (pinyin: gàng, freq: 3066, HSK:+, struct:⿰)
12. 两＿腿 (pinyin: tiáo, freq: 214, HSK:1, struct:⿱)
13. 走＿走去 (pinyin: lái, freq: 15, HSK:1, struct:⿻)
14. ＿贵妃 (pinyin: Yáng, freq: 1062, HSK:+, struct:⿰)
15. ＿州西湖 (pinyin: Háng, freq: 2346, HSK:n, struct:⿰)
16. 倒一＿水 (pinyin: bēi, freq: 1396, HSK:1, struct:⿰)
17. ＿出作品 (pinyin: jié, freq: 1129, HSK:6, struct:⿱)
18. ＿无音信 (pinyin: yǎo, freq: 4293, HSK:n, struct:⿱)
19. 磨＿成针 (pinyin: chǔ, freq: 4776, HSK:n, struct:⿰)
20. 枇＿采摘 (pinyin: pá, freq: 5215, HSK:n, struct:⿰)
21. 轻＿气氛 (pinyin: sōng, freq: 895, HSK:4, struct:⿰)
22. 瓷砖地＿ (pinyin: bǎn, freq: 930, HSK:3, struct:⿰)
23. 北＿熊 (pinyin: jí, freq: 363, HSK:3, struct:⿰)
24. 慈善机＿ (pinyin: gòu, freq: 511, HSK:5, struct:⿰)
25. ＿杷熟了 (pinyin: pí, freq: 5358, HSK:n, struct:⿰)
26. ＿费一生 (pinyin: wǎng, freq: 2918, HSK:+, struct:⿰)
27. 分＿数据 (pinyin: xī, freq: 1073, HSK:5, struct:⿰)
28. ＿着＿头 (pinyin: zhěn, freq: 2605, HSK:6, struct:⿰)
29. 森＿火灾 (pinyin: lín, freq: 364, HSK:4, struct:⿰)
30. 一＿硬币 (pinyin: méi, freq: 1884, HSK:+, struct:⿰)
31. 前因后＿ (pinyin: guǒ, freq: 165, HSK:1, struct:⿱)
32. 修剪树＿ (pinyin: zhī, freq: 1491, HSK:6, struct:⿰)
33. 网络中＿ (pinyin: shū, freq: 2616, HSK:+, struct:⿰)
34. 囫囵吞＿ (pinyin: zǎo, freq: 2851, HSK:+, struct:⿱)
35. 手＿子弹 (pinyin: qiāng, freq: 874, HSK:6, struct:⿰)
36. ＿糖煎饼 (pinyin: fēng, freq: 3229, HSK:n, struct:⿰)
37. 沙漠＿雄 (pinyin: xiāo, freq: 3885, HSK:n, struct:⿹)
