```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿桐树 (pinyin: wú, freq: 3356, HSK:n, struct:⿰)
2. 香甜＿子 (pinyin: lí, freq: 3004, HSK:5, struct:⿱)
3. 穿＿巴士 (pinyin: suō, freq: 2681, HSK:+, struct:⿰)
4. 电＿上下 (pinyin: tī, freq: 1672, HSK:3, struct:⿰)
5. 机＿工程 (pinyin: xiè, freq: 1657, HSK:6, struct:⿰)
6. ＿理头发 (pinyin: shū, freq: 2717, HSK:+, struct:⿰)
7. 古老＿文 (pinyin: Fàn, freq: 3276, HSK:n, struct:⿱)
8. 安全＿查 (pinyin: jiǎn, freq: 731, HSK:3, struct:⿰)
9. 新疆＿花 (pinyin: mián, freq: 1967, HSK:6, struct:⿰)
10. 国际象＿ (pinyin: qí, freq: 2089, HSK:6, struct:⿰)
11. 冰＿儿 (pinyin: gùn, freq: 2255, HSK:6, struct:⿰)
12. 巧克力＿ (pinyin: bàng, freq: 2288, HSK:4, struct:⿰)
13. ＿色皮革 (pinyin: zōng, freq: 2774, HSK:6, struct:⿰)
14. ＿手问题 (pinyin: jí, freq: 2870, HSK:+, struct:⿰)
15. 葡萄＿架 (pinyin: péng, freq: 2448, HSK:+, struct:⿰)
16. 海＿花 (pinyin: táng, freq: 2489, HSK:n, struct:⿱)
17. ＿林火灾 (pinyin: sēn, freq: 1029, HSK:4, struct:⿱)
18. ＿柱体 (pinyin: léng, freq: 2897, HSK:+, struct:⿰)
19. 一＿树 (pinyin: kē, freq: 2108, HSK:4, struct:⿰)
20. 盖上＿材 (pinyin: guān, freq: 2686, HSK:+, struct:⿰)
21. 一桌二＿ (pinyin: yǐ, freq: 1663, HSK:1, struct:⿰)
22. 种＿作物 (pinyin: zhí, freq: 1124, HSK:4, struct:⿰)
23. 脊＿骨 (pinyin: zhuī, freq: 2455, HSK:6, struct:⿰)
24. 辣＿酱 (pinyin: jiāo, freq: 3187, HSK:6, struct:⿰)
25. ＿圆形 (pinyin: tuǒ, freq: 3312, HSK:+, struct:⿰)
26. 一颗＿子 (pinyin: yē, freq: 3932, HSK:+, struct:⿰)
27. 山＿树 (pinyin: zhā, freq: 4764, HSK:n, struct:⿰)
28. ＿尾鹰 (pinyin: xiē, freq: 3846, HSK:n, struct:⿰)
29. 一清二＿ (pinyin: chǔ, freq: 859, HSK:3, struct:⿱)
30. 瓦＿铁板 (pinyin: léng, freq: 3223, HSK:n, struct:⿰)
31. 门＿装饰 (pinyin: méi, freq: 4048, HSK:n, struct:⿰)
32. ＿体字 (pinyin: kǎi, freq: 3530, HSK:+, struct:⿰)
33. 高＿大厦 (pinyin: lóu, freq: 876, HSK:2, struct:⿰)
34. 抽象＿念 (pinyin: gài, freq: 791, HSK:3, struct:⿰)
35. 橄＿油 (pinyin: lǎn, freq: 3607, HSK:n, struct:⿰)
36. ＿木木纹 (pinyin: yú, freq: 3272, HSK:n, struct:⿰)
37. 用＿头锤 (pinyin: láng, freq: 4337, HSK:n, struct:⿰)
38. ＿果拿铁 (pinyin: zhēn, freq: 4595, HSK:n, struct:⿰)
39. 坏＿样 (pinyin: bǎng, freq: 2556, HSK:6, struct:⿰)
40. 鲜＿果汁 (pinyin: zhà, freq: 3657, HSK:+, struct:⿰)
41. 石＿籽 (pinyin: liú, freq: 2644, HSK:n, struct:⿰)
