```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿然决定 (pinyin: yì, freq: 1946, HSK:+, struct:⿰)
2. ＿庸置疑 (pinyin: wú, freq: 2876, HSK:n, struct:none)
3. 父亲＿亲 (pinyin: mǔ, freq: 565, HSK:4, struct:none)
4. ＿天都吃 (pinyin: měi, freq: 359, HSK:2, struct:⿱)
5. 病＿软件 (pinyin: dú, freq: 947, HSK:6, struct:⿱)
6. 钟灵＿秀 (pinyin: yù, freq: 2986, HSK:n, struct:⿰)
7. 参加＿赛 (pinyin: bǐ, freq: 199, HSK:2, struct:⿰)
8. 大学＿业 (pinyin: bì, freq: 1093, HSK:4, struct:⿱)
9. ＿邻地区 (pinyin: pí, freq: 3441, HSK:n, struct:⿰)
10. 他被击＿ (pinyin: bì, freq: 2534, HSK:+, struct:⿱)
11. 羽＿球 (pinyin: máo, freq: 623, HSK:3, struct:⿻)
12. 毛＿地毯 (pinyin: zhān, freq: 3451, HSK:n, struct:⿺)
13. ＿无疑问 (pinyin: háo, freq: 879, HSK:6, struct:⿱)
14. 铺设地＿ (pinyin: tǎn, freq: 2711, HSK:+, struct:⿺)
15. 踢＿子 (pinyin: jiàn, freq: 6291, HSK:n, struct:⿺)
16. 摄＿度 (pinyin: shì, freq: 1500, HSK:4, struct:none)
17. 人＿币 (pinyin: mín, freq: 113, HSK:4, struct:⿻)
18. 足球流＿ (pinyin: máng, freq: 3060, HSK:+, struct:⿰)
19. 天＿预报 (pinyin: qì, freq: 217, HSK:1, struct:⿳)
20. ＿气管 (pinyin: nǎi, freq: 3602, HSK:n, struct:⿹)
21. 工作＿围 (pinyin: fēn, freq: 2009, HSK:6, struct:⿹)
22. ＿化牙膏 (pinyin: fú, freq: 3701, HSK:n, struct:⿹)
23. 引爆＿弹 (pinyin: qīng, freq: 2637, HSK:n, struct:⿹)
24. ＿气球 (pinyin: hài, freq: 3972, HSK:n, struct:⿹)
25. 二＿化碳 (pinyin: yǎng, freq: 1863, HSK:6, struct:⿹)
26. ＿基酸 (pinyin: ān, freq: 3028, HSK:n, struct:⿹)
27. 氦氖氩＿ (pinyin: kè, freq: 5279, HSK:n, struct:⿹)
