```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿水节 (pinyin: pō, freq: 2327, HSK:4, struct:⿰)
2. 沼＿地带 (pinyin: zé, freq: 951, HSK:+, struct:⿰)
3. 清＿人员 (pinyin: jié, freq: 1531, HSK:6, struct:⿰)
4. ＿游鱼类 (pinyin: huí, freq: 4184, HSK:n, struct:⿰)
5. 太平＿ (pinyin: yáng, freq: 803, HSK:4, struct:⿰)
6. 英俊潇＿ (pinyin: sǎ, freq: 2283, HSK:5, struct:⿰)
7. ＿耳恭听 (pinyin: xǐ, freq: 1247, HSK:2, struct:⿰)
8. ＿杉矶 (pinyin: Luò, freq: 978, HSK:n, struct:⿰)
9. 安全漏＿ (pinyin: dòng, freq: 1015, HSK:5, struct:⿰)
10. ＿＿有味 (pinyin: jīn, freq: 1353, HSK:+, struct:⿰)
11. ＿水泛滥 (pinyin: hóng, freq: 1350, HSK:6, struct:⿰)
12. 普＿茶 (pinyin: ěr, freq: 5109, HSK:n, struct:⿰)
13. 南美＿ (pinyin: zhōu, freq: 701, HSK:4, struct:⿰)
14. 生＿方式 (pinyin: huó, freq: 219, HSK:3, struct:⿰)
15. 低＿地区 (pinyin: wā, freq: 3226, HSK:n, struct:⿰)
16. 相处融＿ (pinyin: qià, freq: 3039, HSK:+, struct:⿰)
17. ＿出所 (pinyin: pài, freq: 532, HSK:5, struct:⿰)
18. 潺潺＿水 (pinyin: liú, freq: 396, HSK:4, struct:⿰)
19. 受益匪＿ (pinyin: qiǎn, freq: 1721, HSK:5, struct:⿰)
20. 豆＿油条 (pinyin: jiāng, freq: 2626, HSK:5, struct:⿱)
21. 给花＿水 (pinyin: jiāo, freq: 2866, HSK:5, struct:⿰)
22. 混＿不清 (pinyin: zhuó, freq: 2985, HSK:+, struct:⿰)
23. ＿量体温 (pinyin: cè, freq: 861, HSK:5, struct:⿰)
24. 经＿发展 (pinyin: jì, freq: 360, HSK:4, struct:⿰)
25. ＿览网页 (pinyin: liú, freq: 2841, HSK:5, struct:⿰)
26. ＿身发抖 (pinyin: hún, freq: 1991, HSK:+, struct:⿰)
27. 水＿传 (pinyin: hǔ, freq: 3794, HSK:n, struct:⿰)
28. ＿厚兴趣 (pinyin: nóng, freq: 1585, HSK:5, struct:⿰)
29. ＿江杭州 (pinyin: Zhè, freq: 2119, HSK:n, struct:⿰)
30. 疏＿底泥 (pinyin: jùn, freq: 3753, HSK:n, struct:⿰)
31. 北美＿熊 (pinyin: huàn, freq: 4343, HSK:n, struct:⿰)
32. 上海＿东 (pinyin: Pǔ, freq: 2161, HSK:n, struct:⿰)
33. 呼和＿特 (pinyin: hào, freq: 1864, HSK:+, struct:⿰)
34. 乘风破＿ (pinyin: làng, freq: 1186, HSK:4, struct:⿰)
35. 水上漂＿ (pinyin: fú, freq: 1462, HSK:6, struct:⿰)
36. 洗个淋＿ (pinyin: yù, freq: 2290, HSK:6, struct:⿰)
37. 五湖四＿ (pinyin: hǎi, freq: 189, HSK:3, struct:⿰)
38. ＿泡衣服 (pinyin: jìn, freq: 2354, HSK:+, struct:⿰)
39. ＿一层漆 (pinyin: tú, freq: 1735, HSK:+, struct:⿰)
40. 进入＿槃 (pinyin: niè, freq: 2343, HSK:n, struct:⿰)
41. 好＿息 (pinyin: xiāo, freq: 439, HSK:4, struct:⿰)
42. 长途跋＿ (pinyin: shè, freq: 1239, HSK:6, struct:⿰)
43. 水＿出来 (pinyin: yǒng, freq: 1642, HSK:6, struct:⿰)
44. 垂＿三尺 (pinyin: xián, freq: 3771, HSK:n, struct:⿰)
45. ＿＿细流 (pinyin: juān, freq: 4050, HSK:n, struct:⿰)
46. 汗水＿＿ (pinyin: cén, freq: 4706, HSK:n, struct:⿰)
47. 流鼻＿ (pinyin: tì, freq: 3006, HSK:+, struct:⿰)
48. 波＿汹涌 (pinyin: tāo, freq: 2054, HSK:+, struct:⿰)
49. 雨季防＿ (pinyin: lào, freq: 4179, HSK:+, struct:⿰)
50. 水上＿漪 (pinyin: lián, freq: 3889, HSK:n, struct:⿰)
51. 海上漩＿ (pinyin: wō, freq: 2759, HSK:+, struct:⿰)
52. 纪律＿散 (pinyin: huàn, freq: 3832, HSK:n, struct:⿰)
53. 洗＿剂 (pinyin: dí, freq: 3218, HSK:+, struct:⿰)
54. ＿色文章 (pinyin: rùn, freq: 1369, HSK:5, struct:⿰)
55. 山＿瀑布 (pinyin: jiàn, freq: 3828, HSK:n, struct:⿰)
56. 物价上＿ (pinyin: zhǎng, freq: 1803, HSK:5, struct:⿰)
57. 苦＿柿子 (pinyin: sè, freq: 2836, HSK:+, struct:⿰)
58. 吃＿火锅 (pinyin: shuàn, freq: 4527, HSK:+, struct:⿰)
59. 职业生＿ (pinyin: yá, freq: 2604, HSK:+, struct:⿰)
60. ＿态氮 (pinyin: yè, freq: 1451, HSK:6, struct:⿰)
61. 深刻内＿ (pinyin: hán, freq: 2330, HSK:6, struct:⿰)
62. ＿泽而渔 (pinyin: hé, freq: 3865, HSK:n, struct:⿰)
63. 沉＿物 (pinyin: diàn, freq: 3159, HSK:+, struct:⿰)
64. ＿＿沥沥 (pinyin: xī, freq: 4616, HSK:n, struct:⿰)
65. 混＿左右 (pinyin: xiáo, freq: 3263, HSK:+, struct:⿰)
66. 冰＿淋 (pinyin: qí, freq: 4010, HSK:n, struct:⿰)
67. 被雨＿湿 (pinyin: lín, freq: 2168, HSK:6, struct:⿰)
68. 河流流＿ (pinyin: tǎng, freq: 2994, HSK:+, struct:⿰)
69. 娴雅＿女 (pinyin: shū, freq: 2643, HSK:n, struct:⿰)
70. 走出泥＿ (pinyin: nào, freq: 3966, HSK:n, struct:⿰)
71. 被＿汰了 (pinyin: táo, freq: 2499, HSK:6, struct:⿰)
72. 泉水＿＿ (pinyin: cóng, freq: 4172, HSK:n, struct:⿰)
73. ＿水湖 (pinyin: dàn, freq: 1293, HSK:5, struct:⿰)
74. 一层＿泥 (pinyin: yū, freq: 3576, HSK:+, struct:⿰)
75. 卖＿嫖娼 (pinyin: yín, freq: 2297, HSK:n, struct:⿰)
76. ＿河流域 (pinyin: Huái, freq: 2293, HSK:n, struct:⿰)
77. 小心＿水 (pinyin: shēn, freq: 401, HSK:4, struct:⿰)
78. 天真＿朴 (pinyin: chún, freq: 3147, HSK:+, struct:⿰)
79. ＿水摸鱼 (pinyin: hùn, freq: 1137, HSK:6, struct:⿰)
80. 被水＿没 (pinyin: yān, freq: 2580, HSK:6, struct:⿰)
81. 画蛇＿足 (pinyin: tiān, freq: 1859, HSK:6, struct:⿰)
82. 烟波浩＿ (pinyin: miǎo, freq: 4600, HSK:n, struct:⿱)
83. 搞不＿楚 (pinyin: qīng, freq: 335, HSK:3, struct:⿰)
84. 学识＿博 (pinyin: yuān, freq: 2192, HSK:+, struct:⿰)
85. 清除污＿ (pinyin: zì, freq: 3773, HSK:n, struct:⿰)
86. ＿职犯罪 (pinyin: dú, freq: 3373, HSK:n, struct:⿰)
87. 逐＿消失 (pinyin: jiàn, freq: 870, HSK:5, struct:⿰)
88. ＿民钓鱼 (pinyin: yú, freq: 1770, HSK:+, struct:⿰)
89. 水＿入土 (pinyin: shèn, freq: 2520, HSK:+, struct:⿰)
90. 重庆：＿ (pinyin: yú, freq: 3641, HSK:n, struct:⿰)
91. 沟通＿道 (pinyin: qú, freq: 2315, HSK:6, struct:⿱)
92. ＿过难关 (pinyin: dù, freq: 1406, HSK:6, struct:⿰)
93. 面包＿儿 (pinyin: zhā, freq: 3196, HSK:+, struct:⿰)
94. 北方＿海 (pinyin: Bó, freq: 3762, HSK:n, struct:⿰)
95. 优＿生活 (pinyin: wò, freq: 4191, HSK:n, struct:⿰)
96. ＿馨提示 (pinyin: wēn, freq: 867, HSK:4, struct:⿰)
97. 泾＿分明 (pinyin: wèi, freq: 3620, HSK:n, struct:⿰)
98. 香＿回归 (pinyin: gǎng, freq: 927, HSK:6, struct:⿰)
99. 色彩＿染 (pinyin: xuàn, freq: 3606, HSK:n, struct:⿰)
100. ＿望和平 (pinyin: kě, freq: 1972, HSK:3, struct:⿰)
