```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 玩＿戏 (pinyin: yóu, freq: 695, HSK:2, struct:⿰)
2. 细微＿小 (pinyin: miǎo, freq: 2966, HSK:+, struct:⿰)
3. 海浪澎＿ (pinyin: pài, freq: 3818, HSK:+, struct:⿰)
4. ＿公河 (pinyin: Méi, freq: 3639, HSK:n, struct:⿰)
5. 层流＿流 (pinyin: tuān, freq: 3850, HSK:n, struct:⿰)
6. 沉＿懊恼 (pinyin: miǎn, freq: 4504, HSK:n, struct:⿰)
7. 杭州西＿ (pinyin: hú, freq: 918, HSK:5, struct:⿰)
8. 湖南：＿ (pinyin: xiāng, freq: 2245, HSK:n, struct:⿰)
9. 工艺精＿ (pinyin: zhàn, freq: 3189, HSK:+, struct:⿰)
10. ＿没无闻 (pinyin: yān, freq: 4059, HSK:n, struct:⿰)
11. 台＿海峡 (pinyin: wān, freq: 855, HSK:+, struct:⿰)
12. ＿润气候 (pinyin: shī, freq: 1743, HSK:5, struct:⿰)
13. 精神崩＿ (pinyin: kuì, freq: 1916, HSK:+, struct:⿰)
14. 水花飞＿ (pinyin: jiàn, freq: 2949, HSK:+, struct:⿰)
15. 灌＿作物 (pinyin: gài, freq: 3524, HSK:+, struct:⿰)
16. ＿心蛋 (pinyin: táng, freq: 6068, HSK:n, struct:⿰)
17. 自然资＿ (pinyin: yuán, freq: 670, HSK:5, struct:⿰)
18. 偷偷＿走 (pinyin: liū, freq: 1923, HSK:+, struct:⿰)
19. 水＿出来 (pinyin: yì, freq: 2454, HSK:+, struct:⿰)
20. 末代＿仪 (pinyin: Pǔ, freq: 3882, HSK:n, struct:⿰)
21. ＿水潺潺 (pinyin: xī, freq: 2194, HSK:+, struct:⿰)
22. 追根＿源 (pinyin: sù, freq: 2762, HSK:+, struct:⿰)
23. 水中＿解 (pinyin: róng, freq: 2278, HSK:+, struct:⿰)
24. ＿爱孩子 (pinyin: nì, freq: 3291, HSK:+, struct:⿰)
25. 云南：＿ (pinyin: diān, freq: 3534, HSK:n, struct:⿰)
26. ＿润皮肤 (pinyin: zī, freq: 1931, HSK:+, struct:⿰)
27. 小心地＿ (pinyin: huá, freq: 1480, HSK:5, struct:⿰)
28. 社会渣＿ (pinyin: zǐ, freq: 4522, HSK:n, struct:⿰)
29. ＿＿不绝 (pinyin: tāo, freq: 2760, HSK:+, struct:⿰)
30. ＿王阁 (pinyin: Téng, freq: 3892, HSK:n, struct:⿰)
31. 摇＿音乐 (pinyin: gǔn, freq: 1542, HSK:5, struct:⿰)
32. ＿留机场 (pinyin: zhì, freq: 2302, HSK:+, struct:⿰)
33. ＿足要求 (pinyin: mǎn, freq: 436, HSK:3, struct:⿰)
34. 过＿器 (pinyin: lǜ, freq: 3249, HSK:+, struct:⿰)
35. ＿用职权 (pinyin: làn, freq: 2282, HSK:+, struct:⿰)
36. 哈尔＿ (pinyin: bīn, freq: 2474, HSK:+, struct:⿰)
37. 沙＿排球 (pinyin: tān, freq: 2062, HSK:+, struct:⿰)
38. 点点＿＿ (pinyin: dī, freq: 1896, HSK:6, struct:⿰)
39. 她很＿亮 (pinyin: piào, freq: 1568, HSK:1, struct:⿰)
40. 刷油＿ (pinyin: qī, freq: 2296, HSK:+, struct:⿰)
41. 湿＿＿ (pinyin: lù, freq: 3658, HSK:n, struct:⿰)
42. 屋顶＿水 (pinyin: lòu, freq: 2052, HSK:5, struct:⿰)
43. 淋＿尽致 (pinyin: lí, freq: 3413, HSK:n, struct:⿰)
44. 表＿节目 (pinyin: yǎn, freq: 715, HSK:3, struct:⿰)
45. ＿运码头 (pinyin: cáo, freq: 4375, HSK:n, struct:⿰)
46. 冷＿无情 (pinyin: mò, freq: 1777, HSK:5, struct:⿰)
47. 海上＿涡 (pinyin: xuán, freq: 3706, HSK:n, struct:⿰)
