```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 锻＿身体 (pinyin: liàn, freq: 1763, HSK:3, struct:⿰)
2. 炉火＿烈 (pinyin: chì, freq: 3277, HSK:n, struct:⿰)
3. 星光闪＿ (pinyin: shuò, freq: 2702, HSK:+, struct:⿰)
4. 灿＿笑容 (pinyin: làn, freq: 1754, HSK:6, struct:⿰)
5. 热＿欢迎 (pinyin: liè, freq: 802, HSK:5, struct:⿱)
6. 打＿关门 (pinyin: yàng, freq: 4961, HSK:n, struct:⿰)
7. ＿焙食品 (pinyin: hōng, freq: 3266, HSK:+, struct:⿰)
8. 给牛＿印 (pinyin: lào, freq: 3440, HSK:n, struct:⿰)
9. 一支蜡＿ (pinyin: zhú, freq: 2537, HSK:+, struct:⿰)
10. 禁止吸＿ (pinyin: yān, freq: 967, HSK:4, struct:⿰)
11. 北京＿鸭 (pinyin: kǎo, freq: 2629, HSK:4, struct:⿰)
12. 麻＿你了 (pinyin: fán, freq: 1253, HSK:4, struct:⿰)
13. ＿水沏茶 (pinyin: shāo, freq: 1201, HSK:3, struct:⿰)
14. 大杂＿ (pinyin: huì, freq: 4828, HSK:n, struct:⿰)
15. ＿手山芋 (pinyin: tàng, freq: 2903, HSK:6, struct:⿱)
16. 烧成灰＿ (pinyin: jìn, freq: 3670, HSK:n, struct:⿰)
17. ＿烈欢迎 (pinyin: rè, freq: 606, HSK:1, struct:⿱)
18. 乙＿基 (pinyin: xī, freq: 4277, HSK:n, struct:⿰)
19. 甲＿气 (pinyin: wán, freq: 4379, HSK:n, struct:⿰)
20. ＿饪方法 (pinyin: pēng, freq: 3461, HSK:+, struct:⿱)
21. ＿火台 (pinyin: fēng, freq: 3991, HSK:n, struct:⿰)
22. 心不在＿ (pinyin: yān, freq: 2526, HSK:n, struct:⿳)
23. ＿接金属 (pinyin: hàn, freq: 4087, HSK:n, struct:⿰)
24. 精神＿发 (pinyin: huàn, freq: 2773, HSK:+, struct:⿰)
25. 扁豆＿面 (pinyin: mèn, freq: 5207, HSK:n, struct:⿰)
26. 烘＿食品 (pinyin: bèi, freq: 3955, HSK:+, struct:⿰)
27. 心急如＿ (pinyin: fén, freq: 2498, HSK:+, struct:⿱)
28. 关注＿点 (pinyin: jiāo, freq: 1554, HSK:6, struct:⿱)
29. ＿水过凉 (pinyin: chāo, freq: 5673, HSK:n, struct:⿰)
30. 熄灭火＿ (pinyin: yàn, freq: 2259, HSK:+, struct:⿰)
31. 焰：＿ (pinyin: yàn, freq: 5359, HSK:n, struct:⿱)
32. 理所当＿ (pinyin: rán, freq: 55, HSK:2, struct:⿱)
33. 辉＿成就 (pinyin: huáng, freq: 2276, HSK:+, struct:⿰)
34. ＿饼果子 (pinyin: jiān, freq: 2893, HSK:+, struct:⿱)
35. 脸色＿白 (pinyin: shà, freq: 2280, HSK:n, struct:⿱)
36. 燃烧＿炭 (pinyin: méi, freq: 1740, HSK:6, struct:⿰)
37. 温＿阳光 (pinyin: xù, freq: 4124, HSK:n, struct:⿱)
38. 按＿计划 (pinyin: zhào, freq: 443, HSK:3, struct:⿱)
39. 在锅里＿ (pinyin: zhǔ, freq: 2582, HSK:5, struct:⿱)
40. ＿仔饭 (pinyin: bāo, freq: 4865, HSK:+, struct:⿱)
41. 干＿豆角 (pinyin: biān, freq: 5609, HSK:n, struct:⿰)
42. ＿动战争 (pinyin: shān, freq: 3086, HSK:+, struct:⿰)
43. ＿灭火焰 (pinyin: xī, freq: 2858, HSK:+, struct:⿰)
44. 大＿猫 (pinyin: xióng, freq: 1741, HSK:3, struct:⿱)
45. 烟＿肉 (pinyin: xūn, freq: 2997, HSK:+, struct:⿱)
46. 盐＿于水 (pinyin: róng, freq: 3011, HSK:n, struct:⿰)
47. 康＿字典 (pinyin: xī, freq: 2485, HSK:+, struct:⿱)
48. 和她＿悉 (pinyin: shú, freq: 1035, HSK:4, struct:⿱)
49. ＿＿生辉 (pinyin: yì, freq: 4210, HSK:n, struct:⿰)
50. ＿平衣服 (pinyin: yùn, freq: 4498, HSK:+, struct:⿱)
51. ＿夜工作 (pinyin: áo, freq: 2705, HSK:5, struct:⿱)
52. 晨光＿微 (pinyin: xī, freq: 3871, HSK:n, struct:⿱)
53. 火在＿烧 (pinyin: rán, freq: 1553, HSK:5, struct:⿰)
54. ＿了眉毛 (pinyin: liǎo, freq: 4041, HSK:n, struct:⿰)
55. ＿子泥巢 (pinyin: yàn, freq: 1705, HSK:+, struct:⿳)
56. 干＿开裂 (pinyin: zào, freq: 2613, HSK:6, struct:⿰)
57. ＿石取火 (pinyin: suì, freq: 4808, HSK:n, struct:⿰)
58. 炸弹＿炸 (pinyin: bào, freq: 1243, HSK:6, struct:⿰)
59. 鸡＿子 (pinyin: zhuǎ, freq: 2363, HSK:+, struct:⿵)
60. ＿行动物 (pinyin: pá, freq: 1426, HSK:3, struct:⿺)
61. ＿不释手 (pinyin: ài, freq: 394, HSK:1, struct:⿱)
62. ＿士称号 (pinyin: jué, freq: 1925, HSK:n, struct:⿳)
63. ＿亲母亲 (pinyin: fù, freq: 589, HSK:4, struct:⿱)
64. ＿＿奶奶 (pinyin: yé, freq: 1007, HSK:2, struct:⿱)
65. ＿＿妈妈 (pinyin: bà, freq: 1050, HSK:1, struct:⿱)
66. 爸爸是＿ (pinyin: diē, freq: 2004, HSK:+, struct:⿱)
67. 清风凉＿ (pinyin: shuǎng, freq: 2378, HSK:+, struct:⿻)
68. 这张照＿ (pinyin: piàn, freq: 455, HSK:3, struct:⿸)
69. 英文＿本 (pinyin: bǎn, freq: 810, HSK:5, struct:⿰)
70. 知名品＿ (pinyin: pái, freq: 1261, HSK:4, struct:⿰)
71. 连篇累＿ (pinyin: dú, freq: 4235, HSK:n, struct:⿰)
72. 一颗＿齿 (pinyin: yá, freq: 997, HSK:3, struct:none)
73. 九＿一毛 (pinyin: niú, freq: 1018, HSK:1, struct:none)
74. 从中＿利 (pinyin: móu, freq: 2854, HSK:n, struct:⿱)
75. ＿丹花 (pinyin: mǔ, freq: 3001, HSK:+, struct:⿰)
76. 亡羊补＿ (pinyin: láo, freq: 1696, HSK:6, struct:⿱)
77. 畜＿业 (pinyin: mù, freq: 1580, HSK:+, struct:⿰)
78. 动植＿ (pinyin: wù, freq: 142, HSK:3, struct:⿰)
79. 自我牺＿ (pinyin: shēng, freq: 1582, HSK:+, struct:⿰)
80. ＿扯进来 (pinyin: qiān, freq: 1679, HSK:6, struct:⿳)
81. ＿殊情况 (pinyin: tè, freq: 173, HSK:3, struct:⿰)
82. ＿牲生命 (pinyin: xī, freq: 1814, HSK:+, struct:⿰)
83. ＿牛角 (pinyin: xī, freq: 3490, HSK:+, struct:⿸)
84. 农民＿田 (pinyin: lí, freq: 3176, HSK:n, struct:⿱)
85. 初生牛＿ (pinyin: dú, freq: 3915, HSK:n, struct:⿰)
86. ＿劳自己 (pinyin: kào, freq: 4699, HSK:n, struct:⿰)
87. 狂＿病 (pinyin: quǎn, freq: 2649, HSK:+, struct:⿻)
88. ＿过错误 (pinyin: fàn, freq: 767, HSK:6, struct:⿰)
