```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿了＿心 (pinyin: hěn, freq: 1654, HSK:6, struct:⿰)
2. ＿猾狐狸 (pinyin: jiǎo, freq: 2670, HSK:+, struct:⿰)
3. ＿猎季节 (pinyin: shòu, freq: 3190, HSK:n, struct:⿰)
4. ＿立国家 (pinyin: dú, freq: 627, HSK:5, struct:⿰)
5. 街道＿窄 (pinyin: xiá, freq: 2018, HSK:+, struct:⿰)
6. ＿子大吼 (pinyin: shī, freq: 2211, HSK:6, struct:⿰)
7. 面目＿狞 (pinyin: zhēng, freq: 4047, HSK:n, struct:⿰)
8. 罪犯入＿ (pinyin: yù, freq: 1597, HSK:+, struct:⿲)
9. 一只狐＿ (pinyin: lí, freq: 2738, HSK:+, struct:⿰)
10. ＿猊神兽 (pinyin: suān, freq: 4637, HSK:n, struct:⿰)
11. ＿狈不堪 (pinyin: láng, freq: 1708, HSK:6, struct:⿰)
12. 打＿野猪 (pinyin: liè, freq: 1687, HSK:+, struct:⿰)
13. ＿猴桃 (pinyin: mí, freq: 4681, HSK:n, struct:⿰)
14. 犯罪＿獗 (pinyin: chāng, freq: 3392, HSK:+, struct:⿰)
15. ＿烈刹车 (pinyin: měng, freq: 1157, HSK:+, struct:⿰)
16. ＿灯谜 (pinyin: cāi, freq: 1598, HSK:4, struct:⿰)
17. 意外＿死 (pinyin: cù, freq: 3316, HSK:n, struct:⿰)
18. ＿亵行为 (pinyin: wěi, freq: 4270, HSK:n, struct:⿰)
19. 黑＿＿ (pinyin: xīng, freq: 2016, HSK:+, struct:⿰)
20. ＿八戒 (pinyin: Zhū, freq: 1762, HSK:5, struct:⿰)
21. 大熊＿ (pinyin: māo, freq: 1673, HSK:1, struct:⿰)
22. 一只刺＿ (pinyin: wèi, freq: 4455, HSK:n, struct:⿰)
23. 奉＿精神 (pinyin: xiàn, freq: 1192, HSK:5, struct:⿰)
24. ＿年马月 (pinyin: hóu, freq: 2187, HSK:5, struct:⿰)
25. 狡＿狐狸 (pinyin: huá, freq: 3083, HSK:+, struct:⿰)
26. ＿猴群体 (pinyin: yuán, freq: 2312, HSK:n, struct:⿰)
27. 西藏＿犬 (pinyin: áo, freq: 6263, HSK:n, struct:⿱)
28. 作弊猖＿ (pinyin: jué, freq: 3899, HSK:n, struct:⿰)
29. 野猪＿牙 (pinyin: liáo, freq: 4625, HSK:n, struct:⿰)
30. 敏捷水＿ (pinyin: tǎ, freq: 4427, HSK:n, struct:⿰)
31. ＿子挖洞 (pinyin: huān, freq: 4312, HSK:n, struct:⿰)
