```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿和胡椒 (pinyin: yán, freq: 1885, HSK:4, struct:⿱)
2. ＿督管理 (pinyin: jiān, freq: 838, HSK:6, struct:⿱)
3. 一＿火柴 (pinyin: hé, freq: 2067, HSK:4, struct:⿱)
4. 戴上头＿ (pinyin: kuī, freq: 3030, HSK:n, struct:⿱)
5. 覆＿率 (pinyin: gài, freq: 1052, HSK:5, struct:⿱)
6. 海＿宝藏 (pinyin: dào, freq: 1619, HSK:+, struct:⿱)
7. 电脑硬＿ (pinyin: pán, freq: 1049, HSK:3, struct:⿱)
8. ＿大婚礼 (pinyin: shèng, freq: 1142, HSK:6, struct:⿱)
9. 欧洲联＿ (pinyin: méng, freq: 1163, HSK:+, struct:⿱)
10. ＿洗室 (pinyin: guàn, freq: 4758, HSK:n, struct:⿱)
11. 一＿了然 (pinyin: mù, freq: 239, HSK:3, struct:⿴)
12. ＿着我看 (pinyin: dīng, freq: 1906, HSK:+, struct:⿰)
13. ＿人摸象 (pinyin: máng, freq: 2079, HSK:6, struct:⿱)
14. ＿升飞机 (pinyin: zhí, freq: 255, HSK:3, struct:⿳)
15. 互＿帮助 (pinyin: xiāng, freq: 152, HSK:3, struct:⿰)
16. 打了个＿ (pinyin: dǔn, freq: 4220, HSK:+, struct:⿰)
17. 期＿已久 (pinyin: pàn, freq: 2174, HSK:6, struct:⿰)
18. 自相矛＿ (pinyin: dùn, freq: 1395, HSK:5, struct:⿸)
19. 广东＿ (pinyin: shěng, freq: 666, HSK:4, struct:⿱)
20. 虎视＿＿ (pinyin: dān, freq: 3979, HSK:n, struct:⿰)
21. 皱着＿头 (pinyin: méi, freq: 1460, HSK:6, struct:⿸)
22. 去＿电影 (pinyin: kàn, freq: 76, HSK:1, struct:⿱)
23. 半＿半假 (pinyin: zhēn, freq: 204, HSK:1, struct:⿱)
24. 睡＿不足 (pinyin: mián, freq: 1986, HSK:5, struct:⿰)
25. 目＿尽裂 (pinyin: zì, freq: 5790, HSK:n, struct:⿰)
26. ＿眼之间 (pinyin: zhǎ, freq: 2371, HSK:+, struct:⿰)
27. 头晕目＿ (pinyin: xuàn, freq: 2909, HSK:n, struct:⿰)
28. ＿着眼睛 (pinyin: mī, freq: 2955, HSK:+, struct:⿰)
29. 热泪盈＿ (pinyin: kuàng, freq: 3191, HSK:+, struct:⿰)
30. ＿恋之情 (pinyin: juàn, freq: 2967, HSK:n, struct:⿱)
31. 清澈眼＿ (pinyin: móu, freq: 3368, HSK:n, struct:⿰)
32. ＿望远方 (pinyin: tiào, freq: 3351, HSK:+, struct:⿰)
33. 闭上＿睛 (pinyin: yǎn, freq: 281, HSK:2, struct:⿰)
34. 你笑＿说 (pinyin: zhe, freq: 41, HSK:2, struct:⿸)
35. ＿开眼睛 (pinyin: zhēng, freq: 1963, HSK:6, struct:⿰)
36. 赢得青＿ (pinyin: lài, freq: 3969, HSK:+, struct:⿰)
37. 眼＿下垂 (pinyin: jiǎn, freq: 3901, HSK:n, struct:⿰)
38. ＿眦必报 (pinyin: yá, freq: 6152, HSK:n, struct:⿰)
39. 画龙点＿ (pinyin: jīng, freq: 934, HSK:2, struct:⿰)
40. ＿懒觉 (pinyin: shuì, freq: 964, HSK:1, struct:⿰)
41. 监＿工作 (pinyin: dū, freq: 946, HSK:6, struct:⿱)
42. 和＿相处 (pinyin: mù, freq: 3019, HSK:+, struct:⿰)
43. 睥＿一切 (pinyin: nì, freq: 4448, HSK:n, struct:⿰)
44. 迫在眉＿ (pinyin: jié, freq: 3415, HSK:n, struct:⿰)
45. 不理不＿ (pinyin: cǎi, freq: 3250, HSK:+, struct:⿰)
46. 亲眼目＿ (pinyin: dǔ, freq: 2568, HSK:+, struct:⿰)
47. 众目＿＿ (pinyin: kuí, freq: 3958, HSK:n, struct:⿰)
48. ＿丸激素 (pinyin: gāo, freq: 3529, HSK:n, struct:⿱)
49. 英明＿智 (pinyin: ruì, freq: 3407, HSK:n, struct:⿳)
50. ＿准目标 (pinyin: miáo, freq: 2565, HSK:+, struct:⿰)
51. ＿了一眼 (pinyin: chǒu, freq: 2767, HSK:+, struct:⿰)
52. 打着＿睡 (pinyin: kē, freq: 4061, HSK:n, struct:⿰)
53. 眼＿耳聋 (pinyin: xiā, freq: 2395, HSK:+, struct:⿰)
54. ＿目长眠 (pinyin: míng, freq: 4229, HSK:n, struct:⿰)
55. 隐＿真相 (pinyin: mán, freq: 2405, HSK:+, struct:⿰)
56. ＿了一眼 (pinyin: piǎo, freq: 3627, HSK:n, struct:⿰)
57. ＿目结舌 (pinyin: chēng, freq: 4018, HSK:n, struct:⿰)
58. ＿了一眼 (pinyin: piē, freq: 2706, HSK:n, struct:⿱)
59. ＿＿看 (pinyin: qiáo, freq: 1551, HSK:6, struct:⿰)
60. 举世＿目 (pinyin: zhǔ, freq: 3320, HSK:+, struct:⿰)
61. 目＿口呆 (pinyin: dèng, freq: 2049, HSK:+, struct:⿰)
62. 那一＿间 (pinyin: shùn, freq: 2114, HSK:6, struct:⿰)
63. ＿望台 (pinyin: liào, freq: 4345, HSK:n, struct:⿰)
64. 俯＿全城 (pinyin: kàn, freq: 3895, HSK:n, struct:⿰)
65. ＿孔放大 (pinyin: tóng, freq: 3733, HSK:n, struct:⿰)
66. 前＿性 (pinyin: zhān, freq: 2960, HSK:+, struct:⿰)
67. ＿秋白 (pinyin: Qú, freq: 3305, HSK:n, struct:⿱)
68. 高楼＿立 (pinyin: chù, freq: 3029, HSK:+, struct:⿱)
69. 自我＿盾 (pinyin: máo, freq: 1441, HSK:5, struct:⿱)
70. 性格＿持 (pinyin: jīn, freq: 3661, HSK:n, struct:⿰)
71. 速度＿量 (pinyin: shǐ, freq: 2811, HSK:+, struct:⿻)
72. 悔之晚＿ (pinyin: yǐ, freq: 2069, HSK:+, struct:⿱)
73. 不＿所措 (pinyin: zhī, freq: 123, HSK:1, struct:⿰)
74. 遵守规＿ (pinyin: jǔ, freq: 2160, HSK:6, struct:⿰)
75. ＿正牙齿 (pinyin: jiǎo, freq: 2916, HSK:+, struct:⿰)
76. 长话＿说 (pinyin: duǎn, freq: 889, HSK:3, struct:⿰)
77. 不高不＿ (pinyin: ǎi, freq: 2027, HSK:3, struct:⿰)
78. 水滴＿穿 (pinyin: shí, freq: 414, HSK:5, struct:⿸)
79. 洛杉＿ (pinyin: jī, freq: 3232, HSK:n, struct:⿰)
80. 明＿晶体 (pinyin: fán, freq: 4601, HSK:n, struct:⿰)
81. ＿泉水 (pinyin: kuàng, freq: 1385, HSK:3, struct:⿰)
82. 扫二维＿ (pinyin: mǎ, freq: 1345, HSK:3, struct:⿰)
83. ＿纸打磨 (pinyin: shā, freq: 2713, HSK:n, struct:⿰)
84. 用砖＿墙 (pinyin: qì, freq: 3221, HSK:+, struct:⿰)
85. 把树＿掉 (pinyin: kǎn, freq: 2217, HSK:6, struct:⿰)
86. 科学＿究 (pinyin: yán, freq: 447, HSK:4, struct:⿰)
87. 抛＿引玉 (pinyin: zhuān, freq: 2355, HSK:6, struct:⿰)
88. 毛笔＿台 (pinyin: yàn, freq: 4121, HSK:n, struct:⿰)
89. 中流＿柱 (pinyin: dǐ, freq: 4166, HSK:n, struct:⿰)
90. 铁＿锻造 (pinyin: zhēn, freq: 4371, HSK:n, struct:⿰)
91. 心＿＿跳 (pinyin: pēng, freq: 2869, HSK:n, struct:⿰)
92. ＿门而入 (pinyin: pò, freq: 604, HSK:4, struct:⿰)
93. 考＿了！ (pinyin: zá, freq: 2456, HSK:+, struct:⿰)
94. 砥＿前行 (pinyin: lì, freq: 4760, HSK:n, struct:⿰)
95. ＿石小径 (pinyin: lì, freq: 3511, HSK:n, struct:⿰)
96. 打下基＿ (pinyin: chǔ, freq: 1014, HSK:4, struct:⿰)
97. ＿芯片 (pinyin: guī, freq: 3331, HSK:n, struct:⿰)
98. ＿士博士 (pinyin: shuò, freq: 2304, HSK:4, struct:⿰)
99. ＿酸甘油 (pinyin: xiāo, freq: 3085, HSK:n, struct:⿰)
100. 黄色＿酸 (pinyin: liú, freq: 2730, HSK:n, struct:⿰)
