```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 坚＿如石 (pinyin: yìng, freq: 1170, HSK:5, struct:⿰)
2. ＿切地说 (pinyin: què, freq: 331, HSK:4, struct:⿰)
3. ＿砂粉末 (pinyin: péng, freq: 4602, HSK:n, struct:⿰)
4. 防守＿堡 (pinyin: diāo, freq: 3659, HSK:n, struct:⿰)
5. 忙忙＿＿ (pinyin: lù, freq: 2548, HSK:5, struct:⿰)
6. ＿手＿脚 (pinyin: ài, freq: 1437, HSK:6, struct:⿰)
7. 打＿窗户 (pinyin: suì, freq: 1420, HSK:5, struct:⿰)
8. 里程＿ (pinyin: bēi, freq: 2203, HSK:+, struct:⿰)
9. 盛一＿汤 (pinyin: wǎn, freq: 1939, HSK:3, struct:⿰)
10. 含＿食盐 (pinyin: diǎn, freq: 3681, HSK:n, struct:⿰)
11. 小菜一＿ (pinyin: dié, freq: 2835, HSK:+, struct:⿰)
12. ＿绿湖水 (pinyin: bì, freq: 2165, HSK:+, struct:⿱)
13. 小心＿头 (pinyin: pèng, freq: 1371, HSK:5, struct:⿰)
14. ＿土金属 (pinyin: jiǎn, freq: 2872, HSK:n, struct:⿰)
15. 二氧化＿ (pinyin: tàn, freq: 2740, HSK:6, struct:⿰)
16. 胡子拉＿ (pinyin: chā, freq: 4321, HSK:n, struct:⿰)
17. ＿碎胡椒 (pinyin: niǎn, freq: 3684, HSK:n, struct:⿰)
18. ＿铁吸引 (pinyin: cí, freq: 1771, HSK:+, struct:⿰)
19. 一＿黄油 (pinyin: bàng, freq: 2941, HSK:+, struct:⿰)
20. 光明＿落 (pinyin: lěi, freq: 3423, HSK:+, struct:⿱)
21. 合同＿商 (pinyin: cuō, freq: 3261, HSK:+, struct:⿰)
22. ＿石之固 (pinyin: pán, freq: 3640, HSK:n, struct:⿱)
23. ＿掉牙齿 (pinyin: kē, freq: 2991, HSK:+, struct:⿰)
24. ＿杵成针 (pinyin: mó, freq: 1537, HSK:+, struct:⿸)
25. ＿酸盐 (pinyin: lín, freq: 2956, HSK:n, struct:⿰)
