```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿上衣服 (pinyin: chuān, freq: 785, HSK:1, struct:⿱)
2. 科学＿破 (pinyin: tū, freq: 484, HSK:3, struct:⿱)
3. 入室盗＿ (pinyin: qiè, freq: 2103, HSK:+, struct:⿱)
4. 心胸狭＿ (pinyin: zhǎi, freq: 2244, HSK:5, struct:⿱)
5. ＿窕淑女 (pinyin: yǎo, freq: 4541, HSK:n, struct:⿱)
6. 学会＿门 (pinyin: qiào, freq: 3020, HSK:+, struct:⿱)
7. 五大名＿ (pinyin: yáo, freq: 2342, HSK:+, struct:⿱)
8. ＿息而死 (pinyin: zhì, freq: 3235, HSK:+, struct:⿱)
9. 窈＿淑女 (pinyin: tiǎo, freq: 4684, HSK:n, struct:⿱)
10. 地＿储存 (pinyin: jiào, freq: 3317, HSK:n, struct:⿱)
11. 打开＿户 (pinyin: chuāng, freq: 1074, HSK:4, struct:⿱)
12. 生活＿迫 (pinyin: jiǒng, freq: 2979, HSK:+, struct:⿱)
13. 四处逃＿ (pinyin: cuàn, freq: 2461, HSK:+, struct:⿱)
14. 狗进狗＿ (pinyin: wō, freq: 1962, HSK:+, struct:⿱)
15. 云冈石＿ (pinyin: kū, freq: 2924, HSK:+, struct:⿱)
16. ＿探隐私 (pinyin: kuī, freq: 2748, HSK:+, struct:⿱)
17. 鼻＿堵塞 (pinyin: dòu, freq: 2895, HSK:n, struct:⿱)
18. 穿个窟＿ (pinyin: lóng, freq: 3845, HSK:+, struct:⿱)
19. 独＿国家 (pinyin: lì, freq: 197, HSK:5, struct:⿳)
20. ＿起耳朵 (pinyin: shù, freq: 2505, HSK:6, struct:⿱)
21. ＿稳脚跟 (pinyin: zhàn, freq: 544, HSK:2, struct:⿰)
22. ＿争激烈 (pinyin: jìng, freq: 1100, HSK:4, struct:⿱)
23. ＿然忘了 (pinyin: jìng, freq: 706, HSK:4, struct:⿱)
24. 出口成＿ (pinyin: zhāng, freq: 539, HSK:4, struct:⿱)
25. 工程＿工 (pinyin: jùn, freq: 3704, HSK:+, struct:⿰)
26. ＿话故事 (pinyin: tóng, freq: 1229, HSK:4, struct:⿱)
27. ＿尽全力 (pinyin: jié, freq: 1987, HSK:+, struct:⿰)
28. ＿午节 (pinyin: Duān, freq: 916, HSK:6, struct:⿰)
29. 一根＿竿 (pinyin: zhú, freq: 1588, HSK:5, struct:⿰)
30. 天＿葵 (pinyin: zhú, freq: 3439, HSK:n, struct:⿱)
31. 钓鱼＿ (pinyin: gān, freq: 2934, HSK:+, struct:⿱)
32. ＿信真理 (pinyin: dǔ, freq: 3207, HSK:n, struct:⿱)
33. 篱＿墙 (pinyin: bā, freq: 3617, HSK:n, struct:⿱)
34. 负＿游学 (pinyin: jí, freq: 3662, HSK:n, struct:⿱)
35. 雨后春＿ (pinyin: sǔn, freq: 3455, HSK:n, struct:⿱)
36. 哈哈大＿ (pinyin: xiào, freq: 346, HSK:2, struct:⿱)
37. 一支铅＿ (pinyin: bǐ, freq: 956, HSK:2, struct:⿱)
38. 吹起芦＿ (pinyin: shēng, freq: 3891, HSK:n, struct:⿱)
39. 竹＿演奏 (pinyin: dí, freq: 2561, HSK:+, struct:⿱)
40. ＿杖之刑 (pinyin: chī, freq: 4583, HSK:n, struct:⿱)
41. 一顶斗＿ (pinyin: lì, freq: 3278, HSK:n, struct:⿱)
42. 用＿帚扫 (pinyin: tiáo, freq: 4957, HSK:n, struct:⿱)
43. 标点＿号 (pinyin: fú, freq: 1205, HSK:4, struct:⿱)
44. ＿鸟先飞 (pinyin: bèn, freq: 2323, HSK:4, struct:⿱)
45. ＿一人称 (pinyin: dì, freq: 114, HSK:1, struct:⿱)
46. 信＿纸 (pinyin: jiān, freq: 3731, HSK:n, struct:⿱)
47. 挂上灯＿ (pinyin: lóng, freq: 1928, HSK:6, struct:⿱)
48. 男女平＿ (pinyin: děng, freq: 158, HSK:2, struct:⿱)
49. 面＿过敏 (pinyin: jīn, freq: 2252, HSK:+, struct:⿱)
50. 划着竹＿ (pinyin: fá, freq: 3785, HSK:n, struct:⿱)
51. 一箩＿ (pinyin: kuāng, freq: 3419, HSK:+, struct:⿱)
52. 建＿学 (pinyin: zhù, freq: 1130, HSK:5, struct:⿱)
53. 录音话＿ (pinyin: tǒng, freq: 2088, HSK:6, struct:⿱)
54. 回＿问题 (pinyin: dá, freq: 559, HSK:3, struct:⿱)
55. 经济政＿ (pinyin: cè, freq: 714, HSK:6, struct:⿱)
56. ＿选出来 (pinyin: shāi, freq: 3388, HSK:6, struct:⿱)
57. 放风＿ (pinyin: zhēng, freq: 3436, HSK:+, struct:⿱)
58. 竹制＿箕 (pinyin: shāo, freq: 6158, HSK:n, struct:⿱)
59. 大摆＿席 (pinyin: yán, freq: 3876, HSK:n, struct:⿱)
60. ＿子勺子 (pinyin: kuài, freq: 3110, HSK:3, struct:⿱)
61. 婚礼＿备 (pinyin: chóu, freq: 1677, HSK:6, struct:⿱)
62. 伪造＿名 (pinyin: qiān, freq: 1254, HSK:4, struct:⿱)
63. ＿单生活 (pinyin: jiǎn, freq: 716, HSK:3, struct:⿱)
64. 金＿棒 (pinyin: gū, freq: 3764, HSK:n, struct:⿱)
65. 铝＿纸 (pinyin: bó, freq: 4366, HSK:n, struct:⿱)
66. 竹簸＿ (pinyin: jī, freq: 4357, HSK:n, struct:⿱)
67. 精打细＿ (pinyin: suàn, freq: 403, HSK:3, struct:⿱)
68. 经济＿理 (pinyin: guǎn, freq: 252, HSK:4, struct:⿱)
69. 一＿筐 (pinyin: luó, freq: 4446, HSK:n, struct:⿱)
70. 吹＿乞食 (pinyin: xiāo, freq: 3634, HSK:n, struct:⿱)
71. 火＿发射 (pinyin: jiàn, freq: 1496, HSK:6, struct:⿱)
72. 海尔冰＿ (pinyin: xiāng, freq: 1453, HSK:3, struct:⿱)
73. 领悟＿言 (pinyin: zhēn, freq: 4285, HSK:n, struct:⿱)
74. ＿刻印章 (pinyin: zhuàn, freq: 4254, HSK:n, struct:⿱)
75. 千＿一律 (pinyin: piān, freq: 1008, HSK:4, struct:⿱)
76. 功亏一＿ (pinyin: kuì, freq: 5192, HSK:n, struct:⿱)
77. 竹编背＿ (pinyin: lǒu, freq: 4012, HSK:n, struct:⿱)
78. 用＿撑船 (pinyin: gāo, freq: 4628, HSK:n, struct:⿱)
79. 点燃＿火 (pinyin: gōu, freq: 4336, HSK:n, struct:⿱)
80. ＿改证据 (pinyin: cuàn, freq: 3406, HSK:n, struct:⿱)
81. 打＿球 (pinyin: lán, freq: 2357, HSK:2, struct:⿱)
82. 跳过＿笆 (pinyin: lí, freq: 3158, HSK:n, struct:⿱)
83. 搭起帐＿ (pinyin: péng, freq: 2579, HSK:+, struct:⿱)
84. 一＿鲜花 (pinyin: cù, freq: 2896, HSK:+, struct:⿱)
85. ＿＿流下 (pinyin: sù, freq: 3954, HSK:n, struct:⿱)
86. 弹＿床垫 (pinyin: huáng, freq: 3370, HSK:n, struct:⿱)
87. 一根发＿ (pinyin: zān, freq: 4297, HSK:n, struct:⿳)
88. 上下颠＿ (pinyin: bǒ, freq: 3586, HSK:+, struct:⿱)
89. 户口＿ (pinyin: bù, freq: 2848, HSK:n, struct:⿱)
90. 天＿之音 (pinyin: lài, freq: 4150, HSK:n, struct:⿱)
91. 文学书＿ (pinyin: jí, freq: 1579, HSK:4, struct:⿱)
92. 一碗＿饭 (pinyin: mǐ, freq: 575, HSK:1, struct:⿻)
93. 动物种＿ (pinyin: lèi, freq: 311, HSK:5, struct:⿱)
94. 菜＿油 (pinyin: zǐ, freq: 3567, HSK:+, struct:⿰)
95. ＿红色 (pinyin: fěn, freq: 1498, HSK:6, struct:⿰)
96. 糖油＿＿ (pinyin: bā, freq: 4587, HSK:n, struct:⿰)
97. 一＿沙子 (pinyin: lì, freq: 1714, HSK:6, struct:⿰)
98. 去其糟＿ (pinyin: pò, freq: 4655, HSK:+, struct:⿰)
99. ＿心大意 (pinyin: cū, freq: 1414, HSK:4, struct:⿰)
100. ＿贴邮票 (pinyin: zhān, freq: 2240, HSK:6, struct:⿰)
