```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 罂＿花 (pinyin: sù, freq: 2883, HSK:n, struct:⿱)
2. 广东：＿ (pinyin: Yuè, freq: 3151, HSK:n, struct:⿱)
3. 白米＿ (pinyin: zhōu, freq: 3021, HSK:6, struct:⿲)
4. ＿便尿液 (pinyin: fèn, freq: 2884, HSK:+, struct:⿱)
5. ＿食产量 (pinyin: liáng, freq: 1303, HSK:5, struct:⿰)
6. 高＿品种 (pinyin: liáng, freq: 3599, HSK:n, struct:⿱)
7. ＿然一笑 (pinyin: càn, freq: 4810, HSK:n, struct:⿱)
8. 纯＿感情 (pinyin: cuì, freq: 1736, HSK:+, struct:⿰)
9. 波光＿＿ (pinyin: lín, freq: 4286, HSK:n, struct:⿰)
10. 豆沙＿子 (pinyin: zòng, freq: 5076, HSK:6, struct:⿰)
11. 集中＿神 (pinyin: jīng, freq: 435, HSK:4, struct:⿰)
12. 模＿不清 (pinyin: hú, freq: 1393, HSK:5, struct:⿰)
13. 生日蛋＿ (pinyin: gāo, freq: 2413, HSK:3, struct:⿰)
14. ＿尿病 (pinyin: táng, freq: 1746, HSK:3, struct:⿰)
15. 闹了＿事 (pinyin: qiǔ, freq: 6352, HSK:n, struct:⿰)
16. 粗＿不平 (pinyin: cāo, freq: 3118, HSK:+, struct:⿰)
17. 尸体＿烂 (pinyin: mí, freq: 3713, HSK:n, struct:⿸)
18. 真＿糕！ (pinyin: zāo, freq: 1918, HSK:5, struct:⿰)
19. 米＿产品 (pinyin: kāng, freq: 4169, HSK:n, struct:⿰)
20. ＿米糕 (pinyin: nuò, freq: 4208, HSK:n, struct:⿰)
21. 亲密关＿ (pinyin: xì, freq: 216, HSK:1, struct:⿱)
22. 有条不＿ (pinyin: wěn, freq: 3113, HSK:+, struct:⿱)
23. 化学元＿ (pinyin: sù, freq: 661, HSK:5, struct:⿱)
24. 搜＿引擎 (pinyin: suǒ, freq: 805, HSK:5, struct:⿱)
25. ＿急情况 (pinyin: jǐn, freq: 560, HSK:4, struct:⿱)
26. ＿薯红薯 (pinyin: zǐ, freq: 1646, HSK:5, struct:⿱)
27. 我＿死了 (pinyin: lèi, freq: 1323, HSK:2, struct:⿱)
28. 柳＿飘飘 (pinyin: xù, freq: 3125, HSK:+, struct:⿱)
29. ＿荣社会 (pinyin: fán, freq: 1296, HSK:5, struct:⿱)
30. 编＿词典 (pinyin: zuǎn, freq: 3536, HSK:n, struct:⿱)
31. ＿正发音 (pinyin: jiū, freq: 1723, HSK:6, struct:⿰)
32. 五星＿旗 (pinyin: hóng, freq: 502, HSK:2, struct:⿰)
33. 商＿王 (pinyin: Zhòu, freq: 4329, HSK:n, struct:⿰)
34. 含有＿维 (pinyin: xiān, freq: 2106, HSK:+, struct:⿰)
35. 跟他＿会 (pinyin: yuē, freq: 424, HSK:4, struct:⿰)
36. 三年＿ (pinyin: jí, freq: 415, HSK:3, struct:⿰)
37. ＿绔子弟 (pinyin: wán, freq: 5335, HSK:n, struct:⿰)
38. ＿念品 (pinyin: jì, freq: 584, HSK:4, struct:⿰)
39. 缝＿机 (pinyin: rèn, freq: 4173, HSK:n, struct:⿰)
40. 地理＿度 (pinyin: wěi, freq: 2697, HSK:+, struct:⿰)
41. 纷＿复杂 (pinyin: yún, freq: 4262, HSK:n, struct:⿰)
42. ＿黄金 (pinyin: chún, freq: 1125, HSK:6, struct:⿰)
43. 婚＿照 (pinyin: shā, freq: 2430, HSK:+, struct:⿰)
44. 文章提＿ (pinyin: gāng, freq: 1934, HSK:+, struct:⿰)
45. 归＿要点 (pinyin: nà, freq: 684, HSK:6, struct:⿰)
46. ＿横交错 (pinyin: zòng, freq: 1236, HSK:+, struct:⿰)
47. 涤＿纤维 (pinyin: lún, freq: 3560, HSK:n, struct:⿰)
48. ＿＿落下 (pinyin: fēn, freq: 1181, HSK:5, struct:⿰)
49. ＿上谈兵 (pinyin: zhǐ, freq: 1020, HSK:3, struct:⿰)
50. 脸上皱＿ (pinyin: wén, freq: 1768, HSK:+, struct:⿰)
51. ＿织厂 (pinyin: fǎng, freq: 2409, HSK:+, struct:⿰)
52. 美国＿约 (pinyin: Niǔ, freq: 1767, HSK:+, struct:⿰)
53. ＿解烦忧 (pinyin: shū, freq: 4392, HSK:n, struct:⿰)
54. 查找＿索 (pinyin: xiàn, freq: 430, HSK:4, struct:⿰)
55. ＿习题 (pinyin: liàn, freq: 1005, HSK:3, struct:⿰)
56. 小＿讨论 (pinyin: zǔ, freq: 358, HSK:4, struct:⿰)
57. ＿士风度 (pinyin: shēn, freq: 2554, HSK:+, struct:⿰)
58. 仔＿考虑 (pinyin: xì, freq: 597, HSK:4, struct:⿰)
59. 纺＿行业 (pinyin: zhī, freq: 578, HSK:5, struct:⿰)
60. 起点＿点 (pinyin: zhōng, freq: 558, HSK:3, struct:⿰)
61. ＿脚石 (pinyin: bàn, freq: 3183, HSK:+, struct:⿰)
62. 相形见＿ (pinyin: chù, freq: 4831, HSK:n, struct:⿰)
63. 介＿朋友 (pinyin: shào, freq: 1234, HSK:2, struct:⿰)
64. 络＿不绝 (pinyin: yì, freq: 3015, HSK:+, struct:⿰)
65. 已＿完成 (pinyin: jīng, freq: 62, HSK:2, struct:⿰)
66. 被＿架了 (pinyin: bǎng, freq: 2421, HSK:+, struct:⿰)
67. 羽＿服 (pinyin: róng, freq: 2678, HSK:6, struct:⿰)
68. 我＿婚了 (pinyin: jié, freq: 236, HSK:3, struct:⿰)
69. 纨＿子弟 (pinyin: kù, freq: 5259, HSK:n, struct:⿰)
70. ＿了一圈 (pinyin: rào, freq: 1485, HSK:5, struct:⿰)
71. 描＿景色 (pinyin: huì, freq: 1809, HSK:6, struct:⿰)
72. 送＿你 (pinyin: gěi, freq: 180, HSK:1, struct:⿰)
73. ＿丽多彩 (pinyin: xuàn, freq: 3711, HSK:n, struct:⿰)
74. 深＿红色 (pinyin: jiàng, freq: 3987, HSK:n, struct:⿰)
75. ＿绎不绝 (pinyin: luò, freq: 1118, HSK:5, struct:⿰)
76. 空前＿后 (pinyin: jué, freq: 562, HSK:4, struct:⿰)
77. ＿尽脑汁 (pinyin: jiǎo, freq: 2672, HSK:+, struct:⿰)
78. 美国总＿ (pinyin: tǒng, freq: 264, HSK:5, struct:⿰)
79. 用手＿擤 (pinyin: juàn, freq: 2385, HSK:n, struct:⿰)
80. ＿花手帕 (pinyin: xiù, freq: 2434, HSK:+, struct:⿰)
81. ＿靖政策 (pinyin: suí, freq: 2791, HSK:n, struct:⿰)
82. ＿续下去 (pinyin: jì, freq: 655, HSK:4, struct:⿰)
83. 考试成＿ (pinyin: jì, freq: 1547, HSK:3, struct:⿰)
84. 情＿低落 (pinyin: xù, freq: 1413, HSK:5, struct:⿰)
85. ＿罗绸缎 (pinyin: líng, freq: 3262, HSK:n, struct:⿰)
86. 继＿学习 (pinyin: xù, freq: 552, HSK:4, struct:⿰)
