```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿默不语 (pinyin: jiān, freq: 3908, HSK:n, struct:⿰)
2. ＿甸猫 (pinyin: Miǎn, freq: 2676, HSK:+, struct:⿰)
3. 铺设电＿ (pinyin: lǎn, freq: 2821, HSK:+, struct:⿰)
4. 通＿令 (pinyin: jī, freq: 3165, HSK:+, struct:⿰)
5. 红色绸＿ (pinyin: duàn, freq: 3108, HSK:n, struct:⿰)
6. ＿解压力 (pinyin: huǎn, freq: 1111, HSK:5, struct:⿰)
7. ＿结条约 (pinyin: dì, freq: 2688, HSK:+, struct:⿰)
8. 千丝万＿ (pinyin: lǚ, freq: 2894, HSK:+, struct:⿰)
9. ＿织毛衣 (pinyin: biān, freq: 858, HSK:6, struct:⿰)
10. 被边＿化 (pinyin: yuán, freq: 1274, HSK:+, struct:⿰)
11. 束＿手脚 (pinyin: fù, freq: 2577, HSK:+, struct:⿰)
12. 思维＿密 (pinyin: zhěn, freq: 4383, HSK:n, struct:⿰)
13. 裁＿做衣 (pinyin: féng, freq: 1852, HSK:+, struct:⿰)
14. ＿绕树干 (pinyin: chán, freq: 2046, HSK:+, struct:⿰)
15. 五彩＿纷 (pinyin: bīn, freq: 3795, HSK:+, struct:⿰)
16. 红＿枪 (pinyin: yīng, freq: 4136, HSK:n, struct:⿰)
17. 压＿文件 (pinyin: suō, freq: 1304, HSK:5, struct:⿰)
18. 未雨绸＿ (pinyin: móu, freq: 3286, HSK:n, struct:⿰)
19. 眼花＿乱 (pinyin: liáo, freq: 3637, HSK:n, struct:⿰)
20. 修＿房屋 (pinyin: shàn, freq: 3981, HSK:n, struct:⿰)
21. 拉紧＿绳 (pinyin: jiāng, freq: 3855, HSK:n, struct:⿰)
22. ＿纳学费 (pinyin: jiǎo, freq: 1834, HSK:+, struct:⿰)
23. 浴＿放水 (pinyin: gāng, freq: 2817, HSK:+, struct:⿰)
24. 完美无＿ (pinyin: quē, freq: 875, HSK:4, struct:⿰)
25. ＿粟籽 (pinyin: yīng, freq: 4374, HSK:n, struct:⿱)
26. 粮食＿尽 (pinyin: qìng, freq: 4542, HSK:n, struct:⿱)
27. 打开＿头 (pinyin: guàn, freq: 2410, HSK:6, struct:⿰)
28. 互联＿ (pinyin: wǎng, freq: 605, HSK:2, struct:⿵)
29. 置若＿闻 (pinyin: wǎng, freq: 4200, HSK:n, struct:⿵)
30. ＿见病例 (pinyin: hǎn, freq: 2221, HSK:6, struct:⿱)
31. 古＿马 (pinyin: Luó, freq: 392, HSK:+, struct:⿱)
32. 严厉惩＿ (pinyin: fá, freq: 1215, HSK:5, struct:⿱)
33. 停手＿工 (pinyin: bà, freq: 1305, HSK:+, struct:⿱)
34. 笼＿大地 (pinyin: zhào, freq: 1978, HSK:+, struct:⿱)
