```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿骨骨折 (pinyin: lèi, freq: 3324, HSK:n, struct:⿰)
2. ＿肉发达 (pinyin: jī, freq: 1935, HSK:5, struct:⿰)
3. 病入膏＿ (pinyin: huāng, freq: 4838, HSK:n, struct:⿱)
4. 十二生＿ (pinyin: xiào, freq: 2019, HSK:5, struct:⿱)
5. 捉襟见＿ (pinyin: zhǒu, freq: 3010, HSK:n, struct:⿰)
6. ＿子饿了 (pinyin: dù, freq: 1800, HSK:4, struct:⿰)
7. ＿门直肠 (pinyin: gāng, freq: 3394, HSK:n, struct:⿰)
8. ＿脏解毒 (pinyin: gān, freq: 1760, HSK:6, struct:⿰)
9. 一根香＿ (pinyin: cháng, freq: 1921, HSK:6, struct:⿰)
10. ＿票市场 (pinyin: gǔ, freq: 644, HSK:6, struct:⿰)
11. 四＿瘫痪 (pinyin: zhī, freq: 2335, HSK:+, struct:⿰)
12. 保养皮＿ (pinyin: fū, freq: 1790, HSK:4, struct:⿰)
13. 我要减＿ (pinyin: féi, freq: 1620, HSK:5, struct:⿰)
14. 擦＿而过 (pinyin: jiān, freq: 1415, HSK:6, struct:⿸)
15. 油和脂＿ (pinyin: fáng, freq: 3005, HSK:6, struct:⿰)
16. ＿脏不堪 (pinyin: āng, freq: 3194, HSK:n, struct:⿰)
17. 吃＿德基 (pinyin: kěn, freq: 860, HSK:4, struct:⿱)
18. 教＿部门 (pinyin: yù, freq: 609, HSK:3, struct:⿱)
19. 美味佳＿ (pinyin: yáo, freq: 3513, HSK:+, struct:⿱)
20. 新冠＿炎 (pinyin: fèi, freq: 2044, HSK:6, struct:⿰)
21. ＿上腺素 (pinyin: shèn, freq: 2361, HSK:+, struct:⿱)
22. 良性＿瘤 (pinyin: zhǒng, freq: 1792, HSK:6, struct:⿰)
23. 通货膨＿ (pinyin: zhàng, freq: 2083, HSK:+, struct:⿰)
24. 严重威＿ (pinyin: xié, freq: 1494, HSK:5, struct:⿰)
25. ＿肠道 (pinyin: wèi, freq: 1957, HSK:5, struct:⿱)
26. 贵＿后裔 (pinyin: zhòu, freq: 4268, HSK:n, struct:⿱)
27. ＿小如鼠 (pinyin: dǎn, freq: 1352, HSK:5, struct:⿰)
28. ＿景音乐 (pinyin: bèi, freq: 787, HSK:4, struct:⿱)
29. 轮＿漏气 (pinyin: tāi, freq: 1984, HSK:+, struct:⿰)
30. ＿嘟嘟的 (pinyin: pàng, freq: 1893, HSK:3, struct:⿰)
31. ＿胎细胞 (pinyin: pēi, freq: 2928, HSK:+, struct:⿰)
32. 肩＿骨 (pinyin: jiǎ, freq: 4715, HSK:n, struct:⿰)
33. 名＿古迹 (pinyin: shèng, freq: 743, HSK:5, struct:⿰)
34. 癌细＿ (pinyin: bāo, freq: 1341, HSK:6, struct:⿰)
35. ＿说八道 (pinyin: hú, freq: 806, HSK:5, struct:⿰)
36. 赵匡＿ (pinyin: yìn, freq: 3982, HSK:n, struct:⿲)
37. 朦＿夜色 (pinyin: lóng, freq: 2837, HSK:+, struct:⿰)
38. 小腿＿骨 (pinyin: jìng, freq: 4209, HSK:n, struct:⿰)
39. ＿脂红 (pinyin: yān, freq: 4247, HSK:n, struct:⿰)
40. ＿下之辱 (pinyin: kuà, freq: 4526, HSK:n, struct:⿰)
41. ＿岛素 (pinyin: yí, freq: 3238, HSK:n, struct:⿰)
42. 膀＿感染 (pinyin: guāng, freq: 3847, HSK:n, struct:⿰)
43. ＿膊肘 (pinyin: gē, freq: 2490, HSK:4, struct:⿰)
44. 赤裸＿体 (pinyin: dòng, freq: 4782, HSK:n, struct:⿰)
45. 用＿水粘 (pinyin: jiāo, freq: 2170, HSK:6, struct:⿰)
46. ＿部丰满 (pinyin: xiōng, freq: 1356, HSK:6, struct:⿰)
47. 多巴＿ (pinyin: àn, freq: 3433, HSK:n, struct:⿰)
48. 难＿可贵 (pinyin: néng, freq: 35, HSK:1, struct:⿰)
49. ＿肪含量 (pinyin: zhī, freq: 2206, HSK:6, struct:⿰)
50. 干＿利落 (pinyin: cuì, freq: 1976, HSK:6, struct:⿰)
51. 来龙去＿ (pinyin: mài, freq: 1594, HSK:+, struct:⿰)
52. ＿椎动物 (pinyin: jí, freq: 2228, HSK:+, struct:⿱)
53. ＿炙人口 (pinyin: kuài, freq: 5101, HSK:n, struct:⿰)
54. 内＿器官 (pinyin: zàng, freq: 1634, HSK:3, struct:⿰)
55. 剪断＿带 (pinyin: qí, freq: 3830, HSK:n, struct:⿰)
56. 一台电＿ (pinyin: nǎo, freq: 646, HSK:1, struct:⿰)
57. 破裂＿包 (pinyin: nóng, freq: 3376, HSK:n, struct:⿰)
58. 卡住＿子 (pinyin: bó, freq: 2175, HSK:6, struct:⿰)
59. 大手大＿ (pinyin: jiǎo, freq: 790, HSK:3, struct:⿰)
60. 挺起胸＿ (pinyin: pú, freq: 3017, HSK:n, struct:⿰)
61. ＿口而出 (pinyin: tuō, freq: 943, HSK:4, struct:⿰)
62. 没＿见人 (pinyin: liǎn, freq: 615, HSK:3, struct:⿰)
63. 发了＿气 (pinyin: pí, freq: 2223, HSK:4, struct:⿰)
64. 腼＿害羞 (pinyin: tiǎn, freq: 4025, HSK:+, struct:⿰)
65. 古希＿ (pinyin: là, freq: 1497, HSK:+, struct:⿰)
66. ＿窝很臭 (pinyin: yè, freq: 3593, HSK:n, struct:⿰)
67. 用盐＿菜 (pinyin: yān, freq: 4219, HSK:n, struct:⿰)
68. 臭豆＿ (pinyin: fǔ, freq: 1576, HSK:5, struct:⿸)
69. 五脏六＿ (pinyin: fǔ, freq: 3491, HSK:n, struct:⿰)
70. 小腿＿骨 (pinyin: féi, freq: 3543, HSK:n, struct:⿰)
71. 口＿卫生 (pinyin: qiāng, freq: 1914, HSK:6, struct:⿰)
72. 手＿关节 (pinyin: wàn, freq: 2581, HSK:+, struct:⿰)
73. 鱼＿味 (pinyin: xīng, freq: 2747, HSK:+, struct:⿰)
74. 罐焖牛＿ (pinyin: nǎn, freq: 6979, HSK:n, struct:⿰)
75. ＿裂手术 (pinyin: è, freq: 5294, HSK:n, struct:⿰)
76. ＿帮子红 (pinyin: sāi, freq: 3185, HSK:n, struct:⿰)
77. 弯＿捡起 (pinyin: yāo, freq: 1458, HSK:5, struct:⿰)
78. 患有＿泻 (pinyin: fù, freq: 1589, HSK:+, struct:⿰)
79. 乳＿癌 (pinyin: xiàn, freq: 2257, HSK:n, struct:⿰)
80. 油＿食物 (pinyin: nì, freq: 2819, HSK:+, struct:⿰)
81. ＿腆害羞 (pinyin: miǎn, freq: 4178, HSK:+, struct:⿰)
82. 牙痛折＿ (pinyin: téng, freq: 1635, HSK:+, struct:⿰)
83. 两＿交叉 (pinyin: tuǐ, freq: 1351, HSK:3, struct:⿰)
84. 拍拍肩＿ (pinyin: bǎng, freq: 1941, HSK:5, struct:⿰)
85. 胳＿肘 (pinyin: bó, freq: 2440, HSK:4, struct:⿰)
86. 牙＿牙刷 (pinyin: gāo, freq: 2673, HSK:4, struct:⿱)
87. ＿肥体壮 (pinyin: biāo, freq: 4884, HSK:n, struct:⿰)
88. 挺起胸＿ (pinyin: táng, freq: 2865, HSK:+, struct:⿰)
89. 眼角＿ (pinyin: mó, freq: 1945, HSK:+, struct:⿰)
90. 单＿跪下 (pinyin: xī, freq: 2307, HSK:+, struct:⿰)
91. 通货＿胀 (pinyin: péng, freq: 2415, HSK:+, struct:⿰)
92. 营养＿食 (pinyin: shàn, freq: 3300, HSK:+, struct:⿰)
93. 荣＿奖项 (pinyin: yīng, freq: 3783, HSK:n, struct:⿸)
94. 羊肉＿味 (pinyin: shān, freq: 5647, HSK:n, struct:⿰)
95. 扭动＿部 (pinyin: tún, freq: 3199, HSK:+, struct:⿱)
96. 摆动手＿ (pinyin: bì, freq: 1688, HSK:6, struct:⿱)
97. 肥胖＿肿 (pinyin: yōng, freq: 4439, HSK:n, struct:⿰)
98. ＿测而已 (pinyin: yì, freq: 3709, HSK:n, struct:⿰)
99. 害＿脸红 (pinyin: sào, freq: 4389, HSK:n, struct:⿰)
