```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿言＿语 (pinyin: zì, freq: 43, HSK:2, struct:⿻)
2. ＿豆腐 (pinyin: chòu, freq: 2105, HSK:5, struct:⿱)
3. ＿关重要 (pinyin: zhì, freq: 267, HSK:4, struct:⿱)
4. 导＿失败 (pinyin: zhì, freq: 524, HSK:5, struct:⿰)
5. 日＿完善 (pinyin: zhēn, freq: 3298, HSK:n, struct:⿰)
6. ＿齿咀嚼 (pinyin: jiù, freq: 4066, HSK:n, struct:none)
7. 用勺＿水 (pinyin: yǎo, freq: 4302, HSK:n, struct:⿱)
8. ＿＿阿姨 (pinyin: jiù, freq: 2375, HSK:6, struct:⿱)
9. ＿论压力 (pinyin: yú, freq: 2341, HSK:+, struct:⿶)
10. 口＿之战 (pinyin: shé, freq: 1958, HSK:6, struct:⿱)
11. 大学宿＿ (pinyin: shě, freq: 1344, HSK:5, struct:⿱)
12. ＿犊情深 (pinyin: shì, freq: 4344, HSK:n, struct:⿰)
13. 感觉＿服 (pinyin: shū, freq: 1459, HSK:2, struct:⿰)
14. 狗＿主人 (pinyin: tiǎn, freq: 3348, HSK:+, struct:⿰)
15. ＿误难免 (pinyin: chuǎn, freq: 4694, HSK:n, struct:⿰)
16. ＿日尧天 (pinyin: shùn, freq: 3182, HSK:n, struct:⿱)
17. 手＿足蹈 (pinyin: wǔ, freq: 1144, HSK:2, struct:⿱)
18. 刻＿求剑 (pinyin: zhōu, freq: 2224, HSK:+, struct:⿻)
19. 南方＿空 (pinyin: háng, freq: 773, HSK:4, struct:⿰)
20. 一＿来说 (pinyin: bān, freq: 629, HSK:3, struct:⿰)
21. 海军＿艇 (pinyin: jiàn, freq: 851, HSK:+, struct:⿰)
22. 在船＿里 (pinyin: cāng, freq: 1846, HSK:+, struct:⿰)
23. 无＿之舟 (pinyin: duò, freq: 3088, HSK:+, struct:⿰)
24. 国际船＿ (pinyin: bó, freq: 2318, HSK:+, struct:⿰)
25. 右＿船头 (pinyin: xián, freq: 3109, HSK:n, struct:⿰)
26. 停泊＿只 (pinyin: chuán, freq: 614, HSK:3, struct:⿰)
27. ＿公掌舵 (pinyin: shāo, freq: 4898, HSK:n, struct:⿰)
28. 潜水＿ (pinyin: tǐng, freq: 1372, HSK:+, struct:⿰)
29. 一＿船 (pinyin: sōu, freq: 1470, HSK:6, struct:⿰)
30. ＿好习惯 (pinyin: liáng, freq: 835, HSK:5, struct:⿱)
31. ＿难选择 (pinyin: jiān, freq: 1647, HSK:5, struct:⿰)
32. 五颜六＿ (pinyin: sè, freq: 304, HSK:2, struct:⿱)
33. 色彩鲜＿ (pinyin: yàn, freq: 2104, HSK:6, struct:⿰)
34. ＿术风格 (pinyin: yì, freq: 786, HSK:4, struct:⿱)
35. ＿滋病 (pinyin: ài, freq: 1291, HSK:+, struct:⿱)
36. 芋＿蒸熟 (pinyin: nǎi, freq: 4668, HSK:n, struct:⿱)
37. 春＿快乐 (pinyin: jié, freq: 514, HSK:3, struct:⿱)
38. 烫手山＿ (pinyin: yù, freq: 4246, HSK:n, struct:⿱)
39. ＿药花 (pinyin: sháo, freq: 4361, HSK:n, struct:⿱)
40. 耀眼光＿ (pinyin: máng, freq: 2251, HSK:+, struct:⿱)
41. 出水＿蓉 (pinyin: fú, freq: 2627, HSK:n, struct:⿱)
42. 荒＿小岛 (pinyin: wú, freq: 3239, HSK:n, struct:⿱)
43. 黑＿麻 (pinyin: zhī, freq: 2150, HSK:+, struct:⿱)
44. 勾＿酱汁 (pinyin: qiàn, freq: 5200, HSK:n, struct:⿱)
45. ＿末酱 (pinyin: jiè, freq: 4002, HSK:n, struct:⿱)
46. 冰糖葫＿ (pinyin: lú, freq: 2477, HSK:n, struct:⿱)
47. 浓郁＿芳 (pinyin: fēn, freq: 1890, HSK:+, struct:⿱)
48. ＿蕾舞 (pinyin: bā, freq: 3126, HSK:+, struct:⿱)
49. ＿迺伟 (pinyin: Ruì, freq: 4108, HSK:n, struct:⿱)
50. 硅＿片 (pinyin: xīn, freq: 2539, HSK:+, struct:⿱)
51. ＿朵盛开 (pinyin: huā, freq: 410, HSK:2, struct:⿱)
52. 玫瑰＿香 (pinyin: fāng, freq: 1586, HSK:+, struct:⿱)
53. 白＿片 (pinyin: zhǐ, freq: 4466, HSK:n, struct:⿱)
54. ＿＿众生 (pinyin: yún, freq: 3099, HSK:n, struct:⿱)
55. ＿菜棒 (pinyin: qín, freq: 3740, HSK:n, struct:⿱)
56. 萌＿时期 (pinyin: yá, freq: 2737, HSK:+, struct:⿱)
57. 河边芦＿ (pinyin: wěi, freq: 3233, HSK:n, struct:⿱)
58. ＿白无力 (pinyin: cāng, freq: 1728, HSK:+, struct:⿱)
59. 经济复＿ (pinyin: sū, freq: 590, HSK:+, struct:⿱)
60. 皇家花＿ (pinyin: yuàn, freq: 2853, HSK:n, struct:⿱)
61. 猪＿汤 (pinyin: líng, freq: 4194, HSK:n, struct:⿱)
62. 柔软＿藓 (pinyin: tái, freq: 3106, HSK:n, struct:⿱)
63. 拔＿助长 (pinyin: miáo, freq: 1920, HSK:+, struct:⿱)
64. ＿刻条件 (pinyin: kē, freq: 3095, HSK:+, struct:⿱)
65. 花＿绽放 (pinyin: bāo, freq: 3798, HSK:n, struct:⿱)
66. 一丝不＿ (pinyin: gǒu, freq: 2886, HSK:+, struct:⿱)
67. ＿无其事 (pinyin: ruò, freq: 651, HSK:+, struct:⿱)
68. ＿不堪言 (pinyin: kǔ, freq: 634, HSK:4, struct:⿱)
69. 茅＿屋顶 (pinyin: shān, freq: 4623, HSK:n, struct:⿱)
70. 芳香＿环 (pinyin: běn, freq: 3686, HSK:n, struct:⿱)
71. 超级＿雄 (pinyin: yīng, freq: 371, HSK:6, struct:⿱)
72. ＿果手机 (pinyin: Píng, freq: 2478, HSK:1, struct:⿱)
73. ＿壮成长 (pinyin: zhuó, freq: 4472, HSK:+, struct:⿱)
74. 植物＿盛 (pinyin: mào, freq: 2309, HSK:+, struct:⿱)
75. ＿围之内 (pinyin: fàn, freq: 705, HSK:5, struct:⿱)
76. 番＿鸡蛋 (pinyin: qié, freq: 3136, HSK:5, struct:⿱)
77. ＿台酒 (pinyin: Máo, freq: 2339, HSK:n, struct:⿱)
78. ＿莉花茶 (pinyin: mò, freq: 4064, HSK:+, struct:⿱)
79. 长＿玫瑰 (pinyin: jīng, freq: 2675, HSK:+, struct:⿱)
80. 饮茶品＿ (pinyin: míng, freq: 4030, HSK:n, struct:⿱)
81. ＿草红 (pinyin: qiàn, freq: 3097, HSK:n, struct:⿱)
82. 破＿成蝶 (pinyin: jiǎn, freq: 3608, HSK:n, struct:⿱)
83. 盖＿基金 (pinyin: cí, freq: 1936, HSK:n, struct:⿱)
84. ＿然失措 (pinyin: máng, freq: 1951, HSK:+, struct:⿱)
85. 爱找＿儿 (pinyin: chá, freq: 3790, HSK:n, struct:⿱)
86. ＿苓片 (pinyin: fú, freq: 4744, HSK:n, struct:⿱)
87. ＿香籽 (pinyin: huí, freq: 5388, HSK:n, struct:⿱)
88. 绿草如＿ (pinyin: yīn, freq: 2765, HSK:n, struct:⿱)
89. 茉莉花＿ (pinyin: chá, freq: 1272, HSK:1, struct:⿳)
90. 毛＿＿ (pinyin: róng, freq: 3343, HSK:n, struct:⿱)
91. 含辛＿苦 (pinyin: rú, freq: 3532, HSK:n, struct:⿱)
92. ＿棘丛 (pinyin: jīng, freq: 2551, HSK:+, struct:⿰)
93. 打＿惊蛇 (pinyin: cǎo, freq: 789, HSK:3, struct:⿱)
94. 向你推＿ (pinyin: jiàn, freq: 2367, HSK:5, struct:⿱)
95. ＿谬结论 (pinyin: huāng, freq: 1328, HSK:+, struct:⿱)
96. 一颗＿枝 (pinyin: lì, freq: 3848, HSK:n, struct:⿱)
97. 豌豆＿ (pinyin: jiá, freq: 4119, HSK:n, struct:⿱)
98. ＿麦面条 (pinyin: qiáo, freq: 5033, HSK:n, struct:⿱)
99. 芦＿胶 (pinyin: huì, freq: 4007, HSK:n, struct:⿱)
100. 野＿菜 (pinyin: jì, freq: 5681, HSK:n, struct:⿱)
