```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 政治动＿ (pinyin: dàng, freq: 1424, HSK:+, struct:⿱)
2. ＿誉学位 (pinyin: róng, freq: 993, HSK:5, struct:⿱)
3. 一＿一素 (pinyin: hūn, freq: 4295, HSK:+, struct:⿱)
4. ＿光灯 (pinyin: yíng, freq: 3400, HSK:+, struct:⿱)
5. 橡树树＿ (pinyin: yīn, freq: 2669, HSK:+, struct:⿱)
6. 吃感冒＿ (pinyin: yào, freq: 662, HSK:2, struct:⿱)
7. ＿兰风车 (pinyin: Hé, freq: 1427, HSK:+, struct:⿱)
8. 剥＿荠皮 (pinyin: bí, freq: 6095, HSK:n, struct:⿱)
9. 如火如＿ (pinyin: tú, freq: 3930, HSK:n, struct:⿱)
10. ＿临视察 (pinyin: lì, freq: 4840, HSK:+, struct:⿱)
11. 茉＿花茶 (pinyin: lì, freq: 1878, HSK:+, struct:⿱)
12. 伊丽＿白 (pinyin: shā, freq: 2125, HSK:n, struct:⿱)
13. 红色草＿ (pinyin: méi, freq: 4076, HSK:n, struct:⿱)
14. ＿＿学子 (pinyin: shēn, freq: 4432, HSK:n, struct:⿱)
15. 广东东＿ (pinyin: guǎn, freq: 4260, HSK:n, struct:⿱)
16. ＿名其妙 (pinyin: mò, freq: 955, HSK:+, struct:⿱)
17. 好＿坞 (pinyin: lái, freq: 1196, HSK:n, struct:⿱)
18. ＿藕片 (pinyin: lián, freq: 1837, HSK:+, struct:⿱)
19. ＿得成功 (pinyin: huò, freq: 688, HSK:4, struct:⿱)
20. 晶＿露珠 (pinyin: yíng, freq: 2668, HSK:+, struct:⿱)
21. ＿歌燕舞 (pinyin: yīng, freq: 2902, HSK:n, struct:⿱)
22. 鲁＿冲动 (pinyin: mǎng, freq: 2714, HSK:+, struct:⿱)
23. 芜＿甘蓝 (pinyin: jīng, freq: 3321, HSK:n, struct:⿱)
24. 有毒蘑＿ (pinyin: gū, freq: 3287, HSK:+, struct:⿱)
25. ＿花茶 (pinyin: jú, freq: 2509, HSK:6, struct:⿱)
