```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 释放俘＿ (pinyin: lǔ, freq: 2475, HSK:+, struct:⿸)
2. 遭受＿待 (pinyin: nüè, freq: 2665, HSK:+, struct:⿸)
3. 周全考＿ (pinyin: lǜ, freq: 901, HSK:4, struct:⿸)
4. ＿诚信仰 (pinyin: qián, freq: 2832, HSK:+, struct:⿸)
5. ＿假朋友 (pinyin: xū, freq: 1071, HSK:5, struct:⿸)
6. 史称＿舜 (pinyin: Yú, freq: 2936, HSK:n, struct:⿸)
7. 周朝＿国 (pinyin: Guó, freq: 4827, HSK:n, struct:⿰)
8. 有翼昆＿ (pinyin: chóng, freq: 1287, HSK:5, struct:⿱)
9. 头皮＿子 (pinyin: shī, freq: 4013, HSK:n, struct:⿹)
10. 雨后彩＿ (pinyin: hóng, freq: 2176, HSK:6, struct:⿰)
11. ＿然但是 (pinyin: suī, freq: 504, HSK:2, struct:⿱)
12. 捕捞龙＿ (pinyin: xiā, freq: 2847, HSK:+, struct:⿰)
13. 金属腐＿ (pinyin: shí, freq: 2625, HSK:+, struct:⿰)
14. 蚂＿上树 (pinyin: yǐ, freq: 2517, HSK:6, struct:⿰)
15. ＿蚁窝 (pinyin: mǎ, freq: 2888, HSK:6, struct:⿰)
16. ＿子叮咬 (pinyin: wén, freq: 2940, HSK:+, struct:⿰)
17. 鹬＿相争 (pinyin: bàng, freq: 3947, HSK:n, struct:⿰)
18. 蚯＿蠕动 (pinyin: yǐn, freq: 4102, HSK:n, struct:⿰)
19. 桑＿茧 (pinyin: cán, freq: 2787, HSK:n, struct:⿱)
20. ＿虫防治 (pinyin: yá, freq: 4415, HSK:n, struct:⿰)
21. ＿油生菜 (pinyin: háo, freq: 4882, HSK:n, struct:⿰)
22. 百足蜈＿ (pinyin: gōng, freq: 4109, HSK:n, struct:⿰)
23. 跳＿市场 (pinyin: zǎo, freq: 4054, HSK:n, struct:⿱)
24. 青蛙蝌＿ (pinyin: dǒu, freq: 4043, HSK:n, struct:⿰)
25. ＿蚓钻土 (pinyin: qiū, freq: 4116, HSK:n, struct:⿰)
26. 糖能＿牙 (pinyin: zhù, freq: 3984, HSK:+, struct:⿰)
27. 苍蝇＿虫 (pinyin: qū, freq: 4251, HSK:n, struct:⿰)
28. 虎头＿尾 (pinyin: shé, freq: 1689, HSK:5, struct:⿰)
29. ＿惑人心 (pinyin: gǔ, freq: 3808, HSK:n, struct:⿱)
30. 母鸡下＿ (pinyin: dàn, freq: 1387, HSK:1, struct:⿱)
31. 牡＿珍珠 (pinyin: lì, freq: 4426, HSK:n, struct:⿰)
32. 井底之＿ (pinyin: wā, freq: 2904, HSK:+, struct:⿰)
33. 蜘＿网 (pinyin: zhū, freq: 2653, HSK:n, struct:⿰)
34. 神兽＿龙 (pinyin: jiāo, freq: 3467, HSK:n, struct:⿰)
35. ＿蜊清汤 (pinyin: gé, freq: 3732, HSK:n, struct:⿰)
36. 水＿吸血 (pinyin: zhì, freq: 4257, HSK:n, struct:⿰)
37. 野＿人 (pinyin: mán, freq: 2068, HSK:+, struct:⿱)
38. 冬眠＿伏 (pinyin: zhé, freq: 4177, HSK:n, struct:⿱)
39. 油炸蚕＿ (pinyin: yǒng, freq: 3974, HSK:n, struct:⿰)
40. 飞＿扑火 (pinyin: é, freq: 3398, HSK:n, struct:⿰)
41. 乐不思＿ (pinyin: shǔ, freq: 2602, HSK:n, struct:⿱)
42. 蜜＿嗡嗡 (pinyin: fēng, freq: 1912, HSK:6, struct:⿰)
43. ＿蚣马陆 (pinyin: wú, freq: 3918, HSK:n, struct:⿰)
44. 蜿＿曲折 (pinyin: yán, freq: 3655, HSK:n, struct:⿰)
45. 蜻＿点水 (pinyin: tíng, freq: 4083, HSK:n, struct:⿰)
46. ＿变重生 (pinyin: tuì, freq: 3624, HSK:n, struct:⿰)
47. ＿牛蛞蝓 (pinyin: wō, freq: 3723, HSK:n, struct:⿰)
48. ＿蛛侠 (pinyin: zhī, freq: 3043, HSK:n, struct:⿰)
49. 流言＿语 (pinyin: fēi, freq: 4632, HSK:n, struct:⿱)
50. 甜言＿语 (pinyin: mì, freq: 2014, HSK:6, struct:⿱)
51. 点燃＿烛 (pinyin: là, freq: 2593, HSK:+, struct:⿰)
52. 跳跃蚱＿ (pinyin: měng, freq: 5313, HSK:n, struct:⿰)
53. ＿蜴脱皮 (pinyin: xī, freq: 4307, HSK:n, struct:⿰)
54. ＿咬病 (pinyin: pí, freq: 6524, HSK:n, struct:⿰)
55. 蜥＿爬行 (pinyin: yì, freq: 4597, HSK:n, struct:⿰)
56. ＿缩成球 (pinyin: quán, freq: 3673, HSK:n, struct:⿰)
57. ＿蜓飞走 (pinyin: qīng, freq: 4044, HSK:n, struct:⿰)
58. 山路＿蜒 (pinyin: wān, freq: 3914, HSK:n, struct:⿰)
