```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 炊烟＿＿ (pinyin: niǎo, freq: 3517, HSK:n, struct:⿹)
2. 口＿妖怪 (pinyin: dài, freq: 1310, HSK:4, struct:⿱)
3. 旗＿长裙 (pinyin: páo, freq: 2324, HSK:+, struct:⿰)
4. 偏＿一方 (pinyin: tǎn, freq: 3566, HSK:n, struct:⿰)
5. 短＿衬衫 (pinyin: xiù, freq: 1686, HSK:6, struct:⿰)
6. 长筒＿子 (pinyin: wà, freq: 3045, HSK:4, struct:⿰)
7. 原告＿告 (pinyin: bèi, freq: 154, HSK:3, struct:⿰)
8. ＿击敌人 (pinyin: xí, freq: 1213, HSK:+, struct:⿱)
9. 感情包＿ (pinyin: fú, freq: 3352, HSK:+, struct:⿰)
10. 减少＿员 (pinyin: cái, freq: 1203, HSK:5, struct:⿹)
11. 墙上＿缝 (pinyin: liè, freq: 1317, HSK:+, struct:⿱)
12. 安＿空调 (pinyin: zhuāng, freq: 467, HSK:4, struct:⿱)
13. 裤＿破洞 (pinyin: dāng, freq: 4099, HSK:n, struct:⿰)
14. 华＿移民 (pinyin: yì, freq: 2842, HSK:+, struct:⿱)
15. 富＿家庭 (pinyin: yù, freq: 2023, HSK:6, struct:⿰)
16. ＿皮大衣 (pinyin: qiú, freq: 2868, HSK:n, struct:⿱)
17. 连衣＿ (pinyin: qún, freq: 2431, HSK:3, struct:⿰)
18. 牛仔＿ (pinyin: kù, freq: 2090, HSK:2, struct:⿰)
19. 大有＿益 (pinyin: bì, freq: 4230, HSK:n, struct:⿰)
20. 字画装＿ (pinyin: biǎo, freq: 4850, HSK:n, struct:⿰)
21. 古代衣＿ (pinyin: shang, freq: 2861, HSK:+, struct:⿱)
22. ＿松之 (pinyin: Péi, freq: 3122, HSK:n, struct:⿱)
23. 赤＿＿ (pinyin: luǒ, freq: 2164, HSK:+, struct:⿰)
24. 寄送包＿ (pinyin: guǒ, freq: 2387, HSK:5, struct:⿳)
25. 长袍马＿ (pinyin: guà, freq: 3197, HSK:n, struct:⿰)
26. ＿色皮革 (pinyin: hè, freq: 2654, HSK:n, struct:⿰)
27. ＿贬不一 (pinyin: bāo, freq: 3539, HSK:+, struct:⿳)
28. 襁＿之中 (pinyin: bǎo, freq: 4966, HSK:n, struct:⿰)
29. 衣衫褴＿ (pinyin: lǚ, freq: 4250, HSK:n, struct:⿰)
30. 床上被＿ (pinyin: rù, freq: 3453, HSK:n, struct:⿰)
31. 染发＿色 (pinyin: tuì, freq: 3339, HSK:n, struct:⿰)
32. 衣衫＿褛 (pinyin: lán, freq: 4288, HSK:n, struct:⿰)
33. 熨平＿皱 (pinyin: zhě, freq: 3769, HSK:n, struct:⿰)
34. ＿褓之中 (pinyin: qiǎng, freq: 5023, HSK:n, struct:⿰)
35. 湖北＿阳 (pinyin: Xiāng, freq: 2980, HSK:n, struct:⿳)
