```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 口头翻＿ (pinyin: yì, freq: 1198, HSK:4, struct:⿰)
2. 模拟考＿ (pinyin: shì, freq: 643, HSK:2, struct:⿰)
3. ＿人李白 (pinyin: shī, freq: 906, HSK:5, struct:⿰)
4. 严厉＿问 (pinyin: jié, freq: 3405, HSK:n, struct:⿰)
5. ＿谐幽默 (pinyin: huī, freq: 3978, HSK:n, struct:⿰)
6. ＿心＿意 (pinyin: chéng, freq: 1154, HSK:4, struct:⿰)
7. ＿心之论 (pinyin: zhū, freq: 3274, HSK:n, struct:⿰)
8. 二＿不说 (pinyin: huà, freq: 170, HSK:1, struct:⿰)
9. 圣＿节 (pinyin: dàn, freq: 1997, HSK:6, struct:⿰)
10. 为世＿病 (pinyin: gòu, freq: 4844, HSK:n, struct:⿰)
11. 艺术＿释 (pinyin: quán, freq: 3683, HSK:+, struct:⿰)
12. 离奇＿异 (pinyin: guǐ, freq: 2578, HSK:+, struct:⿰)
13. 心理咨＿ (pinyin: xún, freq: 1617, HSK:5, struct:⿰)
14. 颇有造＿ (pinyin: yì, freq: 3475, HSK:n, struct:⿰)
15. 应＿休息 (pinyin: gāi, freq: 319, HSK:3, struct:⿰)
16. ＿细信息 (pinyin: xiáng, freq: 1439, HSK:4, struct:⿰)
17. 神情＿异 (pinyin: chà, freq: 2728, HSK:+, struct:⿰)
18. 不敢自＿ (pinyin: xǔ, freq: 3861, HSK:n, struct:⿰)
19. 严格告＿ (pinyin: jiè, freq: 2770, HSK:+, struct:⿰)
20. 被＿陷 (pinyin: wū, freq: 3069, HSK:+, struct:⿰)
21. 汉＿水平 (pinyin: yǔ, freq: 493, HSK:1, struct:⿰)
22. 纠正错＿ (pinyin: wù, freq: 854, HSK:4, struct:⿰)
23. 远离＿惑 (pinyin: yòu, freq: 1707, HSK:+, struct:⿰)
24. 道德教＿ (pinyin: huì, freq: 3510, HSK:n, struct:⿰)
25. 换句话＿ (pinyin: shuō, freq: 24, HSK:1, struct:⿰)
26. 背＿课文 (pinyin: sòng, freq: 2557, HSK:+, struct:⿰)
27. ＿？ (pinyin: éi, freq: 5528, HSK:n, struct:⿰)
28. 申＿签证 (pinyin: qǐng, freq: 421, HSK:1, struct:⿰)
29. ＿如此类 (pinyin: zhū, freq: 1021, HSK:6, struct:⿰)
30. 一＿千金 (pinyin: nuò, freq: 969, HSK:6, struct:⿰)
31. 朗＿文章 (pinyin: dú, freq: 752, HSK:1, struct:⿰)
32. ＿谤诉讼 (pinyin: fěi, freq: 3541, HSK:+, struct:⿰)
33. 预习＿文 (pinyin: kè, freq: 1208, HSK:1, struct:⿰)
34. 推＿责任 (pinyin: wěi, freq: 4296, HSK:n, struct:⿰)
35. 阿＿奉承 (pinyin: yú, freq: 3925, HSK:n, struct:⿰)
36. 你是＿？ (pinyin: shéi, freq: 648, HSK:1, struct:⿰)
37. ＿查问卷 (pinyin: diào, freq: 400, HSK:3, struct:⿰)
38. ＿媚奉承 (pinyin: chǎn, freq: 4145, HSK:n, struct:⿰)
39. 多多原＿ (pinyin: liàng, freq: 2120, HSK:4, struct:⿰)
40. ＿＿教导 (pinyin: zhūn, freq: 4027, HSK:n, struct:⿰)
41. 双方＿判 (pinyin: tán, freq: 474, HSK:4, struct:⿰)
42. 真挚友＿ (pinyin: yì, freq: 2136, HSK:4, struct:⿰)
43. 阴＿论 (pinyin: móu, freq: 989, HSK:+, struct:⿰)
44. 外国间＿ (pinyin: dié, freq: 2391, HSK:+, struct:⿰)
45. 对我撒＿ (pinyin: huǎng, freq: 2207, HSK:+, struct:⿰)
46. 直言劝＿ (pinyin: jiàn, freq: 3050, HSK:n, struct:⿰)
47. 和＿共处 (pinyin: xié, freq: 2416, HSK:6, struct:⿰)
48. 戏＿调笑 (pinyin: xuè, freq: 3668, HSK:n, struct:⿰)
49. 拜＿先人 (pinyin: yè, freq: 3389, HSK:n, struct:⿰)
50. 无所＿ (pinyin: wèi, freq: 945, HSK:6, struct:⿰)
51. 清朝上＿ (pinyin: yù, freq: 2576, HSK:n, struct:⿰)
52. 听信＿言 (pinyin: chán, freq: 4437, HSK:n, struct:⿰)
53. 深＿世事 (pinyin: ān, freq: 3927, HSK:n, struct:⿰)
54. ＿语说： (pinyin: yàn, freq: 3625, HSK:n, struct:⿰)
55. 人生真＿ (pinyin: dì, freq: 3338, HSK:n, struct:⿰)
56. 猜＿游戏 (pinyin: mí, freq: 2471, HSK:+, struct:⿰)
57. 谋：＿ (pinyin: mó, freq: 3172, HSK:n, struct:⿰)
58. ＿天＿地 (pinyin: xiè, freq: 897, HSK:1, struct:⿰)
59. 传播＿言 (pinyin: yáo, freq: 2600, HSK:+, struct:⿰)
60. 诽＿罪 (pinyin: bàng, freq: 3253, HSK:+, struct:⿰)
61. 皇帝＿号 (pinyin: shì, freq: 4039, HSK:n, struct:⿰)
62. ＿虚谨慎 (pinyin: qiān, freq: 2345, HSK:6, struct:⿰)
63. 安宁静＿ (pinyin: mì, freq: 4058, HSK:n, struct:⿰)
64. 小心＿慎 (pinyin: jǐn, freq: 1917, HSK:5, struct:⿰)
65. ＿骂别人 (pinyin: mán, freq: 3924, HSK:n, struct:⿰)
66. 荒＿可笑 (pinyin: miù, freq: 2390, HSK:+, struct:⿰)
67. ＿松韵 (pinyin: Tán, freq: 2145, HSK:n, struct:⿰)
68. 意面菜＿ (pinyin: pǔ, freq: 2274, HSK:+, struct:⿰)
69. 诡＿多变 (pinyin: jué, freq: 4819, HSK:n, struct:⿰)
70. 国际＿责 (pinyin: qiǎn, freq: 2527, HSK:+, struct:⿰)
71. 五＿丰登 (pinyin: gǔ, freq: 1095, HSK:+, struct:⿱)
72. ＿然开朗 (pinyin: huò, freq: 2954, HSK:+, struct:⿰)
73. 麻婆＿腐 (pinyin: dòu, freq: 1793, HSK:5, struct:⿳)
74. 豆＿鲮鱼 (pinyin: chǐ, freq: 6021, HSK:n, struct:⿰)
75. 一颗＿豆 (pinyin: wān, freq: 4215, HSK:n, struct:⿰)
76. 瓶鼻海＿ (pinyin: tún, freq: 3307, HSK:+, struct:⿰)
77. 第一印＿ (pinyin: xiàng, freq: 300, HSK:4, struct:⿳)
78. ＿养牲畜 (pinyin: huàn, freq: 3718, HSK:n, struct:⿳)
79. ＿华酒店 (pinyin: háo, freq: 1513, HSK:6, struct:⿱)
80. 犹＿不决 (pinyin: yù, freq: 1956, HSK:5, struct:⿰)
81. 野生雪＿ (pinyin: bào, freq: 2507, HSK:+, struct:⿰)
82. ＿狼当道 (pinyin: chái, freq: 4248, HSK:n, struct:⿰)
83. ＿皮大衣 (pinyin: diāo, freq: 4306, HSK:n, struct:⿰)
84. 不礼＿ (pinyin: mào, freq: 1595, HSK:4, struct:⿰)
85. 海边＿壳 (pinyin: bèi, freq: 1133, HSK:5, struct:⿵)
86. 圣女＿德 (pinyin: zhēn, freq: 2366, HSK:+, struct:⿱)
87. 由你＿责 (pinyin: fù, freq: 691, HSK:4, struct:⿱)
88. ＿献一生 (pinyin: gòng, freq: 1548, HSK:5, struct:⿱)
89. 恭喜发＿ (pinyin: cái, freq: 680, HSK:6, struct:⿰)
90. ＿任心强 (pinyin: zé, freq: 535, HSK:4, struct:⿱)
91. ＿惠妻子 (pinyin: xián, freq: 1943, HSK:+, struct:⿱)
92. 导致失＿ (pinyin: bài, freq: 862, HSK:4, struct:⿰)
93. 银行＿户 (pinyin: zhàng, freq: 2179, HSK:4, struct:⿰)
94. 兑换＿币 (pinyin: huò, freq: 818, HSK:4, struct:⿱)
95. 产品＿量 (pinyin: zhì, freq: 404, HSK:4, struct:⿸)
96. ＿卖商品 (pinyin: fàn, freq: 2466, HSK:+, struct:⿰)
97. ＿污腐败 (pinyin: tān, freq: 1874, HSK:+, struct:⿱)
98. ＿穷潦倒 (pinyin: pín, freq: 1359, HSK:6, struct:⿱)
99. ＿义词 (pinyin: biǎn, freq: 2536, HSK:+, struct:⿰)
100. 批量＿买 (pinyin: gòu, freq: 1078, HSK:4, struct:⿰)
