```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 仓库＿存 (pinyin: zhù, freq: 2824, HSK:+, struct:⿰)
2. ＿彻落实 (pinyin: guàn, freq: 1478, HSK:6, struct:⿱)
3. 壹＿叁肆 (pinyin: èr, freq: 3894, HSK:n, struct:⿹)
4. 出身卑＿ (pinyin: jiàn, freq: 2589, HSK:+, struct:⿰)
5. 粘＿标签 (pinyin: tiē, freq: 1454, HSK:5, struct:⿰)
6. 太＿了！ (pinyin: guì, freq: 873, HSK:1, struct:⿱)
7. ＿款利息 (pinyin: dài, freq: 1605, HSK:6, struct:⿱)
8. 对外＿易 (pinyin: mào, freq: 1092, HSK:6, struct:⿱)
9. 消＿者 (pinyin: fèi, freq: 486, HSK:4, struct:⿱)
10. 祝＿你！ (pinyin: hè, freq: 1690, HSK:4, struct:⿱)
11. ＿害无穷 (pinyin: yí, freq: 3504, HSK:n, struct:⿰)
12. 做＿心虚 (pinyin: zéi, freq: 2001, HSK:+, struct:⿰)
13. ＿宝玉 (pinyin: Jiǎ, freq: 2051, HSK:+, struct:⿱)
14. ＿赂官员 (pinyin: huì, freq: 2569, HSK:+, struct:⿰)
15. 租＿合同 (pinyin: lìn, freq: 3101, HSK:+, struct:⿱)
16. 收受贿＿ (pinyin: lù, freq: 3270, HSK:+, struct:⿰)
17. 贪污＿款 (pinyin: zāng, freq: 3296, HSK:+, struct:⿰)
18. ＿金短缺 (pinyin: zī, freq: 257, HSK:4, struct:⿱)
19. 免息＿销 (pinyin: shē, freq: 4501, HSK:n, struct:⿰)
20. 音乐天＿ (pinyin: fù, freq: 1747, HSK:6, struct:⿰)
21. 我敢打＿ (pinyin: dǔ, freq: 2037, HSK:+, struct:⿰)
22. ＿回债券 (pinyin: shú, freq: 2863, HSK:+, struct:⿰)
23. 欣＿唐诗 (pinyin: shǎng, freq: 1450, HSK:5, struct:⿱)
24. ＿予力量 (pinyin: cì, freq: 2072, HSK:+, struct:⿰)
25. ＿偿损失 (pinyin: péi, freq: 1734, HSK:5, struct:⿰)
26. 依＿他人 (pinyin: lài, freq: 1365, HSK:6, struct:⿰)
27. 累＿无用 (pinyin: zhuì, freq: 3574, HSK:+, struct:⿱)
28. ＿钱养家 (pinyin: zhuàn, freq: 2182, HSK:4, struct:⿰)
29. 参加比＿ (pinyin: sài, freq: 1064, HSK:3, struct:⿱)
30. 书画＿品 (pinyin: yàn, freq: 4714, HSK:n, struct:⿸)
31. 点＿留言 (pinyin: zàn, freq: 1179, HSK:5, struct:⿱)
32. ＿送礼品 (pinyin: zèng, freq: 2123, HSK:5, struct:⿰)
33. ＿养父母 (pinyin: shàn, freq: 3902, HSK:+, struct:⿰)
34. ＿得胜利 (pinyin: yíng, freq: 1836, HSK:4, struct:⿱)
35. 江西：＿ (pinyin: Gàn, freq: 3301, HSK:n, struct:⿰)
36. 面红耳＿ (pinyin: chì, freq: 1660, HSK:+, struct:⿱)
37. ＿免罪犯 (pinyin: shè, freq: 3107, HSK:n, struct:⿰)
38. 显＿地位 (pinyin: hè, freq: 1346, HSK:+, struct:⿰)
39. ＿石色 (pinyin: zhě, freq: 4789, HSK:n, struct:⿰)
40. 我＿啦！ (pinyin: zǒu, freq: 207, HSK:2, struct:⿱)
41. ＿＿武夫 (pinyin: jiū, freq: 4530, HSK:n, struct:⿺)
42. 全力以＿ (pinyin: fù, freq: 1843, HSK:+, struct:⿺)
43. 完璧归＿ (pinyin: Zhào, freq: 1169, HSK:n, struct:⿺)
44. ＿紧回家 (pinyin: gǎn, freq: 908, HSK:4, struct:⿺)
45. 几点＿床 (pinyin: qǐ, freq: 75, HSK:1, struct:⿺)
46. ＿着年轻 (pinyin: chèn, freq: 2109, HSK:6, struct:⿺)
47. 趔＿不稳 (pinyin: qiè, freq: 4802, HSK:n, struct:⿺)
48. ＿级市场 (pinyin: chāo, freq: 754, HSK:1, struct:⿺)
49. 超＿自我 (pinyin: yuè, freq: 440, HSK:3, struct:⿺)
50. 发展＿势 (pinyin: qū, freq: 1486, HSK:5, struct:⿺)
51. ＿趄不稳 (pinyin: liè, freq: 4969, HSK:n, struct:⿺)
52. 白跑一＿ (pinyin: tàng, freq: 2457, HSK:4, struct:⿺)
53. 兴＿爱好 (pinyin: qù, freq: 1065, HSK:3, struct:⿺)
54. 满＿要求 (pinyin: zú, freq: 527, HSK:2, struct:⿱)
55. ＿在地上 (pinyin: pā, freq: 2977, HSK:+, struct:⿰)
56. 脚＿头 (pinyin: zhǐ, freq: 3164, HSK:n, struct:⿰)
57. 活＿气氛 (pinyin: yuè, freq: 1516, HSK:6, struct:⿰)
58. 踉踉＿＿ (pinyin: qiāng, freq: 3330, HSK:n, struct:⿰)
59. ＿拳道 (pinyin: tái, freq: 5524, HSK:n, struct:⿰)
60. 长途＿涉 (pinyin: bá, freq: 2917, HSK:n, struct:⿰)
61. 股价下＿ (pinyin: diē, freq: 1590, HSK:6, struct:⿰)
62. 蹉＿岁月 (pinyin: tuó, freq: 5254, HSK:n, struct:⿰)
63. ＿马拉松 (pinyin: pǎo, freq: 864, HSK:2, struct:⿰)
64. 蹒＿学步 (pinyin: shān, freq: 3888, HSK:n, struct:⿰)
65. 腿痛＿脚 (pinyin: bǒ, freq: 3877, HSK:n, struct:⿰)
66. 一米＿离 (pinyin: jù, freq: 1202, HSK:4, struct:⿰)
67. 高＿鞋 (pinyin: gēn, freq: 541, HSK:2, struct:⿰)
68. 摔＿运动 (pinyin: jiāo, freq: 3715, HSK:+, struct:⿰)
69. ＿越国界 (pinyin: kuà, freq: 1774, HSK:+, struct:⿰)
70. 单膝＿下 (pinyin: guì, freq: 2128, HSK:6, struct:⿰)
71. 十字＿口 (pinyin: lù, freq: 305, HSK:2, struct:⿰)
72. 唱歌＿舞 (pinyin: tiào, freq: 999, HSK:2, struct:⿰)
73. 理论实＿ (pinyin: jiàn, freq: 1578, HSK:5, struct:⿰)
74. 蹊＿古怪 (pinyin: qiāo, freq: 3720, HSK:+, struct:⿰)
75. ＿脚生气 (pinyin: duò, freq: 3738, HSK:n, struct:⿰)
76. ＿身于… (pinyin: jī, freq: 4014, HSK:n, struct:⿰)
77. ＿坐拱手 (pinyin: jì, freq: 6249, HSK:n, struct:⿰)
78. ＿＿跄跄 (pinyin: liàng, freq: 3244, HSK:n, struct:⿰)
79. ＿跃报名 (pinyin: yǒng, freq: 3884, HSK:+, struct:⿰)
80. ＿躇不前 (pinyin: chóu, freq: 3302, HSK:n, struct:⿰)
81. 脚＿实地 (pinyin: tà, freq: 1753, HSK:6, struct:⿰)
82. 扭伤脚＿ (pinyin: huái, freq: 3893, HSK:n, struct:⿰)
83. 盘＿一方 (pinyin: jù, freq: 3651, HSK:n, struct:⿰)
84. ＿蹰不前 (pinyin: chí, freq: 6041, HSK:n, struct:⿰)
85. ＿足球 (pinyin: tī, freq: 2444, HSK:2, struct:⿰)
86. ＿踏草坪 (pinyin: cǎi, freq: 2570, HSK:6, struct:⿰)
87. 毫无＿迹 (pinyin: zōng, freq: 1532, HSK:6, struct:⿰)
88. ＿起脚尖 (pinyin: diǎn, freq: 4661, HSK:n, struct:⿰)
89. ＿躅不前 (pinyin: zhí, freq: 5628, HSK:n, struct:⿰)
90. 来回＿步 (pinyin: duó, freq: 3009, HSK:n, struct:⿰)
91. 接＿而来 (pinyin: zhǒng, freq: 3695, HSK:n, struct:⿰)
92. 把门＿倒 (pinyin: chuài, freq: 4485, HSK:+, struct:⿰)
93. 大肆＿躏 (pinyin: róu, freq: 3815, HSK:n, struct:⿰)
94. 马不停＿ (pinyin: tí, freq: 2648, HSK:n, struct:⿰)
95. 舞＿表演 (pinyin: dǎo, freq: 2659, HSK:5, struct:⿰)
96. ＿跎岁月 (pinyin: cuō, freq: 5828, HSK:n, struct:⿰)
97. ＿跷异常 (pinyin: qī, freq: 3935, HSK:+, struct:⿰)
98. 糟＿环境 (pinyin: tà, freq: 3678, HSK:+, struct:⿰)
99. ＿手＿脚 (pinyin: niè, freq: 3665, HSK:n, struct:⿰)
100. ＿跚学步 (pinyin: pán, freq: 4016, HSK:n, struct:⿰)
