```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 皱眉＿额 (pinyin: cù, freq: 3977, HSK:n, struct:⿱)
2. ＿＿跳跳 (pinyin: bèng, freq: 2839, HSK:+, struct:⿰)
3. ＿脚英语 (pinyin: bié, freq: 4308, HSK:n, struct:⿱)
4. ＿自行车 (pinyin: dēng, freq: 3349, HSK:+, struct:⿰)
5. ＿脚垫 (pinyin: cèng, freq: 3707, HSK:+, struct:⿰)
6. 踟＿不前 (pinyin: chú, freq: 5763, HSK:n, struct:⿰)
7. ＿在地上 (pinyin: dūn, freq: 2497, HSK:6, struct:⿰)
8. 一＿而就 (pinyin: cù, freq: 4948, HSK:n, struct:⿰)
9. 一＿不振 (pinyin: jué, freq: 4420, HSK:n, struct:⿰)
10. 猛然＿起 (pinyin: cuān, freq: 3784, HSK:n, struct:⿰)
11. 心情烦＿ (pinyin: zào, freq: 2451, HSK:+, struct:⿰)
12. 踯＿不前 (pinyin: zhú, freq: 5611, HSK:n, struct:⿰)
13. 踌＿不前 (pinyin: chú, freq: 3322, HSK:n, struct:⿰)
14. 战争蹂＿ (pinyin: lìn, freq: 3821, HSK:n, struct:⿰)
15. ＿份证 (pinyin: shēn, freq: 164, HSK:2, struct:none)
16. 鞠＿致意 (pinyin: gōng, freq: 2650, HSK:+, struct:⿰)
17. 健壮身＿ (pinyin: qū, freq: 2310, HSK:+, struct:⿰)
18. ＿避敌人 (pinyin: duǒ, freq: 1644, HSK:5, struct:⿰)
19. ＿在床上 (pinyin: tǎng, freq: 1608, HSK:4, struct:⿰)
20. 汽＿司机 (pinyin: chē, freq: 361, HSK:1, struct:⿻)
21. ＿制钢材 (pinyin: zhá, freq: 3269, HSK:n, struct:⿰)
22. 铁路＿道 (pinyin: guǐ, freq: 1883, HSK:6, struct:⿰)
23. ＿辕皇帝 (pinyin: Xuān, freq: 2389, HSK:n, struct:⿰)
24. ＿眼间 (pinyin: zhuǎn, freq: 376, HSK:4, struct:⿰)
25. ＿胎漏气 (pinyin: lún, freq: 1096, HSK:6, struct:⿰)
