```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. ＿步提高 (pinyin: zhú, freq: 954, HSK:5, struct:⿺)
2. 传＿信息 (pinyin: dì, freq: 1538, HSK:4, struct:⿺)
3. 半＿而废 (pinyin: tú, freq: 1085, HSK:5, struct:⿺)
4. ＿留片刻 (pinyin: dòu, freq: 2587, HSK:6, struct:⿺)
5. 普＿话 (pinyin: tōng, freq: 190, HSK:4, struct:⿺)
6. ＿街购物 (pinyin: guàng, freq: 2642, HSK:4, struct:⿺)
7. 时间流＿ (pinyin: shì, freq: 2102, HSK:+, struct:⿺)
8. 未能得＿ (pinyin: chěng, freq: 3175, HSK:+, struct:⿺)
9. 高＿公路 (pinyin: sù, freq: 617, HSK:4, struct:⿺)
10. 创＿力 (pinyin: zào, freq: 354, HSK:5, struct:⿺)
11. 每＿佳节 (pinyin: féng, freq: 2181, HSK:+, struct:⿺)
12. ＿捕罪犯 (pinyin: dǎi, freq: 2216, HSK:+, struct:⿺)
13. 水浒李＿ (pinyin: Kuí, freq: 3778, HSK:n, struct:⿺)
14. 安＿舒适 (pinyin: yì, freq: 2338, HSK:+, struct:⿺)
15. 严密＿辑 (pinyin: luó, freq: 1591, HSK:5, struct:⿺)
16. ＿迫投降 (pinyin: bī, freq: 1559, HSK:6, struct:⿺)
17. ＿期未还 (pinyin: yú, freq: 2610, HSK:+, struct:⿺)
18. 无处逃＿ (pinyin: dùn, freq: 3222, HSK:n, struct:⿺)
19. 未＿罪 (pinyin: suì, freq: 2017, HSK:n, struct:⿺)
20. 偶然相＿ (pinyin: yù, freq: 899, HSK:3, struct:⿺)
21. 普＿现象 (pinyin: biàn, freq: 1012, HSK:3, struct:⿺)
22. ＿制犯罪 (pinyin: è, freq: 2701, HSK:+, struct:⿺)
23. 凭空＿想 (pinyin: xiá, freq: 3852, HSK:n, struct:⿺)
24. ＿劲有力 (pinyin: qiú, freq: 5596, HSK:n, struct:⿺)
25. 微不足＿ (pinyin: dào, freq: 52, HSK:1, struct:⿺)
26. ＿憾终生 (pinyin: yí, freq: 892, HSK:5, struct:⿺)
27. ＿狗散步 (pinyin: liù, freq: 4552, HSK:+, struct:⿺)
28. 邋里邋＿ (pinyin: tà, freq: 5040, HSK:n, struct:⿺)
29. 派＿人员 (pinyin: qiǎn, freq: 1780, HSK:+, struct:⿺)
30. ＿＿领先 (pinyin: yáo, freq: 1715, HSK:6, struct:⿺)
31. ＿游四海 (pinyin: áo, freq: 4895, HSK:n, struct:⿺)
32. 不幸＿遇 (pinyin: zāo, freq: 1048, HSK:6, struct:⿺)
33. ＿挡阳光 (pinyin: zhē, freq: 2135, HSK:+, struct:⿺)
34. ＿守法律 (pinyin: zūn, freq: 1593, HSK:5, struct:⿺)
35. 不可＿免 (pinyin: bì, freq: 991, HSK:5, struct:⿺)
36. ＿请函 (pinyin: yāo, freq: 1854, HSK:4, struct:⿺)
37. ＿逅相遇 (pinyin: xiè, freq: 4605, HSK:n, struct:⿺)
38. 深＿森林 (pinyin: suì, freq: 3950, HSK:+, struct:⿺)
39. ＿遢懒散 (pinyin: lā, freq: 4901, HSK:n, struct:⿺)
40. 通都大＿ (pinyin: yì, freq: 3132, HSK:n, struct:⿱)
41. ＿紫棋 (pinyin: Dèng, freq: 1614, HSK:n, struct:⿰)
42. ＿台市 (pinyin: Xíng, freq: 3382, HSK:n, struct:⿰)
43. ＿就是说 (pinyin: nà, freq: 38, HSK:1, struct:⿰)
44. 联＿政府 (pinyin: bāng, freq: 1363, HSK:n, struct:⿰)
45. ＿恶势力 (pinyin: xié, freq: 1539, HSK:+, struct:⿰)
46. 电子＿件 (pinyin: yóu, freq: 1652, HSK:3, struct:⿰)
47. ＿郸学步 (pinyin: Hán, freq: 3900, HSK:n, struct:⿰)
48. ＿吉尔 (pinyin: Qiū, freq: 2452, HSK:n, struct:⿰)
49. 北宋＿雍 (pinyin: Shào, freq: 2814, HSK:n, struct:⿰)
50. 首相官＿ (pinyin: dǐ, freq: 3186, HSK:n, struct:⿰)
51. ＿佳佳 (pinyin: Zōu, freq: 3139, HSK:n, struct:⿰)
52. 隔壁＿居 (pinyin: lín, freq: 1659, HSK:3, struct:⿰)
53. 抑＿症 (pinyin: yù, freq: 1915, HSK:+, struct:⿰)
54. 城市＿区 (pinyin: jiāo, freq: 2351, HSK:4, struct:⿰)
55. 新＿新娘 (pinyin: láng, freq: 1457, HSK:5, struct:⿰)
56. ＿重承诺 (pinyin: zhèng, freq: 1132, HSK:+, struct:⿰)
57. ＿海东 (pinyin: Hǎo, freq: 3094, HSK:n, struct:⿰)
58. 约克＿ (pinyin: jùn, freq: 2289, HSK:n, struct:⿰)
59. 教育＿门 (pinyin: bù, freq: 84, HSK:4, struct:⿰)
60. ＿子仪 (pinyin: Guō, freq: 1813, HSK:n, struct:⿰)
61. 邯＿学步 (pinyin: dān, freq: 4045, HSK:n, struct:⿰)
62. 一切＿好 (pinyin: dōu, freq: 68, HSK:1, struct:⿰)
63. 湖北：＿ (pinyin: è, freq: 2946, HSK:n, struct:⿰)
64. 卑＿手段 (pinyin: bǐ, freq: 2510, HSK:+, struct:⿰)
65. 卯巳未＿ (pinyin: yǒu, freq: 3839, HSK:n, struct:⿻)
66. 酩＿大醉 (pinyin: dǐng, freq: 4791, HSK:n, struct:⿰)
67. 阿联＿ (pinyin: qiú, freq: 3403, HSK:n, struct:⿱)
68. 字斟句＿ (pinyin: zhuó, freq: 2984, HSK:+, struct:⿰)
69. 密切＿合 (pinyin: pèi, freq: 738, HSK:5, struct:⿰)
70. ＿后驾车 (pinyin: jiǔ, freq: 797, HSK:2, struct:⿰)
71. ＿酒伤肝 (pinyin: xù, freq: 4193, HSK:+, struct:⿰)
72. ＿酿已久 (pinyin: yùn, freq: 3362, HSK:+, struct:⿰)
73. 酒＿耳热 (pinyin: hān, freq: 3582, HSK:+, struct:⿰)
74. 桃＿饼 (pinyin: sū, freq: 3516, HSK:+, struct:⿰)
75. ＿酊大醉 (pinyin: mǐng, freq: 5183, HSK:n, struct:⿰)
76. 奶＿蛋糕 (pinyin: lào, freq: 3667, HSK:+, struct:⿰)
77. 应＿场合 (pinyin: chóu, freq: 2005, HSK:+, struct:⿰)
78. 丙＿溶液 (pinyin: tóng, freq: 3905, HSK:n, struct:⿰)
79. 聚＿纤维 (pinyin: zhǐ, freq: 4412, HSK:n, struct:⿰)
80. ＿油调料 (pinyin: jiàng, freq: 3100, HSK:6, struct:⿱)
81. ＿母菌 (pinyin: jiào, freq: 3531, HSK:+, struct:⿰)
82. 消化＿ (pinyin: méi, freq: 3058, HSK:n, struct:⿰)
83. 冷＿无情 (pinyin: kù, freq: 1867, HSK:6, struct:⿰)
84. ＿甜苦辣 (pinyin: suān, freq: 1456, HSK:4, struct:⿰)
85. ＿酒酵母 (pinyin: niàng, freq: 2764, HSK:+, struct:⿰)
86. 胆固＿ (pinyin: chún, freq: 2560, HSK:+, struct:⿰)
87. 又喝＿了 (pinyin: zuì, freq: 1783, HSK:5, struct:⿰)
88. 嫉妒吃＿ (pinyin: cù, freq: 3076, HSK:6, struct:⿰)
89. 事前提＿ (pinyin: xǐng, freq: 1075, HSK:4, struct:⿰)
90. 醉＿＿ (pinyin: xūn, freq: 4131, HSK:n, struct:⿰)
91. ＿摘水果 (pinyin: cǎi, freq: 585, HSK:5, struct:⿱)
92. 青＿瓷器 (pinyin: yòu, freq: 2923, HSK:n, struct:⿰)
93. 如＿重负 (pinyin: shì, freq: 813, HSK:4, struct:⿰)
94. 万＿长城 (pinyin: lǐ, freq: 50, HSK:1, struct:⿱)
95. 无足轻＿ (pinyin: zhòng, freq: 140, HSK:3, struct:⿻)
96. ＿生动物 (pinyin: yě, freq: 845, HSK:6, struct:⿰)
97. 测＿误差 (pinyin: liàng, freq: 241, HSK:4, struct:⿱)
98. 一诺千＿ (pinyin: jīn, freq: 260, HSK:4, struct:⿱)
99. 破＿沉舟 (pinyin: fǔ, freq: 3786, HSK:n, struct:⿱)
100. ＿于此事 (pinyin: jiàn, freq: 1655, HSK:6, struct:⿱)
