```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 谭＿培 (pinyin: Xīn, freq: 3843, HSK:n, struct:⿱)
2. 大海捞＿ (pinyin: zhēn, freq: 1116, HSK:4, struct:⿰)
3. 锤子＿子 (pinyin: dīng, freq: 2267, HSK:+, struct:⿰)
4. ＿鱼竿 (pinyin: diào, freq: 2305, HSK:6, struct:⿰)
5. 发簪发＿ (pinyin: chāi, freq: 3631, HSK:n, struct:⿰)
6. 补＿食物 (pinyin: gài, freq: 2951, HSK:+, struct:⿰)
7. 铀钍和＿ (pinyin: bù, freq: 4311, HSK:n, struct:⿰)
8. ＿不生锈 (pinyin: tài, freq: 4310, HSK:n, struct:⿰)
9. 反应迟＿ (pinyin: dùn, freq: 3059, HSK:+, struct:⿰)
10. 五元＿票 (pinyin: chāo, freq: 2647, HSK:+, struct:⿰)
11. 等一分＿ (pinyin: zhōng, freq: 905, HSK:1, struct:⿰)
12. 氯化＿ (pinyin: nà, freq: 3479, HSK:n, struct:⿰)
13. 弹＿琴 (pinyin: gāng, freq: 1609, HSK:4, struct:⿰)
14. ＿金加工 (pinyin: bǎn, freq: 5705, HSK:n, struct:⿰)
15. ＿匙开锁 (pinyin: yào, freq: 2481, HSK:4, struct:⿰)
16. 令人＿佩 (pinyin: qīn, freq: 2147, HSK:+, struct:⿰)
17. 千＿一发 (pinyin: jūn, freq: 2504, HSK:+, struct:⿰)
18. ＿钢钻头 (pinyin: wū, freq: 4818, HSK:n, struct:⿰)
19. 钓鱼＿子 (pinyin: gōu, freq: 2254, HSK:+, struct:⿰)
