```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 门的＿锁 (pinyin: shuān, freq: 4110, HSK:n, struct:⿵)
2. 电＿雷鸣 (pinyin: shǎn, freq: 1113, HSK:6, struct:⿵)
3. 阎：＿ (pinyin: Yán, freq: 5593, HSK:n, struct:⿵)
4. 给我＿嘴 (pinyin: bì, freq: 1267, HSK:5, struct:⿵)
5. 回答＿题 (pinyin: wèn, freq: 137, HSK:1, struct:⿵)
6. 强行＿入 (pinyin: chuǎng, freq: 2129, HSK:6, struct:⿵)
7. 平年＿年 (pinyin: rùn, freq: 4183, HSK:n, struct:⿵)
8. 忙里偷＿ (pinyin: xián, freq: 1529, HSK:5, struct:⿵)
9. 洗手＿ (pinyin: jiān, freq: 135, HSK:1, struct:⿵)
10. ＿建国 (pinyin: Mǐn, freq: 3643, HSK:n, struct:⿵)
11. ＿＿不乐 (pinyin: mèn, freq: 1830, HSK:+, struct:⿵)
12. ＿门启闭 (pinyin: zhá, freq: 3280, HSK:+, struct:⿵)
13. 无理取＿ (pinyin: nào, freq: 1336, HSK:4, struct:⿵)
14. 她的＿蜜 (pinyin: guī, freq: 3347, HSK:+, struct:⿵)
15. 新＿报道 (pinyin: wén, freq: 825, HSK:3, struct:⿵)
16. ＿南语 (pinyin: Mǐn, freq: 3306, HSK:n, struct:⿵)
17. 关闭＿门 (pinyin: fá, freq: 2671, HSK:+, struct:⿵)
18. 内＿大臣 (pinyin: gé, freq: 1682, HSK:+, struct:⿵)
19. 消除隔＿ (pinyin: hé, freq: 4004, HSK:+, struct:⿵)
20. ＿读故事 (pinyin: yuè, freq: 1489, HSK:4, struct:⿵)
21. ＿割宠物 (pinyin: yān, freq: 3814, HSK:n, struct:⿵)
22. 十殿＿罗 (pinyin: Yán, freq: 2473, HSK:+, struct:⿵)
23. ＿述观点 (pinyin: chǎn, freq: 2197, HSK:+, struct:⿵)
24. 切除＿尾 (pinyin: lán, freq: 3716, HSK:n, struct:⿵)
25. 广＿视野 (pinyin: kuò, freq: 1675, HSK:6, struct:⿵)
26. ＿家团圆 (pinyin: hé, freq: 4228, HSK:n, struct:⿵)
27. 天上宫＿ (pinyin: què, freq: 3452, HSK:n, struct:⿵)
28. ＿成门 (pinyin: Fù, freq: 3445, HSK:n, struct:⿱)
29. 足球＿伍 (pinyin: duì, freq: 268, HSK:4, struct:⿰)
30. 日本大＿ (pinyin: bǎn, freq: 3595, HSK:n, struct:⿰)
31. ＿玲玉 (pinyin: Ruǎn, freq: 3210, HSK:n, struct:⿰)
32. 落入陷＿ (pinyin: jǐng, freq: 3224, HSK:+, struct:⿰)
33. ＿不胜＿ (pinyin: fáng, freq: 548, HSK:5, struct:⿰)
34. ＿光明媚 (pinyin: yáng, freq: 650, HSK:3, struct:⿰)
35. ＿谋论 (pinyin: yīn, freq: 987, HSK:2, struct:⿰)
36. 一＿微风 (pinyin: zhèn, freq: 788, HSK:5, struct:⿰)
37. 小心台＿ (pinyin: jiē, freq: 745, HSK:5, struct:⿰)
38. ＿止事故 (pinyin: zǔ, freq: 1175, HSK:5, struct:⿰)
39. ＿里巴巴 (pinyin: ā, freq: 471, HSK:3, struct:⿰)
40. 阿弥＿佛 (pinyin: tuó, freq: 2143, HSK:n, struct:⿰)
41. ＿属学校 (pinyin: fù, freq: 923, HSK:3, struct:⿰)
42. 国＿关系 (pinyin: jì, freq: 423, HSK:4, struct:⿰)
43. 中国大＿ (pinyin: lù, freq: 675, HSK:5, struct:⿰)
44. 新＿代谢 (pinyin: chén, freq: 525, HSK:+, struct:⿰)
45. 孤＿寡闻 (pinyin: lòu, freq: 2660, HSK:+, struct:⿰)
46. ＿生面孔 (pinyin: mò, freq: 2243, HSK:5, struct:⿰)
47. 温度下＿ (pinyin: jiàng, freq: 744, HSK:4, struct:⿰)
48. 有＿公司 (pinyin: xiàn, freq: 613, HSK:5, struct:⿰)
49. ＿西西安 (pinyin: Shǎn, freq: 2159, HSK:n, struct:⿰)
50. 皇帝＿下 (pinyin: bì, freq: 2667, HSK:n, struct:⿰)
51. 山势＿峭 (pinyin: dǒu, freq: 2362, HSK:+, struct:⿰)
52. 医＿急诊 (pinyin: yuàn, freq: 338, HSK:1, struct:⿰)
53. 斩草＿根 (pinyin: chú, freq: 464, HSK:3, struct:⿰)
54. ＿石坠落 (pinyin: yǔn, freq: 3295, HSK:+, struct:⿰)
55. 危＿重重 (pinyin: xiǎn, freq: 672, HSK:4, struct:⿰)
56. ＿伴孩子 (pinyin: péi, freq: 1664, HSK:4, struct:⿰)
57. 遥远边＿ (pinyin: chuí, freq: 4804, HSK:n, struct:⿰)
58. 秦始皇＿ (pinyin: líng, freq: 1965, HSK:+, struct:⿰)
