```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 雪上加＿ (pinyin: shuāng, freq: 2631, HSK:+, struct:⿱)
2. 晚＿满天 (pinyin: xiá, freq: 2021, HSK:+, struct:⿱)
3. 云雾＿＿ (pinyin: ǎi, freq: 4316, HSK:n, struct:⿱)
4. 透＿秘密 (pinyin: lù, freq: 841, HSK:6, struct:⿱)
5. ＿王龙 (pinyin: bà, freq: 1838, HSK:+, struct:⿱)
6. 晴天＿雳 (pinyin: pī, freq: 3438, HSK:n, struct:⿱)
7. 雾＿天气 (pinyin: mái, freq: 4319, HSK:n, struct:⿱)
8. 绿水＿山 (pinyin: qīng, freq: 497, HSK:4, struct:⿱)
9. 长相＿丽 (pinyin: liàng, freq: 4636, HSK:n, struct:⿰)
10. ＿康之难 (pinyin: jìng, freq: 2545, HSK:n, struct:⿰)
11. 安＿下来 (pinyin: jìng, freq: 722, HSK:3, struct:⿰)
12. ＿常抱歉 (pinyin: fēi, freq: 283, HSK:1, struct:⿰)
13. 可＿信息 (pinyin: kào, freq: 808, HSK:5, struct:⿱)
14. 风＿一时 (pinyin: mǐ, freq: 3074, HSK:n, struct:⿸)
15. 四＿八方 (pinyin: miàn, freq: 74, HSK:1, struct:⿱)
16. 改＿开放 (pinyin: gé, freq: 521, HSK:5, struct:⿱)
17. ＿东演员 (pinyin: Jìn, freq: 3973, HSK:n, struct:⿰)
18. 过膝长＿ (pinyin: xuē, freq: 3091, HSK:+, struct:⿰)
19. 射中＿子 (pinyin: bǎ, freq: 3237, HSK:+, struct:⿰)
20. 穿跑步＿ (pinyin: xié, freq: 1638, HSK:3, struct:⿰)
21. ＿前马后 (pinyin: ān, freq: 3168, HSK:n, struct:⿰)
22. 剑和剑＿ (pinyin: qiào, freq: 3036, HSK:n, struct:⿰)
23. ＿躬致谢 (pinyin: jū, freq: 3037, HSK:+, struct:⿰)
24. ＿制皮革 (pinyin: róu, freq: 5085, HSK:n, struct:⿰)
25. 放＿炮 (pinyin: biān, freq: 2250, HSK:+, struct:⿰)
26. ＿应物诗 (pinyin: Wéi, freq: 1667, HSK:n, struct:⿻)
27. 坚＿不拔 (pinyin: rèn, freq: 3137, HSK:+, struct:⿰)
28. ＿国首尔 (pinyin: Hán, freq: 1221, HSK:n, struct:⿰)
29. ＿菜盒子 (pinyin: jiǔ, freq: 4227, HSK:n, struct:⿱)
30. 流行＿乐 (pinyin: yīn, freq: 540, HSK:3, struct:⿱)
31. 节奏＿律 (pinyin: yùn, freq: 2501, HSK:+, struct:⿰)
32. 湖南＿山 (pinyin: Sháo, freq: 3458, HSK:n, struct:⿰)
33. 网＿设计 (pinyin: yè, freq: 1128, HSK:3, struct:⿱)
34. 一＿帽子 (pinyin: dǐng, freq: 1000, HSK:6, struct:⿰)
35. 公＿土地 (pinyin: qǐng, freq: 2724, HSK:+, struct:⿰)
36. 研究＿目 (pinyin: xiàng, freq: 571, HSK:4, struct:⿰)
37. 一路＿风 (pinyin: shùn, freq: 938, HSK:4, struct:⿰)
38. 必＿知道 (pinyin: xū, freq: 444, HSK:3, struct:⿰)
39. ＿皮孩子 (pinyin: wán, freq: 2024, HSK:6, struct:⿰)
40. 三＿茅庐 (pinyin: gù, freq: 815, HSK:3, struct:⿰)
41. 停＿片刻 (pinyin: dùn, freq: 794, HSK:4, struct:⿰)
42. ＿奖典礼 (pinyin: bān, freq: 2319, HSK:+, struct:⿰)
43. 歌＿上帝 (pinyin: sòng, freq: 2414, HSK:+, struct:⿰)
44. 天气＿报 (pinyin: yù, freq: 647, HSK:4, struct:⿰)
45. 头＿骨 (pinyin: lú, freq: 2961, HSK:n, struct:⿰)
46. 带＿团队 (pinyin: lǐng, freq: 329, HSK:5, struct:⿰)
47. ＿有经验 (pinyin: pō, freq: 1560, HSK:+, struct:⿰)
48. 性能瓶＿ (pinyin: jǐng, freq: 2117, HSK:6, struct:⿰)
49. 仓＿造字 (pinyin: Jié, freq: 3544, HSK:n, struct:⿰)
50. 脸＿微红 (pinyin: jiá, freq: 2655, HSK:+, struct:⿰)
51. 下＿骨 (pinyin: hé, freq: 3279, HSK:n, struct:⿰)
52. 下＿骨 (pinyin: kē, freq: 4876, HSK:n, struct:⿰)
53. ＿和园 (pinyin: Yí, freq: 2999, HSK:n, struct:⿰)
54. 观看视＿ (pinyin: pín, freq: 1535, HSK:4, struct:⿰)
