```
以下是中文填空题，每个短语中有一个缺失的汉字，用 '＿' 表示。
有时同一个汉字可能在短语中出现多次，会有多个空格，但每条题目只有一个目标汉字。
频率最大值为 7000，数字越大表示越生僻。

请根据上下文补全每条短语中的缺失部分（用 '＿' 表示的空格），生成完整短语。
输出编号和对应短语，每行包含 10 条短语，总共 100 条，分 10 行，严格按照编号顺序。
请将答案包在一个 Markdown 代码块中，用三条反引号开头和结尾，只输出代码块内容，不要添加解释或其他内容。
```

1. 蒸＿水 (pinyin: liú, freq: 4700, HSK:n, struct:⿰)
2. 珍＿美味 (pinyin: xiū, freq: 4223, HSK:n, struct:⿰)
3. ＿头包子 (pinyin: mán, freq: 3628, HSK:4, struct:⿰)
4. 美＿佳肴 (pinyin: zhuàn, freq: 4891, HSK:n, struct:⿰)
5. 新疆考＿ (pinyin: náng, freq: n, HSK:n, struct:⿰)
6. ＿都机场 (pinyin: shǒu, freq: 481, HSK:4, struct:⿱)
7. ＿格里拉 (pinyin: Xiāng, freq: 776, HSK:3, struct:⿱)
8. 芬芳＿郁 (pinyin: fù, freq: 4664, HSK:n, struct:⿰)
9. 温＿提示 (pinyin: xīn, freq: 2586, HSK:+, struct:⿱)
10. 汗＿功劳 (pinyin: mǎ, freq: 276, HSK:3, struct:⿹)
11. 驾＿马车 (pinyin: yù, freq: 3424, HSK:+, struct:⿰)
12. 马背＿起 (pinyin: tuó, freq: 3427, HSK:+, struct:⿰)
13. ＿养动物 (pinyin: xùn, freq: 2820, HSK:+, struct:⿰)
14. 奔＿而去 (pinyin: chí, freq: 2100, HSK:+, struct:⿰)
15. ＿动行驶 (pinyin: qū, freq: 1511, HSK:+, struct:⿰)
16. 反＿观点 (pinyin: bó, freq: 2022, HSK:+, struct:⿰)
17. 骑＿找＿ (pinyin: lǘ, freq: 2543, HSK:n, struct:⿰)
18. 驾＿汽车 (pinyin: shǐ, freq: 1520, HSK:5, struct:⿰)
19. ＿马难追 (pinyin: sì, freq: 5344, HSK:n, struct:⿰)
20. 小马＿ (pinyin: jū, freq: 3691, HSK:n, struct:⿰)
21. ＿华大使 (pinyin: zhù, freq: 1288, HSK:+, struct:⿰)
22. 骆＿奶 (pinyin: tuó, freq: 2638, HSK:n, struct:⿰)
23. 长途＿驶 (pinyin: jià, freq: 1567, HSK:5, struct:⿱)
24. ＿站马车 (pinyin: yì, freq: 3648, HSK:n, struct:⿰)
25. ＿勇善战 (pinyin: xiāo, freq: 4404, HSK:n, struct:⿰)
26. 脏话＿人 (pinyin: mà, freq: 1449, HSK:5, struct:⿱)
27. ＿傲自满 (pinyin: jiāo, freq: 2248, HSK:4, struct:⿰)
28. 一只＿驼 (pinyin: luò, freq: 2856, HSK:n, struct:⿰)
29. ＿人听闻 (pinyin: hài, freq: 2538, HSK:+, struct:⿰)
30. 策马驰＿ (pinyin: chěng, freq: 4028, HSK:n, struct:⿰)
31. 经＿丰富 (pinyin: yàn, freq: 534, HSK:4, struct:⿰)
32. 千里＿马 (pinyin: jùn, freq: 3273, HSK:+, struct:⿰)
33. ＿自行车 (pinyin: qí, freq: 1398, HSK:3, struct:⿰)
34. 欺＿别人 (pinyin: piàn, freq: 1503, HSK:5, struct:⿰)
35. 性＿扰 (pinyin: sāo, freq: 2237, HSK:+, struct:⿰)
36. 好高＿远 (pinyin: wù, freq: 4621, HSK:n, struct:⿱)
37. 桀＿不驯 (pinyin: ào, freq: 5565, HSK:n, struct:⿱)
38. ＿子车 (pinyin: luó, freq: 3377, HSK:n, struct:⿰)
39. 暴风＿雨 (pinyin: zhòu, freq: 2045, HSK:6, struct:⿰)
40. 狗啃＿头 (pinyin: gǔ, freq: 1036, HSK:6, struct:⿵)
41. 掷＿子 (pinyin: tóu, freq: 4226, HSK:n, struct:⿰)
42. ＿髅骨架 (pinyin: kū, freq: 3745, HSK:n, struct:⿰)
43. 飞机残＿ (pinyin: hái, freq: 2707, HSK:n, struct:⿰)
44. 强健骨＿ (pinyin: gé, freq: 3459, HSK:+, struct:⿰)
45. 骷＿头 (pinyin: lóu, freq: 3761, HSK:n, struct:⿰)
46. 精＿所在 (pinyin: suǐ, freq: 2808, HSK:+, struct:⿰)
47. 水涨船＿ (pinyin: gāo, freq: 134, HSK:1, struct:⿳)
48. 穿着时＿ (pinyin: máo, freq: 3149, HSK:+, struct:⿱)
49. 剃胡＿ (pinyin: zī, freq: 4816, HSK:n, struct:⿱)
50. 圆发＿ (pinyin: jì, freq: 4140, HSK:n, struct:⿱)
51. 马的＿毛 (pinyin: zōng, freq: 4327, HSK:n, struct:⿱)
52. 两＿斑白 (pinyin: bìn, freq: 3749, HSK:n, struct:⿱)
53. 狮子＿毛 (pinyin: liè, freq: 5372, HSK:n, struct:⿱)
54. 魔＿天使 (pinyin: guǐ, freq: 1042, HSK:+, struct:⿸)
55. 罪＿祸首 (pinyin: kuí, freq: 2599, HSK:+, struct:⿺)
56. 灵＿伴侣 (pinyin: hún, freq: 1348, HSK:+, struct:⿰)
57. 惊心动＿ (pinyin: pò, freq: 2511, HSK:+, struct:⿰)
58. 富有＿力 (pinyin: mèi, freq: 2662, HSK:5, struct:⿺)
59. 梦＿障碍 (pinyin: yǎn, freq: 4294, HSK:n, struct:⿸)
60. 三国曹＿ (pinyin: Wèi, freq: 1648, HSK:n, struct:⿰)
61. ＿法师 (pinyin: mó, freq: 1180, HSK:+, struct:⿸)
62. 浑水摸＿ (pinyin: yú, freq: 852, HSK:2, struct:⿳)
63. 炒＿鱼 (pinyin: yóu, freq: 4622, HSK:n, struct:⿰)
64. ＿迅作家 (pinyin: Lǔ, freq: 898, HSK:+, struct:⿱)
65. ＿鱼壳 (pinyin: bào, freq: 2073, HSK:n, struct:⿰)
66. 烟熏＿鱼 (pinyin: guī, freq: 4340, HSK:n, struct:⿰)
67. 新＿水果 (pinyin: xiān, freq: 958, HSK:3, struct:⿰)
68. 锦＿送福 (pinyin: lǐ, freq: 3204, HSK:+, struct:⿰)
69. ＿鱼牙齿 (pinyin: shā, freq: 3664, HSK:6, struct:⿱)
70. 巨大＿鱼 (pinyin: jīng, freq: 2618, HSK:+, struct:⿰)
71. 鱼＿呼吸 (pinyin: sāi, freq: 3816, HSK:n, struct:⿰)
72. ＿鱼皮 (pinyin: è, freq: 3781, HSK:+, struct:⿰)
73. 独占＿头 (pinyin: áo, freq: 3450, HSK:n, struct:⿱)
74. 白＿豚 (pinyin: qí, freq: 2801, HSK:n, struct:⿰)
75. ＿甲入药 (pinyin: biē, freq: 3960, HSK:n, struct:⿱)
76. ＿鱼盖饭 (pinyin: mán, freq: 4152, HSK:n, struct:⿰)
77. 去除鱼＿ (pinyin: lín, freq: 2763, HSK:n, struct:⿰)
78. 一石二＿ (pinyin: niǎo, freq: 1263, HSK:2, struct:⿹)
79. 两只斑＿ (pinyin: jiū, freq: 3442, HSK:n, struct:⿰)
80. 呆若木＿ (pinyin: jī, freq: 1391, HSK:1, struct:⿰)
81. 引起共＿ (pinyin: míng, freq: 1680, HSK:+, struct:⿰)
82. 沙滩海＿ (pinyin: ōu, freq: 3371, HSK:n, struct:⿰)
83. 黑色乌＿ (pinyin: yā, freq: 2397, HSK:+, struct:⿰)
84. 北京烤＿ (pinyin: yā, freq: 2133, HSK:5, struct:⿰)
85. 鸳＿游泳 (pinyin: yāng, freq: 3975, HSK:n, struct:⿱)
86. ＿鸯锅 (pinyin: yuān, freq: 3866, HSK:n, struct:⿱)
87. ＿鸟奔跑 (pinyin: tuó, freq: 4322, HSK:n, struct:⿰)
88. ＿子送信 (pinyin: gē, freq: 2694, HSK:+, struct:⿰)
89. ＿沟难越 (pinyin: hóng, freq: 1924, HSK:n, struct:⿰)
90. 杜＿花 (pinyin: juān, freq: 3051, HSK:n, struct:⿰)
91. 高雅天＿ (pinyin: é, freq: 2172, HSK:+, struct:⿰)
92. 鹦＿学舌 (pinyin: wǔ, freq: 3610, HSK:n, struct:⿰)
93. 七夕＿桥 (pinyin: què, freq: 3525, HSK:n, struct:⿰)
94. 小＿鹑蛋 (pinyin: ān, freq: 4741, HSK:n, struct:⿰)
95. ＿程万里 (pinyin: péng, freq: 1926, HSK:+, struct:⿰)
96. 鹌＿蛋 (pinyin: chún, freq: 4348, HSK:n, struct:⿰)
97. ＿立鸡群 (pinyin: hè, freq: 2624, HSK:+, struct:⿰)
98. 凤头＿鹉 (pinyin: yīng, freq: 3488, HSK:n, struct:⿰)
99. ＿蚌相争 (pinyin: yù, freq: 4881, HSK:n, struct:⿰)
100. 美国秃＿ (pinyin: yīng, freq: 1927, HSK:+, struct:⿸)
