# Each line represents a Chinese character entry with six fields, separated by spaces.
# Fields:
# 1. Character: the Chinese character itself
# 2. Pinyin: the pronunciation of the character (in cases of 多音字, the pronunciation used in the hint is given); capitalized if part of a proper noun (e.g., yī, Shàng).
# 3. Hint: a short phrase or idiom (up to 4 characters) that helps remember or illustrate the character; the character may appear multiple times in the hint
# 4. Frequency: usage frequency from the Jun Da modern Chinese database (numerical; lower = more common)
# 5. HSK level: based on HSK 3.0 standards: numbers 1 through 6 denote HSK1–HSK6; "+" denotes HSK7–9; "n" denotes a non-HSK character
# 6. Character structure: coded number corresponding to the character's structure as sourced from Make Me a Hanzi:
#    1: ⿱ (top-bottom)  
#    2: ⿳ (top-middle-bottom)  
#    3: ⿰ (left-right)  
#    4: ⿲ (left-middle-right)  
#    5: ⿴ (enclosure)  
#    6: ⿵ (bottom enclosure)  
#    7: ⿶ (left enclosure)  
#    8: ⿸ (upper-left enclosure)  
#    9: ⿷ (upper-right enclosure)  
#    10: ⿺ (bottom-left enclosure)  
#    11: ⿹ (bottom-right enclosure)  
#    12: none (simple or single-component character)  
#    13: ⿻ (overlapping components)


一 yī 一朝一夕 2 1 12
丁 dīng 拉丁语 1168 + 1
七 qī 乱七八糟 530 1 13
万 wàn 千军万马 322 2 1
丈 zhàng 一落千丈 1242 4 13
三 sān 三角形 125 1 1
上 Shàng 飞往上海 16 1 1
下 xià 等一下 42 1 1
不 bù 不可思议 4 1 1
与 yǔ 与众不同 108 4 11
丐 gài 乞丐 2606 + 1
丑 chǒu 政治丑闻 1901 5 13
专 zhuān 咨询专家 485 3 13
且 qiě 暂且不论 296 2 1
丕 Pī 曹操曹丕 3748 n 1
世 shì 世界冠军 181 3 13
丘 qiū 丘陵地带 1929 + 1
丙 bǐng 甲乙丙丁 2645 + 1
业 yè 没做作业 130 2 1
丛 cóng 灌木丛 1678 + 1
东 dōng 东山再起 194 1 13
丝 sī 丝绸之路 1026 + 1
丞 chéng 东吴丞相 3340 n 1
丢 diū 丢失物品 1639 5 1
两 liǎng 一举两得 133 1 1
严 yán 严重后果 545 4 13
丧 sàng 丧失理智 1404 6 1
个 gè 一个人 12 1 1
丫 yā 脚丫子 2682 + 1
中 Zhōng 中国制造 14 1 13
丰 fēng 丰富多彩 1189 3 13
串 chuàn 一串葡萄 1832 6 13
临 lín 欢迎光临 839 4 3
丸 wán 一颗药丸 2462 + 13
丹 Dān 欧洲丹麦 1280 + 13
为 wèi 为什么? 18 2 13
主 zhǔ 社会主义 87 2 1
丽 lì 非常美丽 834 3 1
举 jǔ 一举一动 586 2 1
乃 nǎi 此乃天意 1165 + 11
久 jiǔ 好久不见 637 2 13
么 me 什么？ 63 1 1
义 yì 资本主义 208 3 13
之 zhī 三天之后 44 4 1
乌 wū 一只乌鸦 1244 6 1
乍 zhà 乍看之下 2914 n 8
乎 hū 几乎所有 458 4 13
乏 fá 缺乏经验 1399 5 1
乐 lè 生日快乐 619 2 13
乒 pīng 乒乓球 3447 + 1
乓 pāng 乒乓球 3502 + 1
乔 Qiáo 乔布斯 1488 + 1
乖 guāi 听话乖乖 2470 + 13
乘 chéng 各位乘客 1231 5 13
乙 yǐ 甲乙丙丁 1872 5 12
九 jiǔ 九牛一毛 445 1 13
乞 qǐ 乞丐 2429 + 1
也 yě 也就是说 31 1 13
习 xí 学习中文 676 1 11
乡 xiāng 入乡随俗 922 3 12
书 shū 一本书 282 1 13
买 mǎi 买卖交易 758 1 1
乱 luàn 思想混乱 765 3 3
乳 rǔ 哺乳动物 1831 6 3
乾 qián 乾隆皇帝 1999 n 3
了 le 太贵了！ 5 1 1
予 yǔ 给予支持 925 6 1
争 zhēng 竞争激烈 344 3 1
事 shì 实事求是 58 1 13
二 èr 独一无二 157 1 1
于 yú 勇于尝试 40 2 13
亏 kuī 大额亏损 1738 5 1
云 Yún 云南昆明 692 2 1
互 hù 互相帮助 819 3 5
五 wǔ 五星红旗 279 1 5
