Char Grade Volume RW
闪 1 1 1
可 1 1 1
反 1 1 1
有 1 1 1
后 1 1 1
左 1 1 1
右 1 1 1
友 1 1 1
同 1 1 1
向 1 1 1
医 1 1 1
画 1 1 1
句 1 1 1
尾 1 1 1
风 1 1 1
在 1 1 1
远 1 1 1
近 1 1 1
还 1 1 1
边 1 1 1
包 1 1 1
过 1 1 1
问 1 1 1
处 1 1 1
进 1 1 1
发 1 1 1
爬 1 1 1
国 1 1 1
回 1 1 1
足 1 1 1
坐 1 1 1
六 1 1 1
家 1 1 1
是 1 1 1
走 1 1 1
会 1 1 1
看 1 1 1
见 1 1 1
采 1 1 1
尖 1 1 1
春 1 1 1
青 1 1 1
夏 1 1 1
冬 1 1 1
男 1 1 1
色 1 1 1
多 1 1 1
笔 1 1 1
早 1 1 1
尘 1 1 1
众 1 1 1
森 1 1 1
美 1 1 1
今 1 1 1
前 1 1 1
黑 1 1 1
最 1 1 1
公 1 1 1
真 1 1 1
穿 1 1 1
金 1 1 1
哥 1 1 1
步 1 1 1
全 1 1 1
鱼 1 1 1
黄 1 1 1
杏 1 1 1
它 1 1 1
伞 1 1 1
兔 1 1 1
要 1 1 1
老 1 1 1
高 1 1 1
花 1 1 1
爸 1 1 1
字 1 1 1
桌 1 1 1
学 1 1 1
灯 1 1 1
台 1 1 1
雪 1 1 1
草 1 1 1
星 1 1 1
莲 1 1 1
弯 1 1 1
声 1 1 1
去 1 1 1
少 1 1 1
苹 1 1 1
果 1 1 1
条 1 1 1
丽 1 1 1
年 1 1 1
写 1 1 1
点 1 1 1
当 1 1 1
空 1 1 1
觉 1 1 1
蓝 1 1 1
笑 1 1 1
爷 1 1 1
参 1 1 1
旁 1 1 1
芽 1 1 1
变 1 1 1
音 1 1 1
只 1 1 1
对 1 1 1
叶 1 1 1
北 1 1 1
就 1 1 1
作 1 1 1
明 1 1 1
从 1 1 1
双 1 1 1
林 1 1 1
好 1 1 1
比 1 1 1
没 1 1 1
睡 1 1 1
师 1 1 1
什 1 1 1
得 1 1 1
服 1 1 1
加 1 1 1
找 1 1 1
法 1 1 1
秋 1 1 1
朋 1 1 1
竹 1 1 1
你 1 1 1
他 1 1 1
站 1 1 1
妈 1 1 1
打 1 1 1
棋 1 1 1
鸡 1 1 1
词 1 1 1
语 1 1 1
纸 1 1 1
妹 1 1 1
奶 1 1 1
桥 1 1 1
树 1 1 1
的 1 1 1
船 1 1 1
江 1 1 1
说 1 1 1
蛙 1 1 1
听 1 1 1
猫 1 1 1
鸭 1 1 1
桃 1 1 1
课 1 1 1
校 1 1 1
旗 1 1 1
红 1 1 1
歌 1 1 1
起 1 1 1
晚 1 1 1
昨 1 1 1
影 1 1 1
狗 1 1 1
谁 1 1 1
短 1 1 1
把 1 1 1
诗 1 1 1
给 1 1 1
们 1 1 1
彩 1 1 1
到 1 1 1
绿 1 1 1
那 1 1 1
海 1 1 1
吗 1 1 1
时 1 1 1
候 1 1 1
很 1 1 1
快 1 1 1
和 1 1 1
娃 1 1 1
挂 1 1 1
活 1 1 1
姐 1 1 1
叔 1 1 1
群 1 1 1
洞 1 1 1
鸦 1 1 1
许 1 1 1
放 1 1 1
住 1 1 1
孩 1 1 1
玩 1 1 1
吧 1 1 1
呀 1 1 1
院 1 1 1
天 1 1 1
我 1 1 1
四 1 1 1
五 1 1 1
虫 1 1 1
七 1 1 1
皮 1 1 1
里 1 1 1
开 1 1 1
无 1 1 1
尺 1 1 1
业 1 1 1
成 1 1 1
半 1 1 1
更 1 1 1
出 1 1 1
为 1 1 1
生 1 1 1
人 1 1 1
口 1 1 1
耳 1 1 1
目 1 1 1
手 1 1 1
日 1 1 1
月 1 1 1
水 1 1 1
火 1 1 1
山 1 1 1
石 1 1 1
田 1 1 1
禾 1 1 1
云 1 1 1
雨 1 1 1
鸟 1 1 1
九 1 1 1
马 1 1 1
土 1 1 1
不 1 1 1
子 1 1 1
文 1 1 1
乐 1 1 1
白 1 1 1
小 1 1 1
儿 1 1 1
路 1 1 1
车 1 1 1
数 1 1 1
气 1 1 1
了 1 1 1
大 1 1 1
飞 1 1 1
两 1 1 1
南 1 1 1
东 1 1 1
西 1 1 1
女 1 1 1
牛 1 1 1
刀 1 1 1
力 1 1 1
木 1 1 1
心 1 1 1
升 1 1 1
立 1 1 1
午 1 1 1
巴 1 1 1
串 1 1 1
以 1 1 1
方 1 1 1
才 1 1 1
亮 1 1 1
自 1 1 1
己 1 1 1
衣 1 1 1
又 1 1 1
贝 1 1 1
弟 1 1 1
牙 1 1 1
用 1 1 1
几 1 1 1
乌 1 1 1
久 1 1 1
工 1 1 1
个 1 1 1
头 1 1 1
关 1 1 1
来 1 1 1
书 1 1 1
么 1 1 1
办 1 1 1
厂 1 1 1
一 1 1 1
二 1 1 1
三 1 1 1
上 1 1 1
下 1 1 1
八 1 1 1
十 1 1 1
长 1 1 1
片 1 1 1
正 1 1 1
本 1 1 1
中 1 1 1
着 1 1 1
地 1 1 1
床 1 2 1
间 1 2 1
连 1 2 1
送 1 2 1
席 1 2 1
原 1 2 1
虎 1 2 1
居 1 2 1
眉 1 2 1
网 1 2 1
遍 1 2 1
病 1 2 1
迟 1 2 1
翅 1 2 1
道 1 2 1
房 1 2 1
赶 1 2 1
迹 1 2 1
迷 1 2 1
迁 1 2 1
趣 1 2 1
逃 1 2 1
通 1 2 1
透 1 2 1
遇 1 2 1
运 1 2 1
造 1 2 1
展 1 2 1
赵 1 2 1
这 1 2 1
追 1 2 1
夹 1 2 1
令 1 2 1
平 1 2 1
士 1 2 1
甩 1 2 1
死 1 2 1
王 1 2 1
卫 1 2 1
乡 1 2 1
义 1 2 1
之 1 2 1
专 1 2 1
册 1 2 1
丁 1 2 1
斗 1 2 1
豆 1 2 1
非 1 2 1
干 1 2 1
弓 1 2 1
瓜 1 2 1
鬼 1 2 1
互 1 2 1
角 1 2 1
巾 1 2 1
井 1 2 1
毛 1 2 1
门 1 2 1
米 1 2 1
面 1 2 1
肉 1 2 1
入 1 2 1
舌 1 2 1
身 1 2 1
氏 1 2 1
象 1 2 1
羊 1 2 1
已 1 2 1
玉 1 2 1
主 1 2 1
电 1 2 1
广 1 2 1
事 1 2 1
习 1 2 1
万 1 2 1
甘 1 2 1
太 1 2 1
夕 1 2 1
言 1 2 1
也 1 2 1
元 1 2 1
晶 1 2 1
因 1 2 1
圆 1 2 1
闹 1 2 1
周 1 2 1
闷 1 2 1
安 1 2 1
百 1 2 1
鼻 1 2 1
定 1 2 1
丢 1 2 1
分 1 2 1
告 1 2 1
各 1 2 1
古 1 2 1
官 1 2 1
光 1 2 1
寒 1 2 1
具 1 2 1
雷 1 2 1
李 1 2 1
命 1 2 1
拿 1 2 1
您 1 2 1
票 1 2 1
器 1 2 1
善 1 2 1
食 1 2 1
思 1 2 1
望 1 2 1
吴 1 2 1
喜 1 2 1
香 1 2 1
些 1 2 1
兴 1 2 1
再 1 2 1
皂 1 2 1
支 1 2 1
直 1 2 1
忘 1 2 1
息 1 2 1
窗 1 2 1
带 1 2 1
单 1 2 1
朵 1 2 1
共 1 2 1
交 1 2 1
泉 1 2 1
首 1 2 1
爱 1 2 1
背 1 2 1
碧 1 2 1
壁 1 2 1
臂 1 2 1
藏 1 2 1
尝 1 2 1
常 1 2 1
晨 1 2 1
第 1 2 1
贵 1 2 1
荷 1 2 1
忽 1 2 1
急 1 2 1
架 1 2 1
节 1 2 1
举 1 2 1
篮 1 2 1
露 1 2 1
